Gene	GSM409134	GSM409135	GSM409136	GSM409137	GSM409138	GSM409139
ENSG00000000003	0.4024521983435361	0.4228300496233251	0.252565415518943	1.3590073992435103	-0.0044469569763036605	0.1071871147433224
ENSG00000000005	-0.2167957335751106	-0.19389935537258307	-0.008700093487594873	-0.0684256997071803	-0.2742429801078815	-0.2482156967498584
ENSG00000000419	11.541505202969446	11.314333076767769	11.039203936660972	2.0914143078050347	10.487561523372454	10.78405720112457
ENSG00000000457	2.237791093856088	2.3271631383104245	2.161713761675204	1.9327499179008032	0.8229529128617209	1.1702956954903518
ENSG00000000460	1.5560251725906635	1.3286594176681037	1.3362734197635724	0.2952850611122396	2.088551475142996	1.4655342549245078
ENSG00000000938	19.361326772516808	15.73137079918477	16.799002598503574	1.704684119648399	6.600388263489959	9.639163317223208
ENSG00000000971	0.4740324437915605	0.29965737365373263	0.4222454846355657	0.0671569231071738	0.408447396626382	0.2705086936461224
ENSG00000001036	5.009576224133916	4.1320118966623705	4.493874873234988	0.017317251617251058	2.7794943651309163	2.8484096998221275
ENSG00000001084	1.6533575968398428	1.7312723349601464	1.791939566876641	0.9329642877793308	2.195324483760125	2.1932484273100843
ENSG00000001167	1.4922316015292134	1.3784919007154206	1.4572223908012645	3.5188364056467236	1.6800433905779733	1.4578504512537411
ENSG00000001460	0.4097004262569131	0.3950099449745097	0.3182091684323338	0.5694874646796948	0.21924396448554007	0.28576161288734325
ENSG00000001461	2.2689403597547098	2.3741781379424234	2.425315398757504	0.5581809539615697	1.9389096768691456	2.5918626263167517
ENSG00000001497	1.2697280482838995	1.2286022967992918	1.0452604566738335	0.5712731970286673	1.1655427497843798	0.9971812510204596
ENSG00000001561	3.8512614191163497	4.218649065923825	3.938764746496339	0.8444086875587048	3.0000762392949083	3.0750477840444788
ENSG00000001617	0.4043569203307768	0.34038643043478184	0.4909871110712569	0.16557459283342607	0.09057539040754606	0.18751955776494333
ENSG00000001626	0.04477166796201031	0.0014794748412915585	-0.0732460897331359	0.2675283335321463	-0.03816603499487686	-0.06795370377293218
ENSG00000001629	2.598976110304013	2.6092464131282407	2.5259905325090606	2.9304310476817137	4.357675742069036	3.530705730068587
ENSG00000001631	2.9877702317915182	3.1991296254040686	3.146197822417187	3.0038289913591933	2.9892720022735766	2.8768021007163758
ENSG00000002016	1.0090314645919167	0.9849677180105958	1.0212313482650446	0.2902476953425741	1.6465027264695693	1.4685018125862954
ENSG00000002079	0.18634407310077705	0.2551932934495182	0.1860345039909725	0.5187276783706088	0.4858684721266446	0.4594110615665656
ENSG00000002330	0.5160257338397529	0.4614873569770816	0.5261889217115987	-0.2487986643589795	-0.23990941745902025	-0.1184444248728446
ENSG00000002549	12.268045424877156	11.729801186634285	9.763479700698667	2.615442731360836	4.964558819749548	5.405779341879184
ENSG00000002586	15.404914151391823	15.383122042081167	14.540263944327366	2.466582301093288	10.698076717838342	11.28278378640309
ENSG00000002587	1.2904227607289065	1.3198639025276468	1.2188467233436389	0.21184463574644893	1.4172507642222758	0.6917296470834614
ENSG00000002726	0.5242815531592772	0.4611132290927618	0.4517908406727129	1.708122483980417	0.369918998025442	0.37131489071186863
ENSG00000002745	0.4699413136999498	0.3261162497566893	0.2634484673797559	0.41761772467840336	0.6638907436988327	0.6048261144432165
ENSG00000002746	-0.004169341966662165	-0.02069729895927964	0.021076960352665985	0.7253225364123352	0.1392640499129434	0.043052900839892334
ENSG00000002822	1.312244551733336	1.3716597844078064	1.4814750455756218	0.5235848665671222	0.7697529804424703	1.0134296002367282
ENSG00000002834	10.707256331875834	11.169412595868792	12.21417248204989	11.541505202969446	12.517501887169033	12.173403499286213
ENSG00000002919	4.315271774708154	4.194342265551262	3.9698522985002103	0.8812094169282734	4.966160869638057	5.488844527616519
ENSG00000002933	2.0780817688458817	1.8633891799629516	1.9130380872436177	5.029805111084884	2.173645286043064	2.3403713870136658
ENSG00000003056	3.0853935152030365	2.951349080007432	3.2330205024848686	1.2537306390949423	2.0160925912085648	1.7489068359001176
ENSG00000003096	0.30087096112653416	0.1503164259022105	0.0473787411749074	0.635450779870494	0.2658789693136485	0.08354671033842641
ENSG00000003137	0.027686402104588108	0.062421442758203535	0.05532592131949648	0.9726302578249391	0.04630557619236318	-0.01607475945229095
ENSG00000003147	0.4418174904751975	0.4650837182495058	0.426567793894187	0.4251619427524971	0.8619231525050466	0.4901990325945149
ENSG00000003249	0.4622206152224929	0.4471487830736759	0.4221338684777178	0.382407564992812	0.31993418643254784	0.3547808641100821
ENSG00000003393	1.3011651721744408	1.4485694862317802	1.436128370979764	0.5488821856523635	2.219239247224288	1.9121891051700572
ENSG00000003400	0.5305285155789629	0.5324416426614682	0.5122471163848554	0.6540402543588685	0.6148277310572633	0.3913775688494615
ENSG00000003402	3.4015178781538284	3.44793578993757	3.6394783660133023	2.0700549762530467	4.420210085447036	4.157239889571647
ENSG00000003436	1.2150834335448826	1.2525656736479192	1.3984320402516308	0.7851562226232528	1.197181868280423	1.0386364787879363
ENSG00000003509	3.402419966867051	3.866321770592904	3.9831170429801466	15.252119072849606	3.7065257938529883	3.959931901477375
ENSG00000003756	6.753250919926541	7.203719421065247	7.4611684344154465	0.5494354370300176	4.950162751985743	4.408293853973836
ENSG00000003987	0.3977845062928541	0.350192598633256	0.3781087491674777	0.10683034556571228	0.2949064429399826	0.3071436558043909
ENSG00000003989	0.18107181616497228	0.11774690247523807	0.18401815933650725	0.41322926324275605	0.2642301462033357	0.3907014118390237
ENSG00000004059	2.0031473334772536	1.6469035494836541	1.9670127041746304	0.6691502157725114	2.2844908573366185	2.075264758521568
ENSG00000004139	0.7368221613968252	0.8170393135764586	0.7815659360606865	1.1116477861478058	0.5312082029890275	0.477224016003321
