aggregated_GeneScores	GeneID
-0.4944026216202109	1000
-0.5950024838591037	10002
-0.604737711763113	10008
-0.6352868791655033	100101268
-0.6439487980867399	100113407
-0.5696294760869056	100125288
-0.5023232827581503	100128908
-0.5858145394971347	100129480
-0.584346969918406	100129515
-0.7960574709291593	100129543
-0.4866472849246878	100129654
-1.2310773043683483	100129792
-1.008041038956208	100130086
-0.47872975577040255	100130519
-0.5869503603778411	100130771
-0.6024905661252292	100130933
-0.5010875182707024	100130958
-0.9772938567899581	100131244
-0.623027257823861	100131303
-0.6321130122990065	100131980
-0.7382204951995207	100132074
-0.5154663376071493	100132463
-0.5873454072279604	100132916
-0.6818347076989603	100133941
-0.6451907334642729	100141515
-0.5906229423762376	100170765
-0.717847701110546	10023
-0.511666591377055	10024
-0.5683607639768581	100271715
-0.4815895724155753	100271846
-0.5369974377115524	100287045
-1.115878767103707	100287284
-0.5331313591339066	100287482
-0.49768802226273195	100288072
-1.0541779395223307	100288413
-0.526150164987422	100288797
-0.6447350484975878	100288801
-0.6398462219787916	100289187
-0.5948112997442406	100316904
-0.789204411755837	100329135
-0.994946270869292	10044
-0.5484235867934895	100505753
-0.5326509830315884	100505767
-0.5231733483163633	100506013
-0.5467103329924401	100506127
-0.49904076742271664	100506164
-0.6309886775629768	100506374
-0.48320583037689324	100506658
-1.0109109989346639	100507050
-0.4783875375321001	100507055
-0.4928444245032969	100507203
-0.9457873919556685	100507537
-0.49818902086542216	100507607
-0.47391256298788026	100507608
-0.5027191023967718	100509620
-0.5563405627423578	100526760
-0.9020342932859641	100526761
-0.6719490856936001	100526783
-0.5035460874925572	100526794
-0.5011993123122582	100526835
-0.6262270207901446	100527949
-0.5597479309815531	100527978
-0.5793645756094455	100529144
-0.5165364245613795	100529215
-0.8233271997300866	100529240
-0.5731506513649679	100529251
-0.9281775497172583	100533467
-0.8793987427547777	100534592
-0.8091302123816021	10057
-0.4869770016322288	1006
-0.4951448620022953	100653515
-0.9894220226419502	10077
-0.4899009641802183	1008
-0.7848412838817004	100820829
-0.5382076400982699	10086
-0.4932253062312278	100861412
-1.434514249180247	100862671
-0.6716379346640975	1009
-0.6108951735565943	100996492
-0.5213829852134813	100996693
-0.6296580845055877	100996746
-0.5044502686745018	1010
-0.7626014860161022	10103
