Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
skin morphogenesis	GO:0043589		7	0	0.8195043413259732	-Inf	0	1	1	1
amide metabolic process	GO:0043603		261	6	30.555804726582714	-1.6277952057572092	0.19512155110304955	0.9999999949179853	1	1
amide biosynthetic process	GO:0043604		102	5	11.941348973607038	-0.8705691685127415	0.40735349481386796	0.9934975566095134	1	1
amide catabolic process	GO:0043605		2	0	0.23414409752170665	-Inf	0	1	1	1
astrocyte cell migration	GO:0043615		1	1	0.11707204876085332	2.144965732337429	2.8415219009445694	0.11707204876085331	1	1
keratinocyte proliferation	GO:0043616		6	1	0.7024322925651199	0.3532062631093743	1.1516373628256897	0.4634709887190016	1	1
cortical microtubule organization	GO:0043622		6	1	0.7024322925651199	0.3532062631093743	1.1516373628256897	0.5263016034071478	1	1
response to estrogen	GO:0043627		23	0	2.692657121499626	-Inf	0	1	1	1
modification-dependent macromolecule catabolic process	GO:0043632		291	4	34.06796618940831	-2.1420631737141727	0.11714424299809288	0.9999999999954037	1	1
polyadenylation-dependent RNA catabolic process	GO:0043633		1	0	0.11707204876085332	-Inf	0	1	1	1
polyadenylation-dependent ncRNA catabolic process	GO:0043634		1	0	0.11707204876085332	-Inf	0	1	1	1
inositol phosphate metabolic process	GO:0043647		19	1	2.2243689264562128	-0.7994732468290111	0.43565360003748926	0.9062409061564833	1	1
dicarboxylic acid metabolic process	GO:0043648		58	3	6.790178828129492	-0.8168649895408804	0.42857380962999253	0.9725995444625304	1	1
dicarboxylic acid catabolic process	GO:0043649		17	0	1.9902248289345064	-Inf	0	1	1	1
dicarboxylic acid biosynthetic process	GO:0043650		7	1	0.8195043413259732	0.1990555832821159	1.0288724617138236	0.5817775847395061	1	1
linoleic acid metabolic process	GO:0043651		15	0	1.7560807314127997	-Inf	0	1	1	1
engulfment of apoptotic cell	GO:0043652		3	0	0.3512161462825599	-Inf	0	1	1	1
mitochondrial fragmentation involved in apoptotic process	GO:0043653		6	0	0.7024322925651199	-Inf	0	1	1	1
recognition of apoptotic cell	GO:0043654		4	0	0.4682881950434133	-Inf	0	1	1	1
co-translational protein modification	GO:0043686		3	0	0.3512161462825599	-Inf	0	1	1	1
post-translational protein modification	GO:0043687		505	10	59.12138462423092	-1.777007603943885	0.1683472254337285	1	1	1
reverse cholesterol transport	GO:0043691		15	0	1.7560807314127997	-Inf	0	1	1	1
dedifferentiation	GO:0043696		1	0	0.11707204876085332	-Inf	0	1	1	1
cell dedifferentiation	GO:0043697		1	0	0.11707204876085332	-Inf	0	1	1	1
regulation of biological process involved in symbiotic interaction	GO:0043903		36	1	4.21459375539072	-1.438553206118681	0.23509908313957636	0.9855589459718315	1	1
modulation by host of viral transcription	GO:0043921		1	0	0.11707204876085332	-Inf	0	1	1	1
negative regulation by host of viral transcription	GO:0043922		14	4	1.6390086826519463	0.8922027638420612	1.6249036597620865	0.07175895726033998	1	1
positive regulation by host of viral transcription	GO:0043923		17	1	1.9902248289345064	-0.6882476117187868	0.48340727593946753	0.879696326956203	1	1
ossification involved in bone maturation	GO:0043931		3	0	0.3512161462825599	-Inf	0	1	1	1
ossification involved in bone remodeling	GO:0043932		1	0	0.11707204876085332	-Inf	0	1	1	1
protein-containing complex organization	GO:0043933		805	19	94.24299925248691	-1.6014375659146936	0.2002651565085189	1	1	1
regulation of cAMP-mediated signaling	GO:0043949		3	0	0.3512161462825599	-Inf	0	1	1	1
positive regulation of cAMP-mediated signaling	GO:0043950		2	0	0.23414409752170665	-Inf	0	1	1	1
negative regulation of cAMP-mediated signaling	GO:0043951		1	0	0.11707204876085332	-Inf	0	1	1	1
cellular component maintenance	GO:0043954		20	0	2.3414409752170666	-Inf	0	1	1	1
negative regulation of gene expression via chromosomal CpG island methylation	GO:0044027		10	1	1.1707204876085333	-0.1576193606566166	0.7744151424671676	0.7121915144635507	1	1
positive regulation of gene expression via chromosomal CpG island demethylation	GO:0044029		9	0	1.05364843884768	-Inf	0	1	1	1
glucan metabolic process	GO:0044042		20	0	2.3414409752170666	-Inf	0	1	1	1
regulation of system process	GO:0044057		224	8	26.22413892243114	-1.1872387778377747	0.30051860038372674	0.999992890487522	1	1
regulation of digestive system process	GO:0044058		11	0	1.2877925363693865	-Inf	0	1	1	1
