Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
protein deneddylation	GO:0000338		10	0	0.9050658386521765	-Inf	0	1	1	1
cis assembly of pre-catalytic spliceosome	GO:0000354		2	0	0.1810131677304353	-Inf	0	1	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	0	16.83422459893048	-Inf	0	1	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	0	16.381691679604394	-Inf	0	1	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	0	1.0860790063826116	-Inf	0	1	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	0	3.43925018687827	-Inf	0	1	1	1
spliceosomal snRNP assembly	GO:0000387		32	0	2.8962106836869648	-Inf	0	1	1	1
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	GO:0000388		1	0	0.09050658386521765	-Inf	0	1	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	0.45253291932608825	-Inf	0	1	1	1
spliceosomal complex disassembly	GO:0000390		1	0	0.09050658386521765	-Inf	0	1	1	1
spliceosomal conformational changes to generate catalytic conformation	GO:0000393		1	0	0.09050658386521765	-Inf	0	1	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	0	0.7240526709217412	-Inf	0	1	1	1
mRNA 5'-splice site recognition	GO:0000395		3	0	0.2715197515956529	-Inf	0	1	1	1
mRNA splicing, via spliceosome	GO:0000398		181	0	16.381691679604394	-Inf	0	1	1	1
regulation of transcription by galactose	GO:0000409		1	0	0.09050658386521765	-Inf	0	1	1	1
positive regulation of transcription by galactose	GO:0000411		1	0	0.09050658386521765	-Inf	0	1	1	1
protein peptidyl-prolyl isomerization	GO:0000413		3	0	0.2715197515956529	-Inf	0	1	1	1
autophagy of mitochondrion	GO:0000422		31	0	2.805704099821747	-Inf	0	1	1	1
mitophagy	GO:0000423		25	0	2.262664596630441	-Inf	0	1	1	1
pexophagy	GO:0000425		6	0	0.5430395031913058	-Inf	0	1	1	1
carbon catabolite regulation of transcription from RNA polymerase II promoter	GO:0000429		3	0	0.2715197515956529	-Inf	0	1	1	1
regulation of transcription from RNA polymerase II promoter by glucose	GO:0000430		2	0	0.1810131677304353	-Inf	0	1	1	1
regulation of transcription from RNA polymerase II promoter by galactose	GO:0000431		1	0	0.09050658386521765	-Inf	0	1	1	1
positive regulation of transcription from RNA polymerase II promoter by galactose	GO:0000435		1	0	0.09050658386521765	-Inf	0	1	1	1
carbon catabolite activation of transcription from RNA polymerase II promoter	GO:0000436		1	0	0.09050658386521765	-Inf	0	1	1	1
rRNA 2'-O-methylation	GO:0000451		3	0	0.2715197515956529	-Inf	0	1	1	1
enzyme-directed rRNA pseudouridine synthesis	GO:0000455		2	0	0.1810131677304353	-Inf	0	1	1	1
maturation of 5.8S rRNA	GO:0000460		10	0	0.9050658386521765	-Inf	0	1	1	1
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000462		1	0	0.09050658386521765	-Inf	0	1	1	1
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000463		3	0	0.2715197515956529	-Inf	0	1	1	1
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000466		2	0	0.1810131677304353	-Inf	0	1	1	1
maturation of LSU-rRNA	GO:0000470		3	0	0.2715197515956529	-Inf	0	1	1	1
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000479		1	0	0.09050658386521765	-Inf	0	1	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	0	0.5430395031913058	-Inf	0	1	1	1
box C/D snoRNP assembly	GO:0000492		5	0	0.45253291932608825	-Inf	0	1	1	1
box H/ACA snoRNP assembly	GO:0000493		1	0	0.09050658386521765	-Inf	0	1	1	1
box C/D sno(s)RNA 3'-end processing	GO:0000494		1	0	0.09050658386521765	-Inf	0	1	1	1
box H/ACA sno(s)RNA 3'-end processing	GO:0000495		1	0	0.09050658386521765	-Inf	0	1	1	1
lncRNA-mediated post-transcriptional gene silencing	GO:0000512		1	0	0.09050658386521765	-Inf	0	1	1	1
embryonic axis specification	GO:0000578		9	0	0.8145592547869588	-Inf	0	1	1	1
resolution of meiotic recombination intermediates	GO:0000712		3	0	0.2715197515956529	-Inf	0	1	1	1
pyrimidine dimer repair by nucleotide-excision repair	GO:0000720		1	0	0.09050658386521765	-Inf	0	1	1	1
telomere maintenance via recombination	GO:0000722		8	0	0.7240526709217412	-Inf	0	1	1	1
telomere maintenance	GO:0000723		65	0	5.882927951239147	-Inf	0	1	1	1
double-strand break repair via homologous recombination	GO:0000724		76	0	6.87850037375654	-Inf	0	1	1	1
recombinational repair	GO:0000725		78	0	7.059513541486976	-Inf	0	1	1	1
DNA double-strand break processing	GO:0000729		17	0	1.5386119257086999	-Inf	0	1	1	1
DNA recombinase assembly	GO:0000730		1	0	0.09050658386521765	-Inf	0	1	1	1
DNA synthesis involved in DNA repair	GO:0000731		31	0	2.805704099821747	-Inf	0	1	1	1
DNA strand displacement	GO:0000732		1	0	0.09050658386521765	-Inf	0	1	1	1
karyogamy	GO:0000741		1	0	0.09050658386521765	-Inf	0	1	1	1
syncytium formation by plasma membrane fusion	GO:0000768		13	0	1.1765855902478295	-Inf	0	1	1	1
sister chromatid segregation	GO:0000819		112	0	10.136737392904376	-Inf	0	1	1	1
regulation of glutamine family amino acid metabolic process	GO:0000820		2	0	0.1810131677304353	-Inf	0	1	1	1
regulation of arginine metabolic process	GO:0000821		1	0	0.09050658386521765	-Inf	0	1	1	1
cell morphogenesis	GO:0000902		114	0	10.317750560634812	-Inf	0	1	1	1
cytokinesis	GO:0000910		69	0	6.2449542867000165	-Inf	0	1	1	1
assembly of actomyosin apparatus involved in cytokinesis	GO:0000912		1	0	0.09050658386521765	-Inf	0	1	1	1
actomyosin contractile ring assembly	GO:0000915		1	0	0.09050658386521765	-Inf	0	1	1	1
actomyosin contractile ring contraction	GO:0000916		1	0	0.09050658386521765	-Inf	0	1	1	1
septin ring assembly	GO:0000921		1	0	0.09050658386521765	-Inf	0	1	1	1
nuclear-transcribed mRNA catabolic process	GO:0000956		62	0	5.611408199643494	-Inf	0	1	1	1
mitochondrial RNA catabolic process	GO:0000957		6	0	0.5430395031913058	-Inf	0	1	1	1
mitochondrial mRNA catabolic process	GO:0000958		3	0	0.2715197515956529	-Inf	0	1	1	1
mitochondrial RNA metabolic process	GO:0000959		35	0	3.1677304352826177	-Inf	0	1	1	1
regulation of mitochondrial RNA catabolic process	GO:0000960		3	0	0.2715197515956529	-Inf	0	1	1	1
positive regulation of mitochondrial RNA catabolic process	GO:0000962		3	0	0.2715197515956529	-Inf	0	1	1	1
mitochondrial RNA processing	GO:0000963		18	0	1.6291185095739176	-Inf	0	1	1	1
mitochondrial RNA 5'-end processing	GO:0000964		4	0	0.3620263354608706	-Inf	0	1	1	1
mitochondrial RNA 3'-end processing	GO:0000965		7	0	0.6335460870565235	-Inf	0	1	1	1
RNA 5'-end processing	GO:0000966		22	0	1.9911448450347882	-Inf	0	1	1	1
negative regulation of exit from mitosis	GO:0001100		1	0	0.09050658386521765	-Inf	0	1	1	1
response to acid chemical	GO:0001101		38	0	3.43925018687827	-Inf	0	1	1	1
promoter clearance during DNA-templated transcription	GO:0001109		7	0	0.6335460870565235	-Inf	0	1	1	1
RNA polymerase II promoter clearance	GO:0001111		7	0	0.6335460870565235	-Inf	0	1	1	1
DNA-templated transcription open complex formation	GO:0001112		1	0	0.09050658386521765	-Inf	0	1	1	1
protein-DNA-RNA complex organization	GO:0001115		1	0	0.09050658386521765	-Inf	0	1	1	1
protein-DNA-RNA complex disassembly	GO:0001117		1	0	0.09050658386521765	-Inf	0	1	1	1
protein-DNA complex remodeling	GO:0001120		1	0	0.09050658386521765	-Inf	0	1	1	1
RNA-templated transcription	GO:0001172		1	0	0.09050658386521765	-Inf	0	1	1	1
DNA-templated transcriptional start site selection	GO:0001173		1	0	0.09050658386521765	-Inf	0	1	1	1
transcriptional start site selection at RNA polymerase II promoter	GO:0001174		1	0	0.09050658386521765	-Inf	0	1	1	1
RNA polymerase I preinitiation complex assembly	GO:0001188		1	0	0.09050658386521765	-Inf	0	1	1	1
formation of extrachromosomal circular DNA	GO:0001325		10	0	0.9050658386521765	-Inf	0	1	1	1
guanine nucleotide transport	GO:0001408		8	0	0.7240526709217412	-Inf	0	1	1	1
skeletal system development	GO:0001501		141	0	12.761428324995688	-Inf	0	1	1	1
cartilage condensation	GO:0001502		3	0	0.2715197515956529	-Inf	0	1	1	1
ossification	GO:0001503		48	0	4.344316025530446	-Inf	0	1	1	1
neurotransmitter uptake	GO:0001504		19	0	1.719625093439135	-Inf	0	1	1	1
acetylcholine catabolic process in synaptic cleft	GO:0001507		1	0	0.09050658386521765	-Inf	0	1	1	1
action potential	GO:0001508		54	0	4.887355528721753	-Inf	0	1	1	1
RNA methylation	GO:0001510		47	0	4.253809441665229	-Inf	0	1	1	1
selenocysteine incorporation	GO:0001514		3	0	0.2715197515956529	-Inf	0	1	1	1
prostaglandin biosynthetic process	GO:0001516		13	0	1.1765855902478295	-Inf	0	1	1	1
peptide amidation	GO:0001519		1	0	0.09050658386521765	-Inf	0	1	1	1
pseudouridine synthesis	GO:0001522		12	0	1.0860790063826116	-Inf	0	1	1	1
