names	GSE110564_MTB_control	GSE112482_MTBilc1_control	GSE112482_MTBilc2_control	GSE112482_MTBilc3neg_control	GSE112482_MTBilc3pos_control	GSE112482_MTBnk_control	GSE112482_MTBsusp_control	GSE112483_MTBam_control	GSE112483_MTBendo_control	GSE112483_MTBgd_control	GSE112483_MTBmait_control	GSE112483_MTBnk_control	GSE112483_MTBnkt_control	GSE129270_MTB120h_control	GSE129270_MTB24h_control	GSE129270_MTB72h_control	GSE148171_MTB_control	GSE157657_PTB_control	GSE193777_MTB_control	GSE198557_MTB_control	GSE67427_MTBgc18h_control	GSE67427_MTBgc48h_control	GSE67427_MTBgc4h_control	GSE67427_MTBrv18h_control	GSE67427_MTBrv48h_control	GSE67427_MTBrv4h_control	GSE84076_MTB_control
GSE110564_MTB_control	1	0.5972105997210599	0.604510359384547	0.649271508503684	0.5568902610159977	0.6112605042016807	0.7791946308724832	0.697882870497663	0.6741217543094044	0.7475524475524475	0.11151161460121295	0.7864570853500743	0.748980686695279	0.6978473581213307	0.7603707369747142	0.8054937299820857	0.7852315394242804	0.7945407236486818	0.5961408436053467	0.7850083178393189	0.7888557496567722	0.7871031373285741	0.7733972165183665	0.8030360326292475	0.7836533957845433	0.8073488272003443	0.6963233689722889
GSE112482_MTBilc1_control	0.5972105997210599	1	0.8133163427843262	0.8184823556546474	0.7970074812967581	0.8572014435695539	0.6533481101259916	0.747459062676454	0.6692934782608696	0.7332062573945051	0.18207656097344346	0.5638644918444166	0.7287681963574646	0.733609780510474	0.5114245157745319	0.661015911872705	0.5939354699471242	0.5796439507966991	0.5507100031555696	0.573998237520087	0.5372815533980583	0.534134037953399	0.5167909583584233	0.66207317073170735	0.5327770584568168	0.6560390549662488	0.7453186137506987
GSE112482_MTBilc2_control	0.604510359384547	0.8133163427843262	1	0.8227491042159031	0.7947161142106991	0.8199809251311397	0.6694489843567593	0.7818777603647243	0.6912806539509537	0.7425878656980169	0.17802865827181938	0.5771084337349398	0.7417274622199062	0.7257553348827382	0.5204314836822379	0.6627420040055836	0.5954382395459656	0.5849514563106796	0.5456016933325033	0.5790016501650165	0.5484309065334433	0.5462842868809147	0.5291446575850246	0.6666060936458901	0.5453498968775481	0.6610565404887399	0.7252341560128529
GSE112482_MTBilc3neg_control	0.649271508503684	0.8184823556546474	0.8227491042159031	1	0.7869817839195979	0.827991699331335	0.7164978460821981	0.8039283972974856	0.722467845659164	0.7886866059817945	0.16522861059591967	0.6210478771454381	0.7847267088771159	0.7676669219522384	0.561525446979743	0.7130224106602059	0.642558886509636	0.632509564677903	0.5781978885342499	0.6243877287960815	0.5907393939393939	0.588187274909964	0.5699328237201761	0.7148119074935089	0.5874172820562003	0.7096600752733139	0.7677314564158094
GSE112482_MTBilc3pos_control	0.5568902610159977	0.7970074812967581	0.7947161142106991	0.7869817839195979	1	0.8042973286875726	0.6039146947122407	0.7225350079399452	0.6353339319013744	0.6746647383644491	0.19685722548925094	0.5201406328478152	0.6708455762324519	0.6994615048755639	0.47230882083256925	0.6174893695692365	0.5441168544170754	0.5330046704722367	0.510398060729778	0.5266266058847907	0.49926921952645426	0.4957112567463377	0.4789432140038074	0.6193108531416989	0.4948518090839107	0.6140255009107468	0.6861523382805936
GSE112482_MTBnk_control	0.6112605042016807	0.8572014435695539	0.8199809251311397	0.827991699331335	0.8042973286875726	1	0.6631234668847097	0.7744902324254955	0.6870176876323157	0.7442243138287369	0.1797752808988764	0.5716223003515821	0.7387952436952829	0.7609794856977752	0.5186050774447805	0.677554284308298	0.6004854368932039	0.5880091438071487	0.5609478672985782	0.5807889689492509	0.5484514998052201	0.5439137134052389	0.5262522631261316	0.6755781230882173	0.5428324199596193	0.6693675172330391	0.7603757711721817
GSE112482_MTBsusp_control	0.7791946308724832	0.6533481101259916	0.6694489843567593	0.7164978460821981	0.6039146947122407	0.6631234668847097	1	0.7898894154818326	0.7557891089680661	0.8489894350022967	0.12013575984551465	0.83351506740682	0.8518136496475847	0.7281971733884868	0.7363762349680362	0.7903138234335976	0.7994302863828272	0.7983834977934249	0.6380582942729379	0.7906010388325501	0.7665818729979272	0.7668304093567252	0.7538300677365095	0.811716397481522	0.7632843480289246	0.8152588555858311	0.7667431192660551
GSE112483_MTBam_control	0.697882870497663	0.747459062676454	0.7818777603647243	0.8039283972974856	0.7225350079399452	0.7744902324254955	0.7898894154818326	1	0.7809802098552264	0.8426814347350119	0.15068797159343097	0.6776817999196465	0.8398334934357989	0.7851896772454686	0.6059584548104956	0.746315664368909	0.6777326225787723	0.6726891186405978	0.6040794353391554	0.6624184339314845	0.6413706320782112	0.6387304022630292	0.620150013890175	0.764487769870223	0.6356985751171464	0.7610498874274203	0.7809249689278472
GSE112483_MTBendo_control	0.6741217543094044	0.6692934782608696	0.6912806539509537	0.722467845659164	0.6353339319013744	0.6870176876323157	0.7557891089680661	0.7809802098552264	1	0.7599826657586826	0.13709677419354838	0.6581810921433563	0.7616960869028515	0.7031138732439955	0.5875775272760198	0.6940882984278006	0.65811427671966	0.6488228130708342	0.5690213869086196	0.6441356929161807	0.616796893725133	0.6157904743796939	0.6007174392935982	0.7034454709197606	0.6133820182094082	0.7038938563599654	0.7103548611550383
GSE112483_MTBgd_control	0.7475524475524475	0.7332062573945051	0.7425878656980169	0.7886866059817945	0.6746647383644491	0.7442243138287369	0.8489894350022967	0.8426814347350119	0.7599826657586826	1	0.13584331370343414	0.758058037955618	0.9217126931846973	0.7806006082108464	0.6748443959838263	0.7981321422356286	0.7635970007392544	0.7547845665745574	0.6363322396822656	0.7454350708966643	0.705063594912407	0.7028261490151299	0.6842129480513505	0.8046050342187682	0.7001281503630927	0.8049539170506912	0.8107378335949764
