Ensembl	GeneID	Symbol	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val
ENSG00000156970	701	BUB1B	8.21682703935998	-3.837760921608617	1.0460369303385557	-3.668857963137596	2.4363638413352445e-4	0.01674079621026105
ENSG00000134057	891	CCNB1	15.03630275251489	-2.2656457776167276	0.7137088455512307	-3.174467840407475	0.0015011152424016052	0.0479559581926945
ENSG00000117399	991	CDC20	9.26854170447203	-3.0092157153831938	0.9056526176627133	-3.3227041546562366	8.914940906171886e-4	0.03471056121124022
ENSG00000172115	54205	CYCS	795.9339572157119	1.1326619493084864	0.2941817765555407	3.8502111265027428	1.1801604978426848e-4	0.01069801172066762
ENSG00000120675	29103	DNAJC15	171.26913885090065	1.9108317510126196	0.5513773944937538	3.4655605581491904	5.291273489368417e-4	0.025566671322729443
ENSG00000175550	10589	DRAP1	170.8063540636763	1.6960458372286809	0.452200768434856	3.750647844095853	1.7637827086643056e-4	0.01373835507950651
ENSG00000115641	2274	FHL2	14.1268893158045	-2.486337630109123	0.702048227802478	-3.541548189490846	3.9778619009044394e-4	0.021615528080210635
ENSG00000173221	2745	GLRX	641.1934388472228	2.0924574416186013	0.5567854318907651	3.7581037896643767	1.7120586905026362e-4	0.013561132737401477
ENSG00000140307	2958	GTF2A2	166.70974732091304	1.5994548682247247	0.4524489636888177	3.535105606573534	4.076122179030125e-4	0.021876861282714606
ENSG00000115738	3398	ID2	4095.0158793338	1.3656389827733053	0.42600568343789036	3.2056825433701266	0.0013474255169765028	0.044211043901622234
ENSG00000106355	23658	LSM5	107.9449192892295	2.279310975986383	0.6392764837560969	3.565454124941671	3.632266957440765e-4	0.02056704517761746
ENSG00000168906	4144	MAT2A	204.75750684002185	-2.295284560080486	0.6772341026561463	-3.389204044920751	7.009582980642989e-4	0.030490811952956522
ENSG00000143158	25874	MPC2	462.87599434296624	2.5442758704867314	0.5958532310551303	4.269970754343911	1.9549860076411223e-5	0.0034106517049843897
ENSG00000166228	5092	PCBD1	100.95726962376018	2.3643859668988	0.6878706079544538	3.4372539538066063	5.876443496610237e-4	0.027334081043032626
ENSG00000067177	5255	PHKA1	5.196311568058506	-4.40996834693015	1.2965674955181594	-3.4012640006587183	6.70750164547294e-4	0.029470768564731607
ENSG00000127445	5300	PIN1	157.95072323859983	1.0684167301040424	0.33294236281060263	3.209014080049108	0.0013319096948184517	0.04412500855946109
ENSG00000102007	5355	PLP2	541.6956813801124	1.0003436156327021	0.29556484613358314	3.3845148660899547	7.13041576043228e-4	0.030786099531985214
ENSG00000105258	5438	POLR2I	172.21638554906974	2.249570598907134	0.6031672236215986	3.7295968859183546	1.9178635258314242e-4	0.014672497140823478
ENSG00000147669	5440	POLR2K	302.2502537484752	2.4331594093873967	0.5659410174054239	4.299316244195022	1.7132585811809287e-5	0.0031976354153007095
ENSG00000143224	5498	PPOX	25.24716301496239	-1.7019884293954433	0.47367432886925925	-3.5931616422160295	3.2668978510972394e-4	0.019924650075765434
ENSG00000134222	84722	PSRC1	3.0865114762257586	-5.02899612243346	1.5164912324906246	-3.316205207579102	9.124879932217373e-4	0.035135823544738994
ENSG00000004534	10180	RBM6	158.5995425364051	-1.6516247832240722	0.44119514334551607	-3.743524397617007	1.8145697411966086e-4	0.014005106192784268
ENSG00000163923	116832	RPL39L	64.77904580234477	2.6794559835002425	0.7631389139936715	3.511098614376861	4.4625881958302904e-4	0.022728057965334943
ENSG00000196154	6275	S100A4	2540.622170338504	3.0849372294269615	0.5817768402825729	5.302612644271963	1.1415698151139412e-7	1.6593668570860396e-4
ENSG00000035862	7077	TIMP2	232.67383078237484	3.829363132395824	0.9733955050858935	3.9340259045658086	8.353477449750805e-5	0.008641859970233083
ENSG00000121741	7750	ZMYM2	250.1011241352733	-0.9715292019628587	0.26146798730390386	-3.7156717041373475	2.026645832273912e-4	0.014766979204480446
