drug_name	search_type	studies_found	pmid	literature_evidence
vemurafenib	Direct (TB)	1	['27742535']	"[1] Targeting tuberculosis using structure-guided fragment-based drug design.
    Authors: Mendes V, Blundell TL
    PMID: 27742535 | DOI: S1359-6446(16)30379-8"
temsirolimus	No Results	0	[]	No evidence found
fostamatinib	No Results	0	[]	No evidence found
perphenazine	No Results	0	[]	No evidence found
vorinostat	Direct (HDT)	1	['29501835']	"[1] Evaluation of the efficacy of valproic acid and suberoylanilide hydroxamic acid (vorinostat) in enhancing the effects of first-line tuberculosis drugs against intracellular Mycobacterium tuberculosis.
    Authors: Rao M, Valentini D, Zumla A, Maeurer M
    PMID: 29501835 | DOI: S1201-9712(18)30057-2"
panobinostat	No Results	0	[]	No evidence found
lovastatin	Direct (HDT)	1	['39832798']	"[1] Host-Directed Therapy with Inhalable Lovastatin Microspheres for Matrix Metalloproteinase Inhibition in Tuberculosis.
    Authors: Jhilta A, Jadhav K, Sharma R, Singh R, Negi S, Sharma N, Singh AK, Verma RK
    PMID: 39832798 | DOI: 10.1021/acsabm.4c01723"
sertraline	Direct (HDT)	1	['36629405']	"[1] The antidepressant sertraline provides a novel host directed therapy module for augmenting TB therapy.
    Authors: Shankaran D, Singh A, Dawa S, Arumugam P, Gandotra S, Rao V
    PMID: 36629405 | DOI: 10.7554/eLife.64834"
itraconazole	Direct (TB)	32	['40038591', '39636397', '38716005', '38116435', '37665236', '37573054', '37275907', '37226871', '37145297', '36345027', '35865451', '35429465', '34853253', '33212470', '32652975', '27959839', '26838686', '26768370', '23834282', '21330747', '20845683', '16823702', '16696387', '14742211', '12693002', '11974898', '11248033', '7547111', '7655496', '8068512', '8207276', '1755556']	"[1] Primary cutaneous mixed infection with Cryptococcus uniguttulatus and Mycobacterium tuberculosis.
    Authors: Shao Y, Song Y, Xue R, Li R, Yu J
    PMID: 40038591 | DOI: 10.1186/s12879-025-10667-2

[2] Successful treatment of chronic pulmonary aspergillosis in a patient with early pulmonary tuberculosis and COVID-19: a case report.
    Authors: Bertucci AA, Volpe-Chaves CE, Mendo DM, Andrade UV, Lacerda MLGG, Venturini J, Saad BAA, Oliveira CTF, Oliveira SMDVL, Paniago AMM
    PMID: 39636397 | DOI: 10.5826/mrm.2024.989

[3] A Case of Recurrent Sputum-Positive Pulmonary Tuberculosis Presenting With Pulmonary Mycetoma.
    Authors: Gaikwad A, Wagh P, Sarkar S, Khare M
    PMID: 38716005 | DOI: 10.7759/cureus.57757

[4] Repurposing Azoles to Resolve Serotogenic Toxicity Associated with Linezolid to Combat Multidrug-Resistant Tuberculosis.
    Authors: Girase RT, Ahmad I, Oh JM, Kim H, Mathew B, Vagolu SK, Tonjum T, Desai NC, Sriram D, Kumari J, Patel HM
    PMID: 38116435 | DOI: 10.1021/acsmedchemlett.3c00406

[5] Oral candidiasis in patients with kidney transplantation in Iran: prevalence and antifungal susceptibility pattern.
    Authors: Ghadimi F, Rodrigues CF, Mohammadi SR, Roudbary M, Dos Santos AL, Aslani P, Nikoomanesh F
    PMID: 37665236 | DOI: 10.2217/fmb-2022-0179

[6] Intergenic spacer (IGS-1) region sequence-based identification, genotypic analysis, and antifungal susceptibility of clinical Trichosporon species.
    Authors: Parashar A, Rastogi V, Prakash H, Pandey A, Rudramurthy SM
    PMID: 37573054 | DOI: S0255-0857(23)00106-8

[7] Genetically confirmed chronic granulomatous disease in a Kenyan child: case report.
    Authors: Marangu-Boore D, Kambuni F, Onyinkwa M, Ramprakash S, C P R, Eley B, Bhattad S
    PMID: 37275907 | DOI: 10.3389/fimmu.2023.1172848

[8] Apophysomyces variabilis as an emerging pathogen in Mainland China.
    Authors: Li XY, Wang SJ, Huang GM, Zheng DY, Al-Odaini N, Pan KS, Zheng YQ, Cao CW
    PMID: 37226871 | DOI: 10.1111/myc.13605

[9] New methylene blue-mediated photodynamic inactivation of multidrug-resistant Fonsecaea nubica infected chromoblastomycosis in vitro.
    Authors: Zheng M, Zhou X, Pang J, Yang Z, Zou Y, Zhang L, Xu Y, Yin R
    PMID: 37145297 | DOI: 10.1007/s42770-023-00974-8

[10] Fungal esophagitis associated with tuberculous pericarditis in an human immunodeficiency virus-positive patient: a case report.
    Authors: Silva GM, de Sousa BR, Torres KB, Neves RP, de Melo HRL, de Lima-Neto RG
    PMID: 36345027 | DOI: 10.1186/s13256-022-03561-x

[11] Chronic cavitary pulmonary aspergillosis in an immunocompetent child.
    Authors: Davies AA, Adegbite IA, Akintan PE, Ibrahim UO, Adekoya AO, Oladele RO
    PMID: 35865451 | DOI: 10.1016/j.mmcr.2022.07.001

[12] Efficacy of 12-months oral itraconazole versus 6-months oral itraconazole to prevent relapses of chronic pulmonary aspergillosis: an open-label, randomised controlled trial in India.
    Authors: Sehgal IS, Dhooria S, Muthu V, Prasad KT, Aggarwal AN, Chakrabarti A, Choudhary H, Garg M, Agarwal R
    PMID: 35429465 | DOI: S1473-3099(22)00057-3

[13] Ubiquitous Distribution of Azole-Resistant Aspergillus fumigatus- Related Species in Outdoor Environments in Japan.
    Authors: Watanabe K, Yaguchi T, Hirose D
    PMID: 34853253 | DOI: 10.3314/mmj.21-00014

[14] High frequency of azole resistant Candida spp. colonization among presumptive multidrug resistant tuberculosis (MDR-TB) patients.
    Authors: Darma S, Ambara A, Aman AT, Annisa L, Nurrokhman, Nuryastuti T, Wibawa T
    PMID: 33212470 | DOI: 10.1371/journal.pone.0242542

[15] A young male with chronic nonproductive cough diagnosed with blastomycosis in China: a case report.
    Authors: Wang N, Luo Z, Deng S, Li Q
    PMID: 32652975 | DOI: 10.1186/s12890-020-01225-4

[16] [Disseminated histoplasmosis in patients with AIDS. Buenos Aires, 2009-2014].
    Authors: Lopez Daneri AG, Arechavala A, Iovannitti CA, Mujica MT
    PMID: 27959839 | DOI: 

[17] A novel inhibition ELISA for the detection and monitoring of Penicillium marneffei antigen in human serum.
    Authors: Prakit K, Nosanchuk JD, Pruksaphon K, Vanittanakom N, Youngchim S
    PMID: 26838686 | DOI: 10.1007/s10096-016-2583-2

[18] cyp51A-based mechanism of azole resistance in Aspergillus fumigatus: Illustration by a new 3D Structural Model of Aspergillus fumigatus CYP51A protein.
    Authors: Liu M, Zheng N, Li D, Zheng H, Zhang L, Ge H, Liu W
    PMID: 26768370 | DOI: 10.1093/mmy/myv102

[19] Clinical characteristics and treatment outcomes of chronic pulmonary aspergillosis.
    Authors: Jhun BW, Jeon K, Eom JS, Lee JH, Suh GY, Kwon OJ, Koh WJ
    PMID: 23834282 | DOI: 10.3109/13693786.2013.806826

[20] A rare etiology of cauda equina syndrome.
    Authors: Batra S, Arora S, Meshram H, Khanna G, Grover SB, Sharma VK
    PMID: 21330747 | DOI: 10.3855/jidc.1001

[21] [Review of pulmonary Mycobacterium xenopi infection cases: 11 cases of our own and 18 other cases reported in Japan].
    Authors: Matsui Y, Tamura A, Nagayama N, Akashi S, Araki K, Kimura H, Shimada M, Suzuki J, Kashizaki F, Kawashima M, Ariga H, Suzuki J, Ohshima N, Masuda K, Matsui H, Teramoto S, Yamane A, Nagai H, Akagawa S, Toyota E, Shouji S, Nakajima Y
    PMID: 20845683 | DOI: 

[22] [Severe colitis due to Histoplasma capsulatum in an AIDS patient].
    Authors: Buhk T, Stellbrink HJ, Albrecht H, Sobottka I
    PMID: 16823702 | DOI: 10.1055/s-2006-926645

[23] A 12-case series of Penicillium marneffei pneumonia.
    Authors: Deesomchok A, Tanprawate S
    PMID: 16696387 | DOI: 

[24] Three-dimensional models of wild-type and mutated forms of cytochrome P450 14alpha-sterol demethylases from Aspergillus fumigatus and Candida albicans provide insights into posaconazole binding.
    Authors: Xiao L, Madison V, Chau AS, Loebenberg D, Palermo RE, McNicholas PM
    PMID: 14742211 | DOI: 10.1128/AAC.48.2.568-574.2004

[25] [Pulmonary cryptococcosis combined with pulmonary tuberculosis].
    Authors: Kishi K, Homma S, Kurosaki A, Kawabata M, Tsuboi E, Narui K, Nakatani T, Kono T, Motoi N, Tanimoto H, Nakata K
    PMID: 12693002 | DOI: 

[26] [A case of pulmonary infection induced by both Aspergillus sp. and Mycobacterium tuberculosis during corticosteroid therapy].
    Authors: Kobashi Y, Okimoto N, Matsushima T, Hara Y
    PMID: 11974898 | DOI: 

[27] Crystal structure of cytochrome P450 14alpha -sterol demethylase (CYP51) from Mycobacterium tuberculosis in complex with azole inhibitors.
    Authors: Podust LM, Poulos TL, Waterman MR
    PMID: 11248033 | DOI: 10.1073/pnas.061562898

[28] Mycobacterial and fungal infections of bone and joints.
    Authors: Meier JL, Beekmann SE
    PMID: 7547111 | DOI: 10.1097/00002281-199507000-00011

[29] Penicillium marneffei infection in a patient with SLE.
    Authors: Lo CY, Chan DT, Yuen KY, Li FK, Cheng KP
    PMID: 7655496 | DOI: 10.1177/096120339500400313

[30] Mycobacterial and fungal infections of bone and joints.
    Authors: Meier JL
    PMID: 8068512 | DOI: 10.1097/00002281-199407000-00010

[31] Opportunistic infection in AIDS.
    Authors: Sengupta D, Lal S, Shrinivas
    PMID: 8207276 | DOI: 

[32] [Cerebral aspergillosis in immunocompromised patients].
    Authors: Preckel MP, Mercatello A, Tognet E, Devaux Y, Archimbaud E, Fiere D, Moskovtchenko JF
    PMID: 1755556 | DOI: 10.1016/S0750-7658(05)80850-0"
simvastatin	Direct (HDT)	3	['31616387', '31605489', '27632901']	"[1] Simvastatin Enhances the Immune Response Against Mycobacterium tuberculosis.
    Authors: Guerra-De-Blas PDC, Bobadilla-Del-Valle M, Sada-Ovalle I, Estrada-Garcia I, Torres-Gonzalez P, Lopez-Saavedra A, Guzman-Beltran S, Ponce-de-Leon A, Sifuentes-Osornio J
    PMID: 31616387 | DOI: 10.3389/fmicb.2019.02097

[2] Adjunctive Host-Directed Therapy With Statins Improves Tuberculosis-Related Outcomes in Mice.
    Authors: Dutta NK, Bruiners N, Zimmerman MD, Tan S, Dartois V, Gennaro ML, Karakousis PC
    PMID: 31605489 | DOI: 10.1093/infdis/jiz517

[3] Topical Simvastatin as Host-Directed Therapy against Severity of Cutaneous Leishmaniasis in Mice.
    Authors: Parihar SP, Hartley MA, Hurdayal R, Guler R, Brombacher F
    PMID: 27632901 | DOI: 10.1038/srep33458"
