drug_name	drug_gene	type
temsirolimus	DNM1L	LINCS
nelfinavir	KIF20A	LINCS
albendazole	KIF20A	LINCS
ethinyl-estradiol	G3BP1	LINCS
oxybenzone	CEBPZ	LINCS
trapidil	TXNDC9	LINCS
ethinyl-estradiol	TXNDC9	LINCS
tofacitinib	TXNDC9	LINCS
zolmitriptan	CDK6	LINCS
resveratrol	CDKN1A	LINCS
lovastatin	CDKN1A	LINCS
dopamine	STUB1	LINCS
amiodarone	STUB1	LINCS
chlorphenamine	TNIP1	LINCS
carbamazepine	IKZF1	LINCS
bendroflumethiazide	LYPLA1	LINCS
lisuride	VAV3	LINCS
labetalol	LRRC41	LINCS
methoxsalen	HYOU1	LINCS
papaverine	ST6GALNAC2	LINCS
tofacitinib	CENPE	LINCS
oxybenzone	ARPP19	LINCS
fostamatinib	MTHFD2	LINCS
granisetron	MTHFD2	LINCS
albendazole	UBE2C	LINCS
tamoxifen	PRSS23	LINCS
naftopidil	PWP1	LINCS
forskolin	SLC2A6	LINCS
clonidine	CHP1	LINCS
axitinib	CHP1	LINCS
diclofenac	CRK	LINCS
rosuvastatin	CSRP1	LINCS
chlorprothixene	DLD	LINCS
ketotifen	DLD	LINCS
amiodarone	DLD	LINCS
carbamazepine	DLD	LINCS
rosuvastatin	TSC22D3	LINCS
brompheniramine	TSC22D3	LINCS
mometasone	TSC22D3	LINCS
lovastatin	TSC22D3	LINCS
dexamethasone	TSC22D3	LINCS
atorvastatin	TSC22D3	LINCS
fluvastatin	TSC22D3	LINCS
simvastatin	TSC22D3	LINCS
tubocurarine	DUSP3	LINCS
forskolin	DUSP4	LINCS
granisetron	E2F2	LINCS
dasatinib	ECH1	LINCS
benzonatate	EIF5	LINCS
trapidil	EIF5	LINCS
itraconazole	NR2F6	LINCS
fostamatinib	ERBB3	LINCS
nitrendipine	COG2	LINCS
granisetron	PUF60	LINCS
probucol	PUF60	LINCS
dopamine	RBM34	LINCS
tubocurarine	GPATCH8	LINCS
diclofenac	MAST2	LINCS
nitrendipine	JMJD6	LINCS
brompheniramine	JMJD6	LINCS
lapatinib	WASHC4	LINCS
quercetin	SIRT3	LINCS
temsirolimus	TMEM50A	LINCS
raloxifene	LSM 5.00	LINCS
panobinostat	PLA2G15	LINCS
resveratrol	TIPARP	LINCS
chlorphenamine	TIPARP	LINCS
methoxsalen	TIPARP	LINCS
naltrexone	PHGDH	LINCS
vemurafenib	PHGDH	LINCS
ephedrine	TIMM9	LINCS
lisuride	TNFRSF21	LINCS
chlorphenamine	SESN1	LINCS
estradiol	GLRX	LINCS
mitotane	GNA11	LINCS
estradiol	GNAS	LINCS
clonidine	GNAS	LINCS
tubocurarine	GNAS	LINCS
nicergoline	GNAS	LINCS
chlorprothixene	GNAS	LINCS
itraconazole	CHMP4A	LINCS
mitotane	CHMP4A	LINCS
probucol	ERO1A	LINCS
naltrexone	HLA-DMA	LINCS
lapatinib	HLA-DMA	LINCS
atorvastatin	HMGCR	LINCS
simvastatin	HMGCR	LINCS
methylergometrine	HMGCS1	LINCS
benzonatate	HMGCS1	LINCS
raloxifene	HMGCS1	LINCS
amiodarone	HMGCS1	LINCS
toremifene	HMGCS1	LINCS
bendroflumethiazide	HMGCS1	LINCS
itraconazole	HMGCS1	LINCS
tamoxifen	HMGCS1	LINCS
chlorprothixene	HMGCS1	LINCS
sertraline	HMGCS1	LINCS
dopamine	HMOX1	LINCS
triclosan	HMOX1	LINCS
curcumin	HMOX1	LINCS
probucol	HES1	LINCS
papaverine	HSPA8	LINCS
sertraline	BIRC5	LINCS
dexamethasone	IGFBP3	LINCS
trapidil	IGHMBP2	LINCS
panobinostat	INSIG1	LINCS
itraconazole	INSIG1	LINCS
tamoxifen	INSIG1	LINCS
raloxifene	INSIG1	LINCS
toremifene	INSIG1	LINCS
mitotane	INSIG1	LINCS
chlorprothixene	INSIG1	LINCS
sertraline	INSIG1	LINCS
amiodarone	INSIG1	LINCS
tamoxifen	ITGAE	LINCS
triclosan	ITGAE	LINCS
panobinostat	ITGB5	LINCS
chenodeoxycholic-acid	KIF5C	LINCS
papaverine	KIT	LINCS
rosuvastatin	RHOA	LINCS
fluvastatin	RHOA	LINCS
nicergoline	LAMA3	LINCS
quercetin	LAMA3	LINCS
naftopidil	LGALS8	LINCS
carbamazepine	LYN	LINCS
fostamatinib	FOXO4	LINCS
dexamethasone	MUC1	LINCS
benzonatate	NFATC3	LINCS
vemurafenib	PNP	LINCS
rilmenidine	NVL	LINCS
ketotifen	OXA1L	LINCS
dasatinib	SERPINE1	LINCS
toremifene	GOLT1B	LINCS
gemfibrozil	GMNN	LINCS
nabumetone	GMNN	LINCS
vemurafenib	PCK2	LINCS
fluvastatin	PCNA	LINCS
axitinib	PCNA	LINCS
NECA	SCAND1	LINCS
zolmitriptan	ATP6V1D	LINCS
mometasone	ATP6V1D	LINCS
methoxsalen	ATP6V1D	LINCS
quercetin	ATP6V1D	LINCS
ephedrine	UFM1	LINCS
nabumetone	PLK1	LINCS
nicergoline	CYCS	LINCS
papaverine	CYCS	LINCS
naltrexone	CYCS	LINCS
gemfibrozil	CYCS	LINCS
probucol	POLR2I	LINCS
NECA	KCTD5	LINCS
methylergometrine	KCTD5	LINCS
triclosan	DDIT4	LINCS
nelfinavir	DDIT4	LINCS
mometasone	DDIT4	LINCS
axitinib	HERC6	LINCS
icosapent	HERC6	LINCS
nabumetone	PPP2R5E	LINCS
tofacitinib	CARMIL1	LINCS
lapatinib	MINDY1	LINCS
mitotane	MINDY1	LINCS
zolmitriptan	KDM3A	LINCS
clarithromycin	PECR	LINCS
ephedrine	EAPP	LINCS
chenodeoxycholic-acid	ZNF395	LINCS
methylergometrine	TM9SF3	LINCS
rilmenidine	PSMB8	LINCS
diclofenac	CIAPIN1	LINCS
nitrendipine	MCOLN1	LINCS
tubocurarine	MCOLN1	LINCS
clarithromycin	THAP11	LINCS
temsirolimus	ENOPH1	LINCS
ketotifen	RAC2	LINCS
forskolin	RGS2	LINCS
trapidil	RPA2	LINCS
estradiol	S100A4	LINCS
clonidine	SATB1	LINCS
rilmenidine	SATB1	LINCS
curcumin	ABHD4	LINCS
labetalol	RBKS	LINCS
naftopidil	RBKS	LINCS
clarithromycin	SLC1A4	LINCS
nelfinavir	SLC1A4	LINCS
ethinyl-estradiol	INTS3	LINCS
naftopidil	BNIP3	LINCS
bendroflumethiazide	SPAG4	LINCS
lisuride	SRC	LINCS
albendazole	AURKA	LINCS
nitrendipine	STK10	LINCS
ephedrine	SUV39H1	LINCS
dopamine	SUV39H1	LINCS
NECA	TCEA2	LINCS
oxybenzone	TGFBR2	LINCS
naltrexone	TGFBR2	LINCS
ketotifen	TIAM1	LINCS
estradiol	TLR4	LINCS
zolmitriptan	TLR4	LINCS
fluvastatin	TPM1	LINCS
rosuvastatin	TPM1	LINCS
axitinib	UGDH	LINCS
methoxsalen	CXCR4	LINCS
simvastatin	CCDC86	LINCS
lovastatin	CCDC86	LINCS
atorvastatin	CCDC86	LINCS
brompheniramine	CCDC86	LINCS
brompheniramine	TRAPPC6A	LINCS
tofacitinib	MBOAT7	LINCS
icosapent	MBOAT7	LINCS
temsirolimus	TCTN1	LINCS
icosapent	NPEPL1	LINCS
nelfinavir	NUP85	LINCS
methylergometrine	DHDDS	LINCS
rilmenidine	FBXO11	LINCS
granisetron	FBXO11	LINCS
