Source,Target,Interaction
PPFIA1,PPP2R1A,ppi
PPP2R1A,UBC,ppi
UBC,PCNA,ppi
PTPRF,PPFIA1,ppi
PPFIA1,PPP2R1A,ppi
PPP2R1A,UBC,ppi
UBC,CXCR4,ppi
PTPRF,PPFIA1,ppi
PPFIA1,PPP2R1A,ppi
PPP2R1A,UBC,ppi
UBC,CDKN1A,ppi
PTPRF,PPFIA1,ppi
PPFIA1,PPP2R1A,ppi
PPP2R1A,UBC,ppi
UBC,HMGCR,ppi
STXBP1,STX2,ppi
STX2,SNAP23,ppi
SNAP23,STX4,ppi
STX4,VAMP2,ppi
VAMP2,UBC,ppi
UBC,RHOA,ppi
STXBP1,STX2,ppi
STX2,SNAP23,ppi
SNAP23,STX4,ppi
STX4,VAMP2,ppi
VAMP2,UBC,ppi
UBC,PCNA,ppi
STXBP1,STX2,ppi
STX2,SNAP23,ppi
SNAP23,STX4,ppi
STX4,VAMP2,ppi
VAMP2,UBC,ppi
UBC,CXCR4,ppi
STXBP1,STX2,ppi
STX2,SNAP23,ppi
SNAP23,STX4,ppi
STX4,VAMP2,ppi
VAMP2,UBC,ppi
UBC,CDKN1A,ppi
STXBP1,STX2,ppi
STX2,SNAP23,ppi
SNAP23,STX4,ppi
STX4,VAMP2,ppi
VAMP2,UBC,ppi
UBC,HMGCR,ppi
TSPAN4,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,RHOA,ppi
TSPAN4,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,PCNA,ppi
TSPAN4,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,CXCR4,ppi
TSPAN4,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,CDKN1A,ppi
TSPAN4,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,HMGCR,ppi
TOP2A,UBC,ppi
UBC,RHOA,ppi
TOP2A,UBC,ppi
UBC,PCNA,ppi
TOP2A,UBC,ppi
UBC,CXCR4,ppi
TOP2A,UBC,ppi
UBC,CDKN1A,ppi
TOP2A,UBC,ppi
UBC,HMGCR,ppi
CXCR4,UBC,ppi
UBC,RHOA,ppi
CXCR4,UBC,ppi
UBC,PCNA,ppi
CXCR4,UBC,ppi
UBC,CDKN1A,ppi
CXCR4,UBC,ppi
UBC,HMGCR,ppi
CXCR4,UBC,ppi
UBC,GNA11,ppi
TRIB1,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,RHOA,ppi
TRIB1,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,PCNA,ppi
TRIB1,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,CXCR4,ppi
TRIB1,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,CDKN1A,ppi
TRIB1,ITGB1,ppi
ITGB1,ITGA5,ppi
ITGA5,UBC,ppi
UBC,HMGCR,ppi
temsirolimus,DNM1L,drug-gene
nelfinavir,KIF20A,drug-gene
albendazole,KIF20A,drug-gene
ethinyl-estradiol,G3BP1,drug-gene
oxybenzone,CEBPZ,drug-gene
trapidil,TXNDC9,drug-gene
ethinyl-estradiol,TXNDC9,drug-gene
tofacitinib,TXNDC9,drug-gene
zolmitriptan,CDK6,drug-gene
resveratrol,CDKN1A,drug-gene
lovastatin,CDKN1A,drug-gene
dopamine,STUB1,drug-gene
amiodarone,STUB1,drug-gene
chlorphenamine,TNIP1,drug-gene
carbamazepine,IKZF1,drug-gene
bendroflumethiazide,LYPLA1,drug-gene
lisuride,VAV3,drug-gene
labetalol,LRRC41,drug-gene
methoxsalen,HYOU1,drug-gene
tofacitinib,CENPE,drug-gene
oxybenzone,ARPP19,drug-gene
fostamatinib,MTHFD2,drug-gene
granisetron,MTHFD2,drug-gene
albendazole,UBE2C,drug-gene
tamoxifen,PRSS23,drug-gene
naftopidil,PWP1,drug-gene
forskolin,SLC2A6,drug-gene
clonidine,CHP1,drug-gene
axitinib,CHP1,drug-gene
diclofenac,CRK,drug-gene
rosuvastatin,CSRP1,drug-gene
chlorprothixene,DLD,drug-gene
ketotifen,DLD,drug-gene
amiodarone,DLD,drug-gene
carbamazepine,DLD,drug-gene
rosuvastatin,TSC22D3,drug-gene
brompheniramine,TSC22D3,drug-gene
mometasone,TSC22D3,drug-gene
lovastatin,TSC22D3,drug-gene
dexamethasone,TSC22D3,drug-gene
atorvastatin,TSC22D3,drug-gene
fluvastatin,TSC22D3,drug-gene
simvastatin,TSC22D3,drug-gene
tubocurarine,DUSP3,drug-gene
forskolin,DUSP4,drug-gene
granisetron,E2F2,drug-gene
dasatinib,ECH1,drug-gene
benzonatate,EIF5,drug-gene
trapidil,EIF5,drug-gene
itraconazole,NR2F6,drug-gene
fostamatinib,ERBB3,drug-gene
nitrendipine,COG2,drug-gene
granisetron,PUF60,drug-gene
probucol,PUF60,drug-gene
dopamine,RBM34,drug-gene
tubocurarine,GPATCH8,drug-gene
diclofenac,MAST2,drug-gene
nitrendipine,JMJD6,drug-gene
brompheniramine,JMJD6,drug-gene
quercetin,SIRT3,drug-gene
temsirolimus,TMEM50A,drug-gene
panobinostat,PLA2G15,drug-gene
resveratrol,TIPARP,drug-gene
chlorphenamine,TIPARP,drug-gene
methoxsalen,TIPARP,drug-gene
naltrexone,PHGDH,drug-gene
vemurafenib,PHGDH,drug-gene
ephedrine,TIMM9,drug-gene
lisuride,TNFRSF21,drug-gene
chlorphenamine,SESN1,drug-gene
estradiol,GLRX,drug-gene
mitotane,GNA11,drug-gene
estradiol,GNAS,drug-gene
clonidine,GNAS,drug-gene
tubocurarine,GNAS,drug-gene
nicergoline,GNAS,drug-gene
chlorprothixene,GNAS,drug-gene
itraconazole,CHMP4A,drug-gene
mitotane,CHMP4A,drug-gene
naltrexone,HLA-DMA,drug-gene
lapatinib,HLA-DMA,drug-gene
atorvastatin,HMGCR,drug-gene
simvastatin,HMGCR,drug-gene
methylergometrine,HMGCS1,drug-gene
benzonatate,HMGCS1,drug-gene
raloxifene,HMGCS1,drug-gene
amiodarone,HMGCS1,drug-gene
toremifene,HMGCS1,drug-gene
bendroflumethiazide,HMGCS1,drug-gene
itraconazole,HMGCS1,drug-gene
tamoxifen,HMGCS1,drug-gene
chlorprothixene,HMGCS1,drug-gene
sertraline,HMGCS1,drug-gene
