pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss	clinical_phase
acarbose	A549	trt_cp	down	-0.3042720690639529	3.476908164147665e-4	7.618958210545971e-4	-0.7037295433989188	-32.3170731707317	4920	0.5521929381528473	50	7	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	MCF7	trt_cp	up	0.4633342376344637	2.3369418413508935e-5	7.305905140448846e-5	1.1816657894877824	92.40892312630396	6231	0.5521929381528473	50	7	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0.5521929381528473	50	7	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acebutolol	MCF7	trt_cp	down	-0.443196863601128	2.42397878143845e-5	7.305905140448846e-5	-0.9868140905792213	-55.76953939977532	6231	-0.9416269849083362	50	7	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acebutolol	VCAP	trt_cp	down	-0.3500362368446993	2.9048578754222e-5	7.377895905985554e-5	-0.8224880773438817	-42.22984002611818	6126	-0.9416269849083362	50	7	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acebutolol	PC3	trt_cp	down	-0.42947348661201123	2.4849046394997394e-5	7.305905140448846e-5	-0.9183487789566681	-45.79119571683522	6724	-0.9416269849083362	50	7	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acepromazine	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	NPC	trt_cp	down	-0.5495832374341295	1.9583311519700225e-5	7.305905140448846e-5	-1.2643353950089304	-92.90865384615385	3328	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	PC3	trt_cp	down	-0.33578452497474554	3.788282817310899e-5	9.115363377786255e-5	-0.7180124457407616	-35.7674003569304	6724	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	PHH	trt_cp	down	-0.3229061607039	7.195779021738738e-5	1.6571747467954167e-4	-0.7680989590093731	-45.78177727784027	1778	-0.7190141760061338	50	7	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acetyl-farnesyl-cysteine	PC3	trt_cp	down	-0.4290443903314818	2.4849046394997394e-5	7.305905140448846e-5	-0.9174312367624161	-45.44913741820345	6724	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	NPC	trt_cp	down	-0.49468375680061893	2.1976827372108028e-5	7.305905140448846e-5	-1.138037226133512	-73.5576923076923	3328	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	NEU	trt_cp	down	-0.42385112689937987	2.5066638745216286e-5	7.305905140448846e-5	-1.0162705501954226	-74.54545454545455	2475	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	PHH	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1778	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	FIBRNPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	597	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	VCAP	trt_cp	down	-0.37673967473587666	2.7112006837273864e-5	7.305905140448846e-5	-0.885233750442095	-36.696049624551094	6126	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	SKB	trt_cp	up	0.49224013744472844	2.2107382782239364e-5	7.305905140448846e-5	1.2886697876629325	96.15055603079556	2338	-0.8861996750317046	50	7	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
