Unnamed: 0	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191
TSPAN6	3	17	4	19	30	49	48	43	79	22	175	49
TNMD	0	0	0	0	0	0	0	0	0	0	0	1
DPM1	1058	1298	1203	1195	1718	1517	1151	1338	831	933	893	947
SCYL3	843	682	1225	890	628	1633	996	1673	854	704	969	683
C1orf112	46	112	115	228	158	413	207	197	114	164	40	62
FGR	64589	11491	32790	14152	19765	1247	12175	2492	5984	21144	2368	8865
CFH	33	247	75	115	191	127	272	139	191	129	81	80
FUCA2	639	1182	649	1273	1357	653	715	795	524	1288	115	416
GCLC	256	1222	838	1446	876	1801	1298	1431	515	1212	263	384
NFYA	912	1017	383	1026	2547	1842	1461	1476	523	1085	56	281
STPG1	19	80	66	129	112	214	159	186	161	114	279	185
NIPAL3	190	1329	512	2037	897	2500	2475	1918	1598	1673	715	602
LAS1L	132	1052	263	1047	683	1719	1436	1302	927	979	265	573
ENPP4	2014	1071	1327	1355	751	1032	1158	758	274	679	25	141
SEMA3F	3	7	7	4	27	5	5	6	2	2	9	28
CFTR	0	10	6	8	14	8	18	19	25	14	60	44
ANKIB1	871	1296	817	1664	1457	1882	1641	1553	782	1518	118	288
CYP51A1	663	1614	1259	2265	4350	2518	937	1404	454	1147	358	882
KRIT1	529	1256	510	1040	1171	1890	1842	1907	1093	1204	931	999
RAD52	60	112	46	206	216	396	646	456	357	369	307	399
MYH16	0	0	1	0	0	0	0	1	0	0	1	1
BAD	333	214	345	340	454	510	308	382	500	266	326	502
LAP3	1474	4607	14339	4343	5056	4916	1432	7037	1389	11213	199	762
CD99	774	5953	4329	5685	4765	3671	7132	3042	4204	5749	1003	4094
HS3ST1	10	947	5	14	17	57	42	99	34	31	49	49
AOC1	93	14	15	12	44	16	6	57	21	7	41	32
WNT16	4	4	2	7	18	34	17	11	6	10	2	8
HECW1	8	9	13	9	7	23	17	30	91	15	234	93
MAD1L1	121	536	232	638	581	1089	1082	1020	898	781	232	466
LASP1	16685	12845	11722	12715	13117	11766	9841	9660	4102	9311	1010	7571
SNX11	1628	1097	1022	1072	1052	1299	832	1035	667	931	425	736
TMEM176A	187	1278	96	1447	1147	66	636	923	124	1332	29	1252
M6PR	1603	4258	3536	5213	5024	6998	5272	6197	3164	6433	220	893
KLHL13	0	5	4	6	4	14	15	5	10	12	0	0
CYP26B1	0	0	1	0	1	0	0	0	0	1	0	1
ICA1	413	98	120	79	118	63	95	95	117	128	104	108
DBNDD1	1	5	1	18	22	33	57	25	30	22	8	19
ALS2	244	476	235	487	630	734	691	674	611	671	841	692
CASP10	822	910	5312	1817	1754	1072	1928	928	1265	2446	576	798
CFLAR	25340	12582	29321	13873	12235	11576	11979	10746	6259	10567	5153	8776
TFPI	126	190	413	276	295	329	305	418	326	287	353	318
NDUFAF7	517	425	244	513	494	683	566	616	363	305	197	243
RBM5	2601	3920	1484	4389	5587	4755	5059	4923	3214	3547	806	2084
MTMR7	44	96	69	100	93	87	140	116	40	96	15	29
SLC7A2	0	3	2	0	6	3	2	4	7	0	10	14
ARF5	3710	2666	2206	2272	2974	2608	2526	2318	2412	2464	641	2508
