Unnamed: 0	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
UBA6	2391	1925	2245	1992	2580	1907	1959	813	1783
GAB2	6111	6475	7839	5977	6286	1263	1400	637	2725
ATP6V0A1	1893	1894	2032	1874	3041	1258	1504	915	1796
PIAS1	5899	3955	6105	4941	5342	3917	2717	1531	3905
SLC4A7	116	1567	556	2788	1552	2558	1138	1270	1573
APBA2	40	567	119	417	244	2219	199	84	176
MAP2K3	7090	4078	3945	3711	7643	2615	1752	2033	3547
CLXN	0	0	0	0	1	1	0	0	0
TMSB10	13035	33807	18287	26610	30546	31918	36075	42310	32225
ASTE1	93	268	13	169	253	319	347	113	181
RNF19A	3087	4851	3767	5527	7680	3614	2721	1107	2368
PEX3	81	291	87	270	205	293	483	141	200
GABARAPL2	6176	1382	3089	1700	3410	1718	1747	1182	1597
MYOC	0	0	0	0	0	0	0	0	0
SH3YL1	56	543	232	838	632	1385	1212	716	711
FAM136A	195	1012	397	999	792	1269	1250	915	823
VCL	4195	3989	5143	6031	3091	11848	1056	3919	8796
DEPDC1B	60	111	55	77	18	30	69	77	28
DAPK2	809	421	237	510	706	318	346	447	229
NSMAF	1289	2146	2357	2590	2513	1765	1721	741	1743
ADSS2	2174	3162	1976	3708	1550	2067	1954	909	2069
STAP1	420	260	112	191	268	468	1124	323	310
TIMP2	10093	3710	3768	5024	3206	1525	776	697	3283
RFC1	1034	2291	1028	2450	2691	2075	2736	1692	1717
TBC1D23	1715	1319	2199	1574	3107	920	1192	421	928
CUL3	4853	2942	4998	3736	7780	2752	2491	1592	2145
MYOM2	5	292	82	22	58	10	46	67	9
OTC	0	0	0	0	0	0	1	1	0
CYP46A1	30	58	25	73	83	163	179	161	130
ZZZ3	208	1482	517	1709	1158	1504	1718	674	1018
SLC18A1	1	1	4	2	12	4	14	2	9
USP2	1	3	1	3	57	5	4	3	11
CASR	10	23	24	18	13	31	64	35	24
TUBG2	24	99	20	118	140	309	388	212	164
RPL26L1	167	186	150	156	164	165	347	224	187
FLT4	2	46	13	74	229	170	56	173	102
NSUN2	673	2675	1163	2943	2366	2476	2903	1226	2133
FBXO42	1360	1241	986	1529	1207	1371	1139	639	1131
MFAP3	1708	937	1405	1023	799	719	973	244	508
MRI1	135	538	268	800	646	1358	952	715	866
METTL1	7	192	15	45	84	130	348	155	69
HOXC8	0	0	0	0	0	0	1	0	0
AGA	727	603	241	350	318	705	661	409	355
PI4K2B	526	1444	1257	1321	1088	916	1272	516	1252
BOD1L1	4956	8822	7504	8025	10511	7374	7102	6927	5866
MAT2B	3309	3679	4037	3879	2106	4936	6970	1973	4044
TLL1	0	0	0	0	0	0	3	0	0
EDC4	544	2678	967	2854	2229	2277	2288	1370	1770
TRIO	593	1868	617	2103	1351	1380	883	601	1456
VCAN	10408	46835	22962	84459	28127	13242	2951	6146	29077
CLEC16A	415	643	444	911	749	1515	1676	712	1103
MSR1	332	1500	4921	2592	868	149	150	136	385
