Unnamed: 0	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
GGCT	70	296	186	269	305	370	592	267	286
DBF4	394	1275	642	1364	1666	698	925	506	518
TBXA2R	21	67	97	110	72	262	103	286	128
IFRD1	3824	2118	5520	3028	8672	1893	1524	580	2106
LGALS14	2	6	1	3	3	10	11	7	8
COX10	84	508	138	434	345	614	415	372	394
GTF2IRD1	4	36	18	27	32	44	120	74	49
PAF1	1610	1458	3106	1822	3035	1573	1715	992	1209
VPS41	1248	1070	625	1293	1254	1586	1423	831	1632
ARHGAP44	7	14	14	19	46	35	49	153	36
ELAC2	333	1353	408	1314	814	1815	1559	1112	1237
SCIN	31	65	66	68	119	129	150	250	102
ARSD	1111	541	466	1181	1001	1093	1007	1018	1021
PNPLA4	75	88	41	120	114	169	205	131	117
MYH13	0	0	0	0	0	0	0	0	0
ADIPOR2	907	1488	2150	1871	1517	1145	1056	476	996
CDKL3	16	21	50	39	26	27	31	13	16
UPP2	1	0	3	0	0	4	1	0	1
PRSS21	5	14	9	4	14	45	48	46	4
MARK4	1038	741	815	1598	1018	1171	762	412	996
PROM1	4	8	11	2	10	7	22	3	16
CCDC124	309	803	352	728	640	856	1057	1000	758
CEACAM21	882	67	204	225	107	318	194	287	161
PAFAH1B1	6814	6641	5903	6999	7863	5908	5765	2660	5157
NOS2	0	2	3	6	3	14	15	0	2
DNAH9	6	5	1	3	5	7	13	11	7
KIAA0100	2851	4385	2131	6409	5756	5051	4788	2328	4958
SLC13A2	0	0	0	0	0	0	0	0	0
GAS7	33203	11656	19916	12864	5748	3545	2141	1131	5106
TRAPPC6A	73	279	111	220	261	528	561	593	341
MATK	65	891	301	1678	1561	2412	701	2396	1059
CEACAM7	0	0	0	0	0	0	0	0	0
CD79B	120	1316	197	812	471	1395	1373	1918	911
SCN4A	0	6	4	10	10	18	24	2	6
ST7L	338	161	515	307	475	308	415	226	286
TKTL1	42	221	47	63	169	83	14	91	118
PAX6	2	4	1	3	7	6	8	3	5
RPUSD1	324	352	245	699	441	623	714	681	582
RHBDF1	0	3	6	4	3	2	29	2	5
LUC7L	482	1265	429	1899	1865	2944	2367	2340	1905
CACNA2D2	29	427	133	707	300	960	128	170	330
BAIAP3	16	294	42	170	482	318	83	480	296
TSR3	388	391	272	475	574	664	839	1041	737
PIGQ	340	449	264	526	588	801	839	805	634
CRAMP1	446	1118	395	1109	1169	1790	1529	477	1144
TEAD3	5	1	9	2	5	7	17	6	3
SELE	0	0	1	3	1	2	6	4	2
DNAJC11	139	1014	289	1268	838	1728	1761	1092	1250
FMO3	2	16	3	25	18	20	25	45	32
MYLIP	1771	2382	961	1332	11042	3339	641	1571	1768
NOX1	0	1	3	2	4	7	18	7	4
E2F2	674	304	186	510	75	171	113	283	231
PSMB1	1674	2778	3175	2136	2439	2103	2728	1974	2314
SYN1	18	71	55	119	101	51	40	20	27
JARID2	1803	10570	3613	6781	4913	3367	2813	1680	3054
CDKL5	393	334	559	284	375	488	535	372	450
CAMK1G	1	9	32	3	24	2	12	1	0
CDK11A	1158	2170	1307	2626	2164	3385	3130	2616	2678
NADK	9932	4108	10540	4573	11848	3792	2547	2606	8179
TFAP2B	0	0	0	0	3	0	3	0	0
TFAP2D	0	1	0	0	0	1	2	0	1
DLEC1	44	136	123	181	124	313	145	167	159
CYTH3	117	583	224	753	761	688	485	232	404
ADAM22	17	104	28	170	96	182	73	82	96
SYPL1	1231	1648	823	1442	1250	1417	2192	557	1360
CYB561	55	895	402	821	908	1120	1189	925	904
SPAG9	2519	5169	8631	4309	10735	1984	3184	957	2012
CELSR3	4	128	32	170	167	230	199	64	178
AASS	31	177	195	118	208	329	363	269	145
PLEKHG6	47	21	143	75	78	17	8	15	13
SS18L2	212	616	250	550	548	530	706	554	591
MPND	172	268	231	306	411	350	319	425	417
MGST1	795	410	278	640	368	216	1333	180	378
CRY1	104	849	485	1173	1841	815	839	316	561
PGLYRP1	2914	694	1640	79	197	34	34	5	17
NFIX	49	516	177	512	442	299	431	125	597
ST3GAL1	2883	6774	7423	8159	5905	7653	7485	3845	4678
MMP25	43187	1992	11313	2622	7423	414	1067	186	371
IL32	286	4413	946	5136	4157	12505	22484	9832	6277
PKD1	86	1005	400	1919	1609	2296	1436	1039	1805
MAPK8IP2	10	17	12	21	22	50	44	38	33
MED24	364	1088	333	1205	792	1745	1596	1010	1201
RHOBTB2	54	184	86	245	247	646	420	298	527
HEATR5B	458	1245	698	2404	1942	2641	1179	787	1611
SEC62	8760	5715	5979	6535	6312	5476	6480	6350	4562
RPS20	3946	22860	11012	23986	24867	30598	36723	33809	18550
CSDE1	16109	28887	23882	29021	24164	19655	20325	8602	16538
UBE3C	1257	2173	1570	3224	1856	2391	2330	948	2396
REV3L	331	1522	844	1904	2152	1393	1188	564	1144
TENM1	671	281	77	520	257	658	172	244	399
PAX7	0	0	0	0	0	1	1	0	0
MASP2	17	210	160	344	92	350	246	74	226
IYD	13	22	16	22	40	46	35	139	41
FAM76A	157	506	268	658	647	657	584	559	571
TRAF3IP3	2088	2579	2594	5905	3563	10691	5182	6949	6076
POMT2	90	149	125	233	330	318	308	265	296
VTA1	1293	1077	924	1317	1143	1024	1314	614	1058
MLXIPL	17	132	50	61	90	47	54	92	42
BAZ1B	848	3157	961	3625	2481	3622	4464	3664	2752
RANBP9	5270	2471	1647	2807	3039	2321	2325	872	1887
ETV7	158	409	1984	202	683	25	522	93	324
SPRTN	573	630	609	795	1081	313	375	148	301
METTL13	121	310	106	255	184	429	973	425	391
DYRK4	181	171	61	136	136	260	341	202	181
ZNF207	8498	10206	6740	11769	13092	8237	7036	4842	6757
UQCRC1	1775	1803	940	1938	1930	1661	1789	1814	2130
