Unnamed: 0	GSM5005789	GSM5005790	GSM5005791	GSM5005792	GSM5005793	GSM5005794	GSM5005795	GSM5005796
TSPAN6	4	0	0	2	6	6	4	0
TNMD	0	0	0	0	0	0	0	0
DPM1	648	597	325	286	515	495	288	222
SCYL3	310	280	125	131	281	303	131	148
C1orf112	351	136	108	49	259	193	95	73
FGR	5727	3536	4202	4074	2155	1773	1989	1643
CFH	43	56	24	88	40	69	23	65
FUCA2	1459	2518	1395	1259	752	887	600	626
GCLC	3004	2238	3288	2493	834	382	602	285
NFYA	309	232	152	118	250	233	114	134
STPG1	59	48	40	28	53	66	26	23
NIPAL3	632	624	415	287	587	881	288	288
LAS1L	435	221	165	144	481	313	183	109
ENPP4	710	667	380	399	534	721	250	437
SEMA3F	2	0	0	0	0	8	1	6
CFTR	1	8	1	1	1	1	1	3
ANKIB1	953	1144	595	584	850	1160	472	525
CYP51A1	2346	879	2598	1451	1259	924	808	691
KRIT1	561	457	226	306	443	434	180	225
RAD52	105	79	54	46	98	87	52	48
MYH16	0	0	0	0	0	1	0	1
BAD	260	187	173	86	165	204	84	75
LAP3	7253	12844	5749	4271	3573	5707	3941	3032
CD99	1343	1357	1153	867	636	910	676	595
HS3ST1	12	14	5	6	6	22	4	6
AOC1	260	48	482	82	79	67	99	206
WNT16	3	1	2	1	2	8	1	2
HECW1	4	0	0	0	1	0	0	0
MAD1L1	502	415	289	211	294	296	141	157
LASP1	8562	8114	6466	4981	3740	3139	2486	2453
SNX11	504	431	370	209	355	316	185	158
TMEM176A	1920	1441	1230	770	621	676	539	416
M6PR	6759	7711	5131	4591	3613	3364	2474	2342
KLHL13	7	0	2	0	1	5	0	0
CYP26B1	0	0	0	0	0	3	0	0
ICA1	111	155	125	104	37	72	47	27
DBNDD1	6	11	4	0	3	8	3	5
ALS2	280	320	217	194	227	308	129	149
CASP10	532	642	195	279	309	415	109	211
CFLAR	4096	4006	2128	2046	5028	9506	3353	5701
TFPI	378	131	269	277	256	190	118	295
NDUFAF7	154	207	122	103	173	191	85	58
RBM5	1303	1239	665	596	1175	1216	526	631
MTMR7	13	14	9	5	10	7	8	4
SLC7A2	1	128	8	1	1	44	10	1
ARF5	850	694	558	383	493	606	301	281
SARM1	225	220	77	65	206	249	65	70
POLDIP2	1137	728	516	430	864	719	417	291
PLXND1	4566	3528	4610	2760	1078	870	1117	812
AK2	1985	1616	710	679	1979	1779	913	681
CD38	716	780	130	433	1185	1965	447	944
FKBP4	1070	400	359	369	1339	962	510	474
KDM1A	976	727	543	349	932	908	437	418
RBM6	793	706	406	429	885	813	350	458
CAMKK1	112	211	83	118	48	32	26	43
RECQL	2054	1526	1171	868	1549	1663	753	726
VPS50	675	742	622	398	377	358	322	219
HSPB6	2	1	0	0	0	0	0	1
ARHGAP33	45	16	8	9	29	18	11	11
NDUFAB1	861	573	449	397	497	390	278	160
PDK4	7	4	5	7	44	13	3	45
SLC22A16	25	33	17	23	12	16	8	16
ZMYND10	24	11	9	5	5	5	3	4
ABCB5	1	1	0	0	0	1	1	2
ARX	1	0	0	0	0	0	0	0
SLC25A13	302	285	238	196	221	201	97	112
ST7	267	309	258	123	138	143	108	71
CDC27	2073	1572	1114	923	1619	1553	788	760
SLC4A1	7	8	3	22	11	19	1	16
CALCR	2	0	1	0	0	0	0	0
HCCS	341	300	225	187	212	196	92	108
DVL2	407	255	187	115	378	303	147	139
PRSS22	0	6	3	4	3	10	0	16
UPF1	1692	1241	981	666	1384	1098	586	635
SKAP2	1246	1223	1171	616	436	387	322	319
SLC25A5	3606	1833	1860	1393	2103	1335	1063	584
MCUB	694	570	266	232	573	636	286	166
HOXA11	1	2	0	0	0	0	0	0
POLR2J	302	383	205	187	208	219	157	93
DHX33	169	97	76	59	204	160	71	82
MEOX1	16	5	6	1	6	2	2	0
THSD7A	2	0	1	0	0	5	0	1
LIG3	528	432	252	239	447	481	188	171
RPAP3	647	488	337	264	500	504	225	230
ACSM3	32	39	20	18	34	30	23	15
REXO5	96	58	43	37	64	115	49	29
CIAPIN1	639	544	346	310	528	459	212	215
SPPL2B	269	214	117	158	225	232	79	83
FAM214B	917	848	718	684	425	419	270	506
COPZ2	57	107	87	78	28	52	15	20
PRKAR2B	212	148	151	89	92	146	92	71
MSL3	568	754	283	317	543	495	218	255
CREBBP	585	653	241	301	544	654	297	432
TSPOAP1	254	86	71	89	201	155	57	72
MPO	63	33	18	44	16	28	11	15
PON1	0	0	0	0	1	0	0	0
