Unnamed: 0	GSM3855590	GSM3855591	GSM3855593	GSM3855594	GSM3855596	GSM3855597	GSM3855599	GSM3855600	GSM3855602	GSM3855603	GSM3855605	GSM3855606
TSPAN6	177	131	195	62	138	135	214	31	169	134	138	44
TNMD	3	1	1	1	3	2	1	0	4	1	1	0
DPM1	1055	1159	769	694	731	878	880	600	967	1075	844	919
SCYL3	735	549	716	724	643	364	705	595	732	254	652	925
C1orf112	395	173	382	214	290	194	399	186	339	193	371	290
FGR	3945	8087	9298	5537	4959	4171	8755	3564	3426	4464	7833	6200
CFH	87	73	68	377	112	127	70	364	102	76	43	411
FUCA2	3249	3281	4603	6137	2700	2857	4753	4236	3344	2931	4397	7261
GCLC	14254	10823	10626	7662	12025	7558	10344	8227	16250	6325	9532	8001
NFYA	1357	1264	1213	1086	1418	1524	1425	851	1065	1114	971	1057
STPG1	88	36	91	40	73	38	77	51	57	30	76	63
NIPAL3	746	248	517	342	450	513	499	263	624	579	417	335
LAS1L	906	714	883	550	559	610	810	446	795	631	805	595
ENPP4	525	327	502	434	298	337	493	416	453	360	491	476
SEMA3F	3	2	0	2	9	6	10	3	0	3	2	0
CFTR	276	39	61	27	191	76	64	38	233	49	62	25
ANKIB1	2024	1270	1838	2877	1512	1440	2043	2448	1858	1281	1833	3592
CYP51A1	2635	3117	2603	7219	1617	2636	2373	4641	2542	2929	2166	7821
KRIT1	1807	1529	1698	1099	1670	1404	1769	1067	1664	1272	1543	1470
RAD52	354	195	505	345	299	135	488	261	317	171	402	419
MYH16	7	3	14	0	12	7	9	0	10	1	6	2
BAD	679	360	491	374	525	565	722	271	524	623	524	380
LAP3	3453	4077	4248	51966	2776	3145	4464	36176	5596	3403	4555	65781
CD99	7685	5886	5503	3931	4839	5894	5880	3423	6621	6937	4980	3859
HS3ST1	918	573	913	429	884	1086	1088	382	845	903	820	358
AOC1	540	207	94	112	240	404	114	143	509	446	130	98
WNT16	10	8	11	3	9	3	3	7	7	6	4	10
HECW1	12	7	10	2	10	9	5	5	0	9	10	6
MAD1L1	1819	1711	2338	1579	1610	1288	2385	1351	1729	1459	2188	1699
LASP1	19111	12820	20595	14378	16799	13197	20446	10404	16265	15600	17711	14466
SNX11	1260	1480	1260	2230	1112	1584	1419	1669	1150	1808	1253	2518
TMEM176A	2933	2084	2013	5702	2242	3097	2911	4470	2931	2907	2230	7490
M6PR	20487	21621	24993	21419	16711	16073	25531	15673	19063	19330	23928	24983
KLHL13	52	26	55	0	22	18	66	2	20	46	74	1
CYP26B1	19	11	2	3	11	13	7	3	13	12	2	4
ICA1	1255	544	875	700	809	782	961	497	1075	925	906	695
DBNDD1	65	21	51	8	45	32	50	14	50	35	29	14
ALS2	1469	818	1578	988	1262	809	1557	786	1246	704	1435	1286
CASP10	1095	248	802	2693	658	553	896	1741	977	615	804	3053
CFLAR	6666	26915	5200	17225	5460	26761	5238	12773	6826	20518	4960	24800
TFPI	4130	2896	2033	800	2082	3130	2700	626	3549	3226	2555	824
NDUFAF7	631	434	639	485	485	373	732	321	605	447	610	634
RBM5	6021	5954	7472	4693	4536	4625	7370	3920	5317	4752	6616	6029
MTMR7	254	165	114	62	175	211	119	87	188	102	132	114
SLC7A2	1777	10853	1210	1092	1090	5098	1492	1149	1644	3471	1219	1640
ARF5	2676	1927	1908	1176	1910	2271	2271	1161	2076	2291	2051	1229
SARM1	353	137	273	125	359	211	316	88	376	128	300	124
POLDIP2	2649	2512	2826	2441	2251	2040	2976	1869	2597	2317	2532	2805
PLXND1	17394	14436	12495	8005	17384	17515	13845	7704	14650	11980	14171	10972
AK2	2036	1917	2413	3336	1854	1530	2624	2460	1969	1545	2398	3801
CD38	53	353	33	3074	56	278	51	2555	64	88	37	4682
FKBP4	908	882	1579	850	755	718	1734	613	905	452	1429	1077
KDM1A	2788	1747	2236	1588	1807	1837	2330	1358	2382	1741	2251	2181
RBM6	1987	1317	2692	1673	1330	1153	2319	1510	1513	1285	2266	2301
CAMKK1	831	198	788	237	818	266	773	139	974	250	825	188
RECQL	2260	2546	2875	3014	1750	1649	2722	2118	2306	2057	2676	3439
VPS50	1648	868	1945	1753	1117	896	2044	1192	1408	1115	1851	1927
HSPB6	5	7	13	6	5	9	13	5	6	4	7	4
ARHGAP33	27	11	6	3	13	5	6	4	3	11	5	2
NDUFAB1	828	822	1166	1155	697	663	1376	666	851	849	1052	1017
PDK4	5416	1033	6173	936	4013	455	6338	1538	4349	447	7846	1319
SLC22A16	33	9	19	18	31	25	19	26	15	9	19	23
ZMYND10	155	26	100	15	102	36	91	13	137	55	94	19
ABCB5	10	6	21	16	10	2	12	7	15	16	11	5
ARX	1	1	0	1	4	1	1	2	2	2	3	4
SLC25A13	1034	1162	1066	1056	928	1072	1067	677	1064	823	955	1145
ST7	660	547	719	757	593	567	718	489	640	586	651	774
CDC27	2509	2480	2787	2892	2526	1862	3006	2295	2517	1622	2723	3825
SLC4A1	10	16	10	9	21	10	23	13	20	16	8	7
CALCR	21	10	12	5	9	6	7	3	10	11	9	9
HCCS	678	651	586	597	580	539	598	533	675	376	647	812
DVL2	1303	667	1235	1030	984	634	1434	814	1099	850	1210	1381
PRSS22	1	0	2	2	4	5	2	1	3	1	2	0
UPF1	3473	3069	3595	3071	2772	2345	3595	2491	3408	1999	3624	3975
SKAP2	2927	2779	4840	2474	2760	2411	4744	1968	3155	2408	4545	2448
SLC25A5	3992	3749	4810	2984	3372	3218	5301	1829	3873	4093	4291	3123
MCUB	1120	764	1080	1597	1010	767	1155	1300	1017	889	1221	1563
HOXA11	1	3	1	0	2	1	3	0	0	1	6	0
POLR2J	957	722	879	630	695	764	958	564	807	628	844	806
DHX33	254	209	201	149	279	193	216	156	234	89	202	197
MEOX1	1	2	3	0	2	0	0	0	0	2	5	2
THSD7A	9	12	10	3	21	16	10	4	8	12	8	4
LIG3	1019	807	1221	728	871	863	1126	671	947	593	1067	948
RPAP3	942	501	1010	1285	806	480	971	910	858	483	955	1813
ACSM3	134	50	84	42	145	69	73	39	96	50	68	43
REXO5	310	219	161	52	204	202	204	58	226	308	197	84
CIAPIN1	842	1116	1037	1069	744	883	1079	769	800	794	935	1218
SPPL2B	797	467	721	484	582	571	857	334	650	562	681	452
FAM214B	2070	1753	2194	2369	1865	1375	2339	1561	2101	1282	1928	2729
COPZ2	84	52	46	45	52	77	64	45	84	62	33	38
PRKAR2B	82	101	35	70	47	86	53	50	82	84	39	93
MSL3	1135	638	1150	2219	893	648	1180	1955	1022	643	1209	2693
CREBBP	3271	2059	1749	1723	3256	3179	1980	2145	2942	1542	1937	2589
TSPOAP1	76	62	45	63	36	75	52	42	57	38	51	70
MPO	2	1	3	1	3	2	5	3	0	2	1	0
PON1	3	4	2	0	5	0	4	0	1	3	4	1
GCFC2	584	361	486	264	500	404	458	206	515	341	482	303
WDR54	51	18	31	18	30	38	29	7	56	36	25	11
CROT	303	159	471	265	265	197	462	184	294	223	474	284
ABCB4	192	268	544	57	303	172	449	84	268	145	474	42
KMT2E	3462	1980	2581	1974	2680	2560	2595	2197	2996	1677	2442	2996
RHBDD2	1754	1345	1065	690	1255	1568	1199	614	1587	1647	1170	699
SOX8	95	44	46	33	76	60	80	17	78	72	34	36
IBTK	1636	2155	2057	1757	1326	1570	2051	1578	1639	1488	1934	1957
ZNF195	714	642	619	554	634	548	657	421	591	375	701	702
MYCBP2	9222	5639	7792	6850	6840	6552	7434	6949	8089	4279	7797	9128
FBXL3	3192	3825	2353	2496	2354	3394	2394	1830	3537	2915	2276	3193
ITGAL	16186	8883	10804	7216	12541	10782	11187	8530	13643	9212	13104	9417
PDK2	2259	383	929	462	1002	1113	1034	379	1887	1228	978	538
ITGA3	9150	4504	9449	1479	7157	4385	9001	1375	6617	5153	7550	1425
ZFX	1978	4802	1633	1649	1478	5085	1659	1334	2049	3203	1519	2050
LAMP2	14512	12974	13639	16428	10285	12265	15478	12482	14619	13511	13226	16871
ITGA2B	19	8	10	2	19	8	14	2	12	13	12	2
ASB4	77	53	63	75	96	83	59	111	41	42	35	111
GDE1	6964	2438	3757	2530	3513	3568	4313	1568	5667	4856	3936	2893
REX1BD	1709	1130	1820	1497	1602	1655	2305	1214	1470	1471	1820	1606
CRLF1	41	74	59	42	32	47	35	27	30	35	35	42
OSBPL7	542	89	384	248	391	153	408	243	426	167	369	266
TMEM98	17	15	12	9	21	20	22	3	27	9	7	14
YBX2	1	0	0	0	2	2	2	0	0	0	2	0
KRT33A	1	0	0	0	0	0	0	0	0	0	2	0
MAP3K14	573	472	372	376	465	523	419	279	521	433	313	441
ABCC8	124	86	90	49	161	109	85	56	92	81	88	70
CACNG3	2	0	3	0	1	1	3	1	1	4	1	0
TMEM132A	354	422	462	521	396	642	459	313	465	295	597	636
AP2B1	3983	2596	2595	1911	4164	3691	3117	2156	3490	1587	2803	2332
TAC1	3	8	2	2	4	11	0	1	4	3	0	2
ZNF263	2041	1792	1786	1195	1455	1386	1804	907	1716	1262	1635	1267
CX3CL1	25	41	13	4	17	46	6	1	18	40	11	1
SPATA20	1466	767	1034	471	816	1009	1082	375	1281	1143	788	484
CACNA1G	27	23	16	22	29	37	24	13	21	17	17	11
TNFRSF12A	366	467	779	519	572	387	725	218	441	189	633	615
DLX6	6	1	2	2	2	5	7	3	5	5	0	5
MAP3K9	1139	254	786	312	996	367	936	412	890	260	916	393
RALA	1702	1645	1352	1680	1320	1679	1791	748	1632	1616	1245	1538
BAIAP2L1	288	866	249	158	307	436	210	151	331	203	245	307
KDM7A	3407	3142	1724	2192	2302	3546	2049	2116	3251	2796	1863	3010
ETV1	69	27	192	36	96	29	171	16	101	34	135	26
AGK	1145	722	999	738	962	785	1036	678	1077	693	958	941
ALDH3B1	7200	3549	6419	4718	4764	4258	6664	4301	5914	4878	5446	4241
TTC22	6	9	13	7	20	13	12	8	10	5	13	11
PHTF2	3577	1918	2949	2176	2601	2607	2889	1928	3400	2800	2731	2320
CCL26	0	0	0	1	2	0	0	0	0	0	0	1
FARP2	651	1398	600	1095	633	891	647	779	686	609	580	1529
USH1C	2	2	1	0	6	0	1	1	1	4	1	0
GGCT	390	311	629	372	349	266	621	237	386	317	640	390
DBF4	500	455	450	396	435	360	478	257	532	373	433	463
TBXA2R	38	20	44	19	46	30	54	16	28	20	24	24
IFRD1	2682	3591	2917	2361	2318	3107	3218	2046	2188	3450	2853	3351
LGALS14	17	8	5	5	13	9	7	8	9	7	7	10
COX10	641	585	665	631	544	414	647	517	580	427	553	756
GTF2IRD1	468	271	513	245	435	265	538	201	388	247	438	334
PAF1	1192	1046	1371	1257	730	733	1344	869	1106	1058	1280	1624
VPS41	4129	2357	3782	2879	2587	2541	3920	2024	3829	2892	3670	3317
ARHGAP44	50	56	62	25	49	55	47	35	52	30	53	37
ELAC2	1968	2096	2257	2821	1736	1776	2261	2098	2063	1633	2026	3347
SCIN	740	891	2526	1663	1362	405	2064	1351	702	592	1741	1886
ARSD	1891	1169	1715	955	1038	1319	1611	770	1672	1394	1633	887
PNPLA4	308	172	265	89	237	206	267	92	238	217	240	93
MYH13	1	5	1	2	3	5	1	6	0	4	0	2
ADIPOR2	980	664	658	623	690	698	656	536	847	541	675	906
CDKL3	98	48	85	96	85	67	89	57	85	62	82	107
UPP2	6	0	4	2	8	3	3	2	1	3	2	0
PRSS21	0	1	0	0	0	0	0	0	0	0	0	0
MARK4	944	584	467	382	613	637	582	347	727	606	544	466
PROM1	5	6	3	0	11	8	5	3	3	7	11	0
CCDC124	441	389	392	443	356	399	561	317	412	495	427	484
CEACAM21	120	55	105	45	58	78	72	13	88	58	64	16
PAFAH1B1	4307	4777	4590	3950	3883	4247	4517	3441	4511	3110	4382	5142
NOS2	17	12	8	5	8	9	9	5	8	7	10	4
DNAH9	30	11	15	9	31	13	12	16	18	18	9	5
KIAA0100	8815	7408	14693	9379	8099	6935	12860	7307	9530	5182	12090	10978
SLC13A2	0	1	0	1	2	0	1	3	0	0	1	0
GAS7	21178	29580	16856	13187	18155	24551	16664	13344	20214	18893	16196	17052
TRAPPC6A	841	487	527	683	585	738	756	504	600	937	614	587
MATK	3226	4519	9610	2989	4444	2950	10240	1935	3202	2800	7743	2145
CEACAM7	0	5	0	0	0	0	0	0	0	0	0	0
CD79B	3	0	4	0	0	4	0	1	4	1	1	1
SCN4A	2	1	2	2	5	0	2	3	1	1	2	1
ST7L	640	428	645	567	449	452	590	388	547	400	585	676
TKTL1	4	1	3	0	5	3	2	1	1	0	2	2
PAX6	38	38	42	25	58	47	19	19	36	43	26	27
RPUSD1	520	473	599	471	464	303	637	307	567	226	540	513
RHBDF1	321	276	283	83	261	163	309	55	156	247	266	80
