Unnamed: 0	GSM1565955	GSM1565956	GSM1565957	GSM1565958	GSM1565959	GSM1565960	GSM1565961	GSM1565962	GSM1565963	GSM1565964	GSM1565965	GSM1565966
PHF23	4600	4825	2120	3940	3624	3495	2871	2750	4572	4470	3591	3621
CDH10	0	0	0	2	2	0	2	5	2	0	2	4
INPP4A	611	1808	836	1701	1502	2600	899	3265	1478	2811	2037	1382
RAB27B	51	15	94	44	131	73	295	222	323	144	363	76
PSMA4	13107	8401	7417	9778	10156	6421	19701	6595	10326	8561	15688	6618
MYO16	16	3	2	0	16	5	15	2	4	0	7	1
LSG1	1886	1830	1547	2654	2410	2537	2697	2654	2278	2800	2624	2143
PARP3	959	758	123	308	513	621	446	501	179	444	147	211
TNC	682	257	1157	31	398	240	2031	311	693	824	2148	170
THAP3	1888	2086	820	2105	1086	848	1879	720	1236	1164	1718	2185
RIPOR3	166	15	188	50	134	53	555	69	442	31	733	60
TDP1	1138	2005	1400	2482	2227	2938	1398	2916	3064	2719	2179	1765
AIFM2	3586	2584	1644	1223	2813	1342	4474	945	4316	1499	4626	1395
C2orf83	13	10	3	17	7	12	17	38	18	11	28	15
SPATA7	60	173	19	209	55	134	41	148	71	208	46	111
MED17	2322	1690	2384	2559	2295	2148	3796	2801	4008	2730	4307	2018
RETSAT	2615	2283	1273	2368	1759	2192	1994	2850	2704	3209	1649	2163
CAPG	82113	53167	43482	53677	34674	15252	55708	12620	29786	45753	48470	31702
AP2S1	4849	23296	3905	18409	9171	11255	2904	7896	5513	11846	5201	16626
USH2A	3	0	1	0	0	2	1	1	6	2	1	3
ZPBP	0	0	1	0	0	0	0	0	0	0	1	0
TG	67	28	303	40	103	46	280	45	705	58	726	31
ADAM28	84	37	156	119	60	63	438	150	284	218	379	157
BARX2	23	23	15	17	23	34	37	22	44	31	39	31
DCUN1D1	5826	3474	5224	4425	7570	5988	8124	6554	10942	5852	7150	2725
JADE2	6504	1303	6108	2678	4589	2880	14869	3463	9679	4018	13075	2943
ZIC2	0	0	0	0	0	0	0	0	1	0	0	0
LCP2	892	2488	1579	13816	1755	5065	3254	14606	7826	20632	9896	9390
TRIT1	255	1127	239	1560	539	1320	250	1501	247	1233	325	1171
ADRB1	3	3	5	1	5	2	3	1	12	8	11	22
GUCA2B	93	15	22	0	78	0	14	1	45	0	22	0
CUL7	2473	1656	1647	1698	2112	1752	2720	1809	2766	2047	2761	1884
CTNNA1	49352	35056	45552	31882	33509	32695	93264	33776	87796	35774	105433	25425
PHKA2	993	1872	838	2994	1396	2342	1857	3516	1440	3100	1563	3081
CNTLN	2150	1003	2123	978	1777	1200	6527	2153	2965	1617	4479	769
EPHA3	5	5	4	0	1	0	6	0	1	1	16	0
HSPA5	9506	29188	15076	46404	31749	23120	18172	29718	24806	58711	34597	43841
DSG2	7620	101	3364	41	2445	103	5201	103	7309	94	4152	33
GEMIN8	1169	688	809	755	593	589	1899	593	674	672	1301	500
OFD1	2637	1296	1614	1942	1721	1704	3998	2071	1969	1792	2965	1916
GPM6B	48	18	46	40	39	75	148	153	72	59	83	41
MAGEC2	0	0	0	0	0	0	0	0	0	0	0	0
PREX2	6	3	10	6	14	2	26	2	26	17	27	5
WDR37	2565	4168	2116	5262	4262	6705	2914	8139	4413	7669	3675	4402
YTHDC2	930	915	1451	2031	1916	2169	2947	3704	2884	3366	2839	1377
CTPS2	1426	789	775	1408	1234	1080	1302	1111	980	1228	930	756
ATP6V1H	12459	9675	2705	5499	9734	7385	7394	5284	6529	6114	5532	4527
POLR2B	9506	5494	9932	8345	12906	11020	15229	14046	17396	12689	13449	5602
FAM214A	518	760	261	1023	766	1172	564	1765	968	1750	660	543
ARAP2	31600	3745	19729	2662	29326	6608	57035	6685	22293	4160	40326	1518
TPR	13221	5257	11865	8734	11961	9177	19570	13779	17513	12481	18143	6278
CP	7	13	11	29	6	6	11	21	27	13	20	9
KATNIP	2102	1399	1665	1692	1840	2054	2806	2664	3119	2379	2593	1501
DTNBP1	1653	1793	1443	3229	2110	1752	1885	1418	1433	1823	1445	1930
XK	8	4	20	27	35	15	37	17	51	13	69	21
ANO2	0	0	0	0	0	1	0	0	0	1	0	2
C12orf4	634	1178	604	1207	1175	1516	1258	1725	1249	1829	1348	835
SCML1	1096	321	741	821	1103	398	1388	1135	1312	1206	1506	386
WWC3	465	1030	977	2496	679	1699	1187	3104	2200	2888	1287	1902
ARHGAP6	28	43	82	112	67	139	27	34	110	296	92	56
FAM184B	14	33	7	24	22	42	9	39	15	29	15	31
MAP4	22414	13977	19838	14451	17755	13849	37214	17056	25533	15155	32453	13922
GOPC	1871	1303	1931	2483	2530	2568	3209	3757	3260	3749	3258	1649
ROS1	9	3	7	5	9	7	22	11	15	6	21	12
USP28	1983	658	871	1193	1529	1595	2058	2222	1765	2078	1751	911
HDAC9	235	641	69	123	418	1435	339	770	508	294	273	85
TSPAN17	2822	9689	1712	6066	3142	6761	3159	5247	2813	5729	3082	5637
NOP16	1020	1753	856	1845	1052	1059	1035	1260	1013	1837	1643	2075
CC2D2A	44	92	28	61	47	84	76	99	45	108	138	111
RRM2B	2516	1990	1953	3140	4059	4758	2959	6161	5807	5950	3388	1900
ZNF800	1331	949	1300	1686	2026	2215	2997	3522	3052	2558	2783	1085
TNFRSF17	0	1	2	5	2	3	21	4	12	3	15	12
SNX29	1263	3999	3475	7320	4316	9994	2158	12660	7773	16040	3841	6598
LMO3	8	14	2	10	8	8	21	21	19	11	28	17
MRPS10	4160	2484	2550	2413	3619	2968	4347	3208	3898	2792	3674	1784
GUCA1A	2862	6311	384	1003	2098	3946	1062	1041	201	749	395	702
RSF1	4669	2038	3907	3073	5307	3852	6410	5566	8158	5045	5754	2556
VPS13D	2617	2274	2723	3643	3684	4254	4085	7246	7851	6649	4577	3158
CELF2	18994	4695	23260	6952	20604	8761	39632	12943	34473	10446	32923	4629
FAM120A	9605	8757	7007	9279	12013	11162	10385	16083	16342	15694	11526	8467
R3HDM1	1303	1431	1081	2132	1658	2446	1995	3303	2174	2847	1954	1378
COL9A2	6754	3993	4837	3627	6113	2999	5024	1324	2095	1219	2769	2554
KITLG	32	18	100	3	208	19	77	26	815	106	970	17
ERCC8	242	529	245	757	493	891	378	1148	326	878	445	456
ADAMTS6	2	2	2	0	3	0	11	17	1	12	6	3
H6PD	46122	16991	32353	9278	35098	16118	45512	13178	52066	11173	54497	8653
VAMP3	9763	12120	6621	17200	10978	15630	9310	14930	11323	16094	11347	11510
PER3	1020	637	317	891	909	806	943	1270	463	2202	373	806
UTS2	0	1	4	11	7	0	0	0	3	4	14	3
TNFRSF9	4292	187	5749	75	1983	175	9317	155	11760	101	19199	83
EPN3	3	7	0	0	0	1	3	1	1	2	2	5
LTBP1	79	30	38	35	61	56	85	42	87	75	255	106
RCN1	7058	1978	4244	2663	3402	1571	14232	1617	4353	2813	7905	1767
ELN	15	7	16	17	10	15	29	25	33	13	24	26
RFC2	1127	3642	1357	4043	1309	2790	1401	1876	1883	2835	2164	2784
ARID1B	4653	2407	5939	4381	5010	4572	8740	7278	10689	6579	8640	3407
CLPTM1L	4463	7899	3164	9116	5169	6808	4903	6402	5464	8756	5254	7999
NEDD4L	1364	315	518	241	692	705	2968	461	2213	450	1827	132
FOXP3	15	13	13	13	6	3	19	14	14	12	20	30
PPP1R3F	106	177	112	197	195	219	210	227	241	279	273	340
HEXB	4939	16818	2123	19471	5865	11546	2633	14470	11680	27057	4537	11497
PTCD2	722	607	509	557	792	824	715	959	928	758	803	433
NEXMIF	68	1	199	9	116	5	156	7	610	4	134	5
JKAMP	2644	3094	1964	5278	4099	6088	3843	6772	4192	6411	3438	2643
DKK3	6	1	8	12	2	14	24	20	42	40	39	24
ARHGEF5	31	13	5	14	30	37	29	16	20	17	18	29
NFE2L3	2250	1375	1767	1077	3148	1623	2763	1987	2037	1685	1585	856
MCUR1	2164	5981	1657	11825	4562	6853	2184	9070	3042	10044	2482	6462
LIMA1	2600	2760	3504	899	7969	5622	3655	4417	3826	1977	2039	2165
LETMD1	1436	1410	1036	2527	1396	1635	1576	2182	1255	2289	1533	1928
SLC4A8	137	317	80	342	223	772	163	555	439	604	529	259
LAMC3	10	17	4	12	15	8	15	11	8	9	11	24
PTGER3	43	767	417	2943	2350	3814	126	2079	413	5344	668	4532
TNIP3	30	11	216	1	14	6	321	14	5827	14	8406	13
MAPK9	1409	4679	2386	5050	5233	6270	1911	5505	4544	5593	2843	3393
COL23A1	330	1360	1141	1679	731	1084	236	726	1063	665	657	732
BCAR1	240	1823	8	19	720	690	29	31	43	162	25	38
FHIP1B	931	1393	1346	2487	1617	1943	1390	2458	1772	2230	1845	2277
HERPUD1	7244	7474	5424	5300	11544	6170	4137	5634	12090	6962	8977	4003
HOMER3	533	3158	332	2420	224	576	318	939	769	2235	668	2715
RAD51	236	122	73	144	109	122	306	155	257	121	225	106
POLQ	86	61	77	94	109	148	289	219	212	147	191	89
PIK3CB	3918	3316	2823	2302	4005	3572	3731	4516	6642	3562	4138	1500
