Unnamed: 0	GSM4263940	GSM4263941	GSM4263942	GSM4263943	GSM4263944	GSM4263945
CCDC124	519	514	609	498	336	533
CEACAM21	6	0	35	8	3	18
PAFAH1B1	2122	1862	1931	2009	1259	1996
NOS2	2	1	4	0	1	1
DNAH9	2	2	1	0	0	1
KIAA0100	8161	8885	8752	7704	5563	7491
SLC13A2	0	0	0	0	0	0
GAS7	3760	3493	1898	2266	1563	673
TRAPPC6A	287	367	155	192	173	111
MATK	3201	3245	3343	3605	2786	3215
CEACAM7	0	0	0	0	0	0
CD79B	6	6	14	5	5	5
SCN4A	0	0	1	0	0	1
ST7L	131	180	227	151	148	190
TKTL1	0	0	0	0	0	0
PAX6	18	26	15	10	12	10
RPUSD1	298	297	353	317	144	310
RHBDF1	488	446	390	426	277	293
LUC7L	286	269	287	280	202	334
CACNA2D2	4	4	3	1	1	1
BAIAP3	8	5	6	7	5	9
TSR3	373	359	495	403	218	402
PIGQ	511	512	501	389	235	437
CRAMP1	501	494	502	618	428	749
TEAD3	454	351	128	542	244	114
SELE	0	0	0	0	0	0
DNAJC11	1139	1185	1156	1407	830	1081
FMO3	4	3	2	3	1	3
MYLIP	26	58	85	51	48	51
NOX1	2	1	1	0	0	1
E2F2	103	115	194	22	11	24
PSMB1	1034	1155	1305	1321	1139	1588
SYN1	0	4	1	0	0	10
JARID2	1746	1321	1032	1389	821	1193
CDKL5	124	104	97	97	80	126
CAMK1G	5	0	9	5	9	16
CDK11A	358	437	441	343	376	490
NADK	2996	2343	1687	5884	4085	3599
TFAP2B	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0
DLEC1	39	46	49	43	36	48
CYTH3	294	294	196	353	168	204
ADAM22	30	27	21	48	18	23
SYPL1	625	705	719	628	576	708
CYB561	125	145	220	168	120	180
SPAG9	2844	2650	2386	3911	2578	3602
CELSR3	25	14	65	16	7	39
AASS	10	10	10	9	8	22
PLEKHG6	11	13	8	10	6	9
SS18L2	123	114	143	123	103	122
MPND	841	1068	668	1281	832	770
MGST1	2201	2730	1664	1843	1692	1344
CRY1	163	216	199	160	128	259
PGLYRP1	1	0	1	0	2	0
NFIX	26	29	38	70	51	49
ST3GAL1	1236	1699	1611	1703	2144	4630
MMP25	16	65	59	51	103	160
IL32	18	28	11	48	60	87
PKD1	1366	1474	1333	1166	837	1212
MAPK8IP2	6	4	7	6	4	4
MED24	1045	885	1004	1009	682	985
RHOBTB2	4026	3590	2246	3475	1702	1312
HEATR5B	632	622	700	602	437	705
SEC62	1528	1683	1564	1597	1324	2067
RPS20	3676	3819	4817	4173	3030	4626
CSDE1	7062	7515	8274	8837	6958	8768
UBE3C	1540	1571	1713	1862	1312	1886
REV3L	217	264	259	163	112	196
TENM1	1	1	0	0	1	0
PAX7	0	0	0	0	0	0
MASP2	21	21	10	13	6	13
IYD	4	5	1	2	2	5
FAM76A	163	169	169	162	162	183
TRAF3IP3	86	152	112	96	150	240
POMT2	171	197	254	152	118	191
VTA1	550	512	604	653	433	628
MLXIPL	236	39	96	182	24	117
BAZ1B	1561	1389	1820	1786	1256	1833
RANBP9	561	549	547	514	373	649
ETV7	5	2	4	203	218	129
SPRTN	127	132	155	137	100	141
METTL13	833	971	820	912	652	822
DYRK4	249	265	234	228	177	207
ZNF207	2371	2181	2832	2855	2180	3289
UQCRC1	3578	3425	4004	4254	2609	4044
STARD3NL	611	728	735	696	650	875
CD9	6267	6091	6357	3284	2998	3760
HHATL	0	0	0	0	0	0
NCAPD2	940	1017	1927	607	345	779
IFFO1	410	558	769	351	303	727
GIPR	24	13	19	41	19	47
PHF7	69	60	64	42	31	40
SEMA3G	48	8	43	2	1	19
NISCH	574	650	818	373	298	648
STAB1	89	318	4356	13	41	644
FUZ	147	103	116	125	59	86
SLC6A13	0	1	0	0	4	1
IDS	2248	2030	2195	2077	1339	2323
PRSS3	2	5	4	0	1	3
ZNF200	146	126	152	182	155	197
CD4	5145	5503	9191	3563	3024	5898
LRRC23	72	108	96	84	61	63
BTK	1362	1380	1780	1999	1633	1730
HFE	166	426	342	235	354	395
SCMH1	214	239	242	141	130	152
FYN	227	94	183	133	64	329
HIVEP2	86	33	102	259	257	649
FMO1	3	0	1	0	3	0
ELOA	874	914	1081	1308	801	1448
LYPLA2	932	807	946	1090	597	1073
CLCN6	434	421	607	437	294	579
MRC2	519	474	937	224	192	528
NME1-NME2	155	248	466	186	182	245
SLC6A7	203	90	102	84	36	40
TSPAN9	9	14	22	14	17	32
BTBD7	112	278	134	239	438	140
APBA3	139	137	158	183	154	313
MKS1	154	138	149	132	68	148
ABHD5	553	409	379	508	392	452
ANOS1	120	195	149	81	137	100
AKAP8L	520	470	529	685	521	727
MBTD1	286	250	301	239	175	281
UTP18	969	971	840	1206	887	986
RNF216	709	764	707	649	495	710
TTC19	351	388	479	361	218	387
PTBP1	3008	3538	4187	3765	2933	4217
DPF1	1	2	2	5	3	3
SYT7	13	8	7	53	18	28
LARS2	636	837	535	763	597	586
PIK3C2A	589	630	680	516	506	609
PLAUR	6580	6913	6761	11253	11331	28270
ANLN	368	517	1012	65	57	176
WIZ	469	398	577	431	252	506
RABGAP1	614	592	561	593	419	617
DCN	2	0	4	2	0	4
QPCTL	114	158	216	147	114	259
PPP5C	730	753	734	753	453	659
CEP68	378	362	266	335	208	292
MAP4K3	691	631	531	628	522	480
ZBTB32	5	6	4	6	3	7
TYROBP	8652	7852	8880	9459	6976	11069
LDAF1	102	133	106	168	145	103
GABRA3	0	0	0	0	0	0
BRCA1	375	387	540	192	115	200
ERCC1	1315	568	1110	1081	293	865
