pert	n_reversed_cells	min_score_cell	all_reversed_cells
tamoxifen	11	HA1E	PHH, FIBRNPC, VCAP, MCF7, ASC, SKB, NEU, HA1E, A375, A549, HCC515
forskolin	10	A549	PHH, ASC, MCF7, VCAP, A549, PC3, FIBRNPC, HCC515, NEU, SKB
atorvastatin	9	HCC515	MCF7, NPC, PHH, HA1E, A375, HCC515, PC3, FIBRNPC, NEU
loperamide	9	HCC515	MCF7, PC3, FIBRNPC, HA1E, NPC, HT29, PHH, HCC515, NEU
minoxidil	9	PC3	PC3, HT29, PHH, FIBRNPC, A375, MCF7, HA1E, NPC, ASC
nitrendipine	9	A549	ASC, PC3, A549, HA1E, NEU, VCAP, MCF7, HT29, PHH
panobinostat	9	SKB	HA1E, SKB, PHH, MCF7, A549, ASC, HCC515, A375, HT29
resveratrol	9	FIBRNPC	A549, HT29, FIBRNPC, PC3, MCF7, A375, PHH, HCC515, HA1E
rilmenidine	9	MCF7	HCC515, MCF7, A549, VCAP, NPC, A375, PHH, SKB, PC3
sirolimus	9	VCAP	SKB, PC3, HT29, VCAP, MCF7, HCC515, HA1E, NPC, ASC
thalidomide	9	ASC	SKB, HT29, A375, ASC, MCF7, PC3, HCC515, A549, FIBRNPC
vorinostat	9	SKB	SKB, PHH, A549, HA1E, MCF7, HT29, ASC, HCC515, PC3
caffeine	8	A549	A549, NEU, PC3, FIBRNPC, PHH, MCF7, SKB, HCC515
chlorphenamine	8	MCF7	VCAP, HCC515, A549, PC3, PHH, MCF7, ASC, HA1E
dexamethasone	8	A549	MCF7, ASC, A375, A549, PC3, FIBRNPC, NEU, HCC515
etoposide	8	A549	PC3, HT29, FIBRNPC, MCF7, NEU, HA1E, NPC, A549
fostamatinib	8	HCC515	MCF7, A549, HA1E, HT29, PC3, VCAP, A375, HCC515
isradipine	8	PC3	MCF7, VCAP, NPC, PC3, NEU, A549, HT29, A375
maprotiline	8	A549	MCF7, A549, ASC, PC3, HA1E, A375, HCC515, VCAP
methylergometrine	8	HA1E	HA1E, A375, PC3, HCC515, NPC, NEU, A549, HT29
naltrexone	8	PC3	HT29, PC3, ASC, MCF7, A375, HCC515, NPC, PHH
promazine	8	MCF7	A549, HA1E, PC3, SKB, HT29, HCC515, MCF7, VCAP
quinidine	8	FIBRNPC	PC3, MCF7, FIBRNPC, HCC515, NEU, VCAP, HA1E, PHH
temsirolimus	8	MCF7	MCF7, A549, HA1E, VCAP, HCC515, HT29, A375, PC3
toremifene	8	HCC515	VCAP, HT29, PHH, SKB, HCC515, HA1E, PC3, MCF7
triamcinolone	8	MCF7	SKB, MCF7, HT29, A375, VCAP, PC3, A549, NPC
vemurafenib	8	A549	MCF7, A549, HA1E, HCC515, SKB, PC3, HT29, A375
verapamil	8	A549	VCAP, PHH, PC3, A549, MCF7, HCC515, A375, NEU
NECA	7	VCAP	SKB, VCAP, PC3, MCF7, A549, HA1E, PHH
bendroflumethiazide	7	MCF7	ASC, PC3, HCC515, MCF7, A549, NPC, VCAP
bepridil	7	NEU	HCC515, NEU, PC3, NPC, SKB, MCF7, VCAP
cabergoline	7	NEU	NEU, MCF7, SKB, VCAP, A549, HCC515, NPC
chlorprothixene	7	HA1E	PC3, HCC515, HA1E, MCF7, ASC, SKB, VCAP
cilnidipine	7	HA1E	MCF7, HCC515, HA1E, A549, PC3, ASC, PHH
dydrogesterone	7	PHH	MCF7, PHH, SKB, VCAP, HCC515, PC3, NPC
equol	7	A549	HCC515, PC3, A375, A549, HA1E, HT29, MCF7
