pert	n_reversed_cells	min_score_cell	all_reversed_cells
loperamide	9	FIBRNPC	A375, NPC, VCAP, FIBRNPC, HA1E, HT29, MCF7, HCC515, NEU
triflupromazine	9	A375	ASC, MCF7, A375, HCC515, A549, HA1E, NPC, PC3, NEU
crizotinib	8	PC3	PC3, VCAP, SKB, A549, A375, NEU, HCC515, ASC
estropipate	8	VCAP	HCC515, VCAP, NPC, A549, A375, PHH, PC3, MCF7
rizatriptan	8	NPC	MCF7, PC3, SKB, PHH, VCAP, NPC, HCC515, A549
tamoxifen	8	ASC	ASC, SKB, PHH, NEU, HT29, HA1E, MCF7, A549
triamterene	8	ASC	PHH, PC3, ASC, A549, HA1E, A375, MCF7, NPC
vincristine	8	PHH	HCC515, ASC, VCAP, PHH, NPC, MCF7, A549, PC3
amlodipine	7	HCC515	PHH, PC3, SKB, VCAP, HCC515, MCF7, A549
chlorpromazine	7	HCC515	FIBRNPC, ASC, HCC515, SKB, VCAP, A549, HA1E
dienestrol	7	HCC515	A375, MCF7, HCC515, NPC, PC3, VCAP, HA1E
flupentixol	7	A549	HA1E, HCC515, PC3, A549, ASC, VCAP, NEU
niclosamide	7	HCC515	HT29, NPC, VCAP, A375, HCC515, MCF7, PC3
pyrimethamine	7	PC3	HCC515, NPC, VCAP, MCF7, A549, PC3, HA1E
rosuvastatin	7	PC3	NPC, ASC, MCF7, HA1E, HCC515, PC3, PHH
sirolimus	7	VCAP	VCAP, HCC515, PC3, SKB, A375, HT29, NPC
amoxapine	6	MCF7	A549, MCF7, HCC515, HA1E, VCAP, SKB
aniracetam	6	FIBRNPC	PHH, FIBRNPC, SKB, VCAP, MCF7, PC3
doxercalciferol	6	MCF7	MCF7, SKB, A549, ASC, PC3, PHH
doxorubicin	6	PC3	A375, HA1E, A549, VCAP, PC3, PHH
fenbendazole	6	VCAP	SKB, ASC, VCAP, PC3, HA1E, A549
fluvastatin	6	A549	MCF7, A549, FIBRNPC, PC3, HA1E, ASC
fostamatinib	6	HA1E	A549, HT29, HA1E, A375, PC3, HCC515
maprotiline	6	ASC	PHH, HT29, ASC, HCC515, VCAP, PC3
naltrexone	6	ASC	A549, ASC, A375, PC3, HT29, PHH
nilotinib	6	HT29	HA1E, A375, HT29, NEU, VCAP, PC3
norgestimate	6	MCF7	PC3, SKB, MCF7, VCAP, ASC, PHH
paroxetine	6	PC3	PC3, HA1E, HCC515, PHH, MCF7, NPC
perhexiline	6	VCAP	A375, PC3, HCC515, HA1E, MCF7, VCAP
perphenazine	6	NPC	MCF7, HCC515, ASC, VCAP, A549, NPC
pinacidil	6	PC3	SKB, PHH, PC3, ASC, NPC, A549
procaterol	6	NEU	HA1E, ASC, HCC515, NEU, A549, MCF7
promazine	6	SKB	A549, SKB, HT29, HA1E, MCF7, VCAP
quinidine	6	FIBRNPC	FIBRNPC, A549, HCC515, HA1E, PHH, NEU
warfarin	6	ASC	ASC, HA1E, A375, PC3, NEU, A549
altrenogest	5	HCC515	HCC515, MCF7, HA1E, ASC, PHH
amiodarone	5	A375	NPC, PC3, HT29, A375, VCAP
aprepitant	5	NEU	PC3, PHH, ASC, SKB, NEU
biperiden	5	ASC	ASC, VCAP, HCC515, MCF7, PC3
brompheniramine	5	MCF7	A549, PHH, VCAP, MCF7, HA1E
bumetanide	5	HCC515	HCC515, PHH, A549, VCAP, MCF7
chloroxine	5	PC3	HA1E, ASC, PC3, VCAP, NPC
chlorphenamine	5	ASC	VCAP, ASC, PC3, NPC, PHH
clofibrate	5	HA1E	MCF7, HA1E, NPC, VCAP, PC3
curcumin	5	NPC	PC3, FIBRNPC, NPC, A549, HT29
dopamine	5	MCF7	MCF7, VCAP, NEU, ASC, A549
dosulepin	5	PC3	PC3, A549, ASC, NPC, PHH
enalapril	5	VCAP	VCAP, HA1E, HCC515, MCF7, PHH
erlotinib	5	ASC	PHH, NPC, PC3, SKB, ASC
estradiol-valerate	5	VCAP	NPC, A549, HA1E, VCAP, MCF7
felodipine	5	SKB	SKB, NPC, MCF7, PHH, HCC515
fipronil	5	PHH	NPC, PHH, PC3, ASC, VCAP
fluorometholone	5	VCAP	VCAP, HA1E, HT29, A375, PC3
fulvestrant	5	PC3	SKB, NPC, PC3, HCC515, VCAP
hexylresorcinol	5	A375	A549, HA1E, HT29, MCF7, A375
ipratropium	5	A375	PC3, ASC, HT29, A375, HCC515
ivermectin	5	PC3	ASC, PC3, HCC515, VCAP, A549
labetalol	5	A549	HA1E, HCC515, A549, PC3, PHH
lidocaine	5	PC3	MCF7, PHH, VCAP, PC3, A549
lovastatin	5	FIBRNPC	A549, HA1E, FIBRNPC, ASC, MCF7
loxapine	5	HA1E	A549, NEU, HCC515, HA1E, VCAP
megestrol	5	A375	A549, HA1E, A375, PC3, VCAP
meptazinol	5	PHH	NPC, PHH, ASC, PC3, VCAP
metergoline	5	A549	A549, PHH, A375, HT29, HA1E
metoclopramide	5	VCAP	ASC, NPC, VCAP, PC3, MCF7
mifepristone	5	NPC	SKB, NPC, MCF7, PC3, PHH
minoxidil	5	FIBRNPC	PHH, FIBRNPC, A375, PC3, HT29
mirtazapine	5	SKB	SKB, HA1E, NEU, HCC515, NPC
mometasone	5	A549	A549, VCAP, HA1E, MCF7, PC3
nimodipine	5	NEU	NEU, FIBRNPC, NPC, PHH, A375
oxybuprocaine	5	PC3	ASC, HCC515, PC3, HA1E, A549
paclitaxel	5	NPC	ASC, HCC515, HA1E, NPC, MCF7
papaverine	5	ASC	MCF7, HCC515, ASC, PC3, NPC
phenazopyridine	5	MCF7	HCC515, MCF7, HA1E, PC3, A549
pimozide	5	HA1E	HA1E, NEU, HCC515, PC3, ASC
piroxicam	5	PC3	ASC, NPC, PC3, VCAP, SKB
podophyllotoxin	5	MCF7	SKB, PHH, MCF7, ASC, VCAP
pravastatin	5	PHH	PHH, HCC515, VCAP, A549, FIBRNPC
procainamide	5	VCAP	HA1E, ASC, VCAP, NPC, PHH
propafenone	5	PHH	NPC, A549, ASC, PHH, HA1E
propentofylline	5	MCF7	MCF7, A549, VCAP, PC3, HA1E
quercetin	5	ASC	ASC, PC3, MCF7, HCC515, PHH
