Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
regulation of T cell migration	0	0	0.33041810386237147	0.2219970303329631	1.103996306959656	1.103996306959656	1.4930384101395051	1.4930384101395051	1.2194584681713578	4.162667665983215	4.162667665983215	4.162667665983215	4.162667665983215	4.162667665983215	4.162667665983215	1.5168874570223454	1.2540127770055618	1.3741438595630096	0	0.9420592548122176	1.4559943767548682	1.4262252319325344	1.190318165522886	1.2503065733178895	2.2947466624721415	1.4938648589782262	0.940636423308693	1.5488171026389232	1.5488171026389232	1.3327565560101289	1.3327565560101289	1.0919884521151846	1.1056346777776256	1.1972991160490527	0	1.5719819462160631	1.9536768062687584
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1.3093442236624997	0.6676457719626582	0.6156495817825203	0.7206329186910008	0.5246007849222724	0.5246007849222724	1.273138375255883	1.273138375255883	1.2381753660818158	2.249911476058536	2.249911476058536	2.249911476058536	2.249911476058536	2.249911476058536	2.249911476058536	1.504058102623956	0.694994323046727	1.108944686074736	0.30641665007823266	1.243032513795124	1.56425077585169	1.1007889579695298	0.9433762062736072	1.1849946675358876	1.6059372859024836	1.4810943894558848	1.3694395251624598	1.1507427275774968	1.1507427275774968	1.4706512360802473	1.4706512360802473	1.059568399919001	1.1235391074799643	0.9659076858879624	0.18814002009335631	1.1063790262673765	1.9902046992232416
regulation of alpha-beta T cell activation	0	0.8956057329121488	0.6382476813274265	0.6874642342676144	0.4319772956685843	0.4319772956685843	1.226776428227118	1.226776428227118	1.1521124420110274	2.8803807731363427	2.8803807731363427	2.8803807731363427	2.8803807731363427	2.8803807731363427	2.8803807731363427	1.4875163071685833	0.9289499982826538	1.303375489526006	0.2905729020892618	1.163360358041259	1.7274457307543896	1.2634794729534768	1.2755647429353334	1.5363522648691388	1.9987016801667343	1.5270225928618228	1.091321702725634	1.16670332481067	1.16670332481067	1.5609736558943854	1.5609736558943854	1.1136190853600505	1.1351613722548284	0.9568953236564102	0	1.062933968788882	2.1035435571662484
regulation of chemokine (C-X-C motif) ligand 2 production	0	0	0.9234234234128446	1.242138438229986	1.399702838069709	1.399702838069709	1.282810137111719	1.282810137111719	1.0269750379350449	4.3296529413781375	4.3296529413781375	4.3296529413781375	4.3296529413781375	4.3296529413781375	4.3296529413781375	1.4085670906079524	0.701811899626295	1.5236678714893928	1.05325502573263	1.4687411380094169	1.732454007937804	1.2196434215025056	2.367748802220207	0.5954676238702725	2.743422357611937	1.8570268108866963	1.2165309204049022	1.3358408226587273	1.3358408226587273	0	0	1.5430244998038358	1.010983849185624	0.7250622433494389	0	2.3964378636413937	2.0010942861605536
regulation of chemokine production	1.8909379604278904	0	0.6049351820917828	0.4750978302335416	0.842999305049703	0.842999305049703	1.2232047889546718	1.2232047889546718	0.8963265343237693	2.65479348070806	2.65479348070806	2.65479348070806	2.65479348070806	2.65479348070806	2.65479348070806	1.4576042338075788	1.1487175149941706	1.3987240343705347	0.6561311487628299	1.4495224769674435	1.3442093669363322	1.1613300770597024	1.2719349694094015	0.922674829937296	1.7815389701429998	1.6271606110411971	1.3120547382995096	1.3577654653698037	1.3577654653698037	1.3570710529455057	1.3570710529455057	1.1938859320844128	1.142486648869156	0.8511555600375276	0.28173958725364234	1.8329964388808215	2.025320129404699
regulation of interleukin-12 production	0.9660907892202174	0.4543149597730448	0.4942241255185128	0.7756513725492573	1.0361612718725115	1.0361612718725115	0.9349174391141356	0.9349174391141356	1.0040477063165716	3.2026682510337965	3.2026682510337965	3.2026682510337965	3.2026682510337965	3.2026682510337965	3.2026682510337965	1.3821671656436338	1.0355434883906092	1.0021276127574377	0.39685151690107173	1.0971237368689255	1.0960930759846168	1.1946920409648782	0.5433397525922596	1.1551127657690146	1.0486628597636334	1.5394411208968797	1.2805431766727997	1.3099438110748645	1.3099438110748645	1.7182446664592697	1.7182446664592697	1.0785113353954197	1.2862528603365675	1.2135188314366632	0	1.888922819605645	2.251613701527005
regulation of leukocyte apoptotic process	0	1.0549820706856268	0.5807057079384623	0.5795767129288708	0.35957472855496925	0.35957472855496925	1.0190134679132898	1.0190134679132898	1.0371022444909257	3.0918534323990143	3.0918534323990143	3.0918534323990143	3.0918534323990143	3.0918534323990143	3.0918534323990143	1.461762963180196	1.0914874081987345	1.2942598869054762	0.3568496016539395	1.1023723292236405	1.6753330831688005	0.804892699544601	1.8380366014088287	1.1734574765692507	2.4237516208173244	1.439003270718496	1.1008233655166484	1.5725983542160673	1.5725983542160673	1.6146985096476425	1.6146985096476425	0.9052097810670864	1.126575961297846	1.2497050219043933	0.7987955693704741	1.3694059277660346	2.080431539928099
regulation of lymphocyte migration	0	0.38965442272856265	0.2876195407219533	0.423669917005722	0.7882951167400768	0.7882951167400768	1.565897302340848	1.565897302340848	1.1019983032575886	3.732215696019039	3.732215696019039	3.732215696019039	3.732215696019039	3.732215696019039	3.732215696019039	1.5668180744973577	1.174995464206994	1.4451673784575916	0	0.7700326078907744	1.6966335162360493	1.4037294368770294	1.4162936250317104	1.4024809153393971	2.373298509599303	1.3934156085014209	1.0601317960965906	1.5257360376316818	1.5257360376316818	1.8364330792600496	1.8364330792600496	0.8688000542246348	1.2696323652844763	1.3731767386372344	0	1.4423103675794395	2.0932751158273715
toll-like receptor 4 signaling pathway	0	0	0.7016849236069206	0.7003782886155203	0.2990069928954962	0.2990069928954962	1.748729297648444	1.748729297648444	1.1697762863262515	3.5926384248858847	3.5926384248858847	3.5926384248858847	3.5926384248858847	3.5926384248858847	3.5926384248858847	1.7392799753331512	1.1698549663946145	1.8605372801183295	0.5706851775837971	1.5351371039710486	1.6908103245599675	0.9561201000541076	1.2940116193038125	1.4932459113656895	2.920872654209919	1.7154283011783638	1.4272141478497715	1.4945357567346271	1.4945357567346271	2.2419095590249594	2.2419095590249594	1.5026106703543738	1.562584512817641	1.3012389426820237	0	0.7851012505015075	2.267437799642555
toll-like receptor signaling pathway	0	0	0.9544270911948696	0.3912804104291648	1.0181893237564612	1.0181893237564612	1.6567818827719512	1.6567818827719512	1.129323881620902	3.3612830352821423	3.3612830352821423	3.3612830352821423	3.3612830352821423	3.3612830352821423	3.3612830352821423	1.7919809145374026	1.1627287043326309	1.4138816997955996	0.46107254841296	1.8559159691114469	1.58510987405802	0.5569182226220999	1.710442984037685	1.1591427546481743	2.4701969714884	1.980775024639709	1.911955121201118	1.2899035239447243	1.2899035239447243	2.0166288514567943	2.0166288514567943	1.5303637309341902	1.019760761810485	1.0153644703378528	0.5522980200935035	1.124697980869768	2.2041545466383266
