GO_term	median_diff	p_value	statistic	p_adj	auroc
'de novo' IMP biosynthetic process	NA	NA	NA	NA	NA
'de novo' NAD biosynthetic process	NA	NA	NA	NA	NA
'de novo' NAD biosynthetic process from tryptophan	NA	NA	NA	NA	NA
'de novo' XMP biosynthetic process	NA	NA	NA	NA	NA
'de novo' post-translational protein folding	NA	NA	NA	NA	NA
'de novo' protein folding	NA	NA	NA	NA	NA
2'-deoxyribonucleotide metabolic process	NA	NA	NA	NA	NA
3'-UTR-mediated mRNA destabilization	NA	NA	NA	NA	NA
7-methylguanosine cap hypermethylation	NA	NA	NA	NA	NA
ADP metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
AMP catabolic process	NA	NA	NA	NA	NA
ATP biosynthetic process	NA	NA	NA	NA	NA
ATP generation from ADP	0	NA	87	NA	0.47282608695652173
Arp2/3 complex-mediated actin nucleation	NA	NA	NA	NA	NA
B cell activation involved in immune response	0	0.24345324950847624	69	0.6953116763374968	0.375
B cell apoptotic process	NA	NA	NA	NA	NA
B cell differentiation	0	0.8817415715479566	84	0.9655078529484519	0.45652173913043476
B cell homeostasis	NA	NA	NA	NA	NA
B cell mediated immunity	0	0.24352978516566992	69	0.6953116763374968	0.375
B cell proliferation	0	0.1608307948496607	107	0.62571222592143	0.5815217391304348
B cell receptor signaling pathway	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
BMP signaling pathway	NA	NA	NA	NA	NA
CAMKK-AMPK signaling cascade	NA	NA	NA	NA	NA
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	NA	NA	NA	NA	NA
CD4-positive, alpha-beta T cell activation	-1.0832389956477992	0.01740134686547751	36	0.2715825492407569	0.1956521739130435
CD4-positive, alpha-beta T cell cytokine production	0	NA	87	NA	0.47282608695652173
CD4-positive, alpha-beta T cell differentiation	-1.140117329837432	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
CD4-positive, alpha-beta T cell differentiation involved in immune response	-1.038319336108571	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
CD4-positive, alpha-beta T cell lineage commitment	NA	NA	NA	NA	NA
CD4-positive, alpha-beta T cell proliferation	NA	NA	NA	NA	NA
CD40 signaling pathway	NA	NA	NA	NA	NA
CD8-positive, alpha-beta T cell activation	NA	NA	NA	NA	NA
CD8-positive, alpha-beta T cell differentiation	NA	NA	NA	NA	NA
CENP-A containing chromatin assembly	NA	NA	NA	NA	NA
COPII-coated vesicle budding	NA	NA	NA	NA	NA
COPII-coated vesicle cargo loading	NA	NA	NA	NA	NA
DNA biosynthetic process	NA	NA	NA	NA	NA
DNA catabolic process, endonucleolytic	NA	NA	NA	NA	NA
DNA conformation change	NA	NA	NA	NA	NA
DNA cytosine deamination	NA	NA	NA	NA	NA
DNA damage checkpoint signaling	NA	NA	NA	NA	NA
DNA damage response, signal transduction by p53 class mediator	NA	NA	NA	NA	NA
DNA deamination	NA	NA	NA	NA	NA
DNA duplex unwinding	NA	NA	NA	NA	NA
DNA endoreduplication	NA	NA	NA	NA	NA
DNA geometric change	NA	NA	NA	NA	NA
DNA integrity checkpoint signaling	NA	NA	NA	NA	NA
DNA modification	NA	NA	NA	NA	NA
DNA replication checkpoint signaling	NA	NA	NA	NA	NA
DNA replication initiation	NA	NA	NA	NA	NA
DNA replication-dependent chromatin assembly	NA	NA	NA	NA	NA
DNA strand elongation	NA	NA	NA	NA	NA
DNA strand elongation involved in DNA replication	NA	NA	NA	NA	NA
DNA synthesis involved in DNA repair	NA	NA	NA	NA	NA
DNA topological change	NA	NA	NA	NA	NA
DNA unwinding involved in DNA replication	NA	NA	NA	NA	NA
DNA-templated DNA replication	NA	NA	NA	NA	NA
DNA-templated DNA replication maintenance of fidelity	NA	NA	NA	NA	NA
DNA-templated transcription elongation	NA	NA	NA	NA	NA
DNA-templated transcription initiation	NA	NA	NA	NA	NA
ER overload response	NA	NA	NA	NA	NA
ER-nucleus signaling pathway	0	0.9203625545416256	89	0.9662360726649782	0.483695652173913
ERAD pathway	NA	NA	NA	NA	NA
ERBB signaling pathway	NA	NA	NA	NA	NA
ERBB2 signaling pathway	NA	NA	NA	NA	NA
ERBB2-EGFR signaling pathway	NA	NA	NA	NA	NA
ESCRT III complex disassembly	NA	NA	NA	NA	NA
ESCRT complex disassembly	NA	NA	NA	NA	NA
Fas signaling pathway	NA	NA	NA	NA	NA
Fc receptor mediated inhibitory signaling pathway	NA	NA	NA	NA	NA
Fc receptor mediated stimulatory signaling pathway	NA	NA	NA	NA	NA
Fc receptor signaling pathway	NA	NA	NA	NA	NA
Fc-gamma receptor signaling pathway	NA	NA	NA	NA	NA
Fc-gamma receptor signaling pathway involved in phagocytosis	NA	NA	NA	NA	NA
G protein-coupled glutamate receptor signaling pathway	NA	NA	NA	NA	NA
G2/M transition of mitotic cell cycle	NA	NA	NA	NA	NA
G2/MI transition of meiotic cell cycle	NA	NA	NA	NA	NA
GTP metabolic process	NA	NA	NA	NA	NA
Golgi inheritance	NA	NA	NA	NA	NA
Golgi lumen acidification	NA	NA	NA	NA	NA
Golgi organization	NA	NA	NA	NA	NA
Golgi to plasma membrane protein transport	NA	NA	NA	NA	NA
Golgi to plasma membrane transport	NA	NA	NA	NA	NA
Golgi to vacuole transport	NA	NA	NA	NA	NA
Golgi vesicle fusion to target membrane	NA	NA	NA	NA	NA
I-kappaB phosphorylation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
IRE1-mediated unfolded protein response	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
IRES-dependent viral translational initiation	NA	NA	NA	NA	NA
ISG15-protein conjugation	NA	NA	NA	NA	NA
JNK cascade	0	0.5949597567500151	76.5	0.8540523159096338	0.4157608695652174
L-glutamate import across plasma membrane	NA	NA	NA	NA	NA
L-glutamate transmembrane transport	NA	NA	NA	NA	NA
L-leucine import across plasma membrane	NA	NA	NA	NA	NA
MDA-5 signaling pathway	NA	NA	NA	NA	NA
MHC class II biosynthetic process	NA	NA	NA	NA	NA
MHC class II protein complex assembly	NA	NA	NA	NA	NA
MHC protein complex assembly	NA	NA	NA	NA	NA
MyD88-dependent toll-like receptor signaling pathway	0	1	86.5	1	0.4701086956521739
MyD88-independent toll-like receptor signaling pathway	NA	NA	NA	NA	NA
N-acetylneuraminate catabolic process	NA	NA	NA	NA	NA
NAD biosynthetic process	NA	NA	NA	NA	NA
NAD metabolic process	NA	NA	NA	NA	NA
NADH regeneration	NA	NA	NA	NA	NA
NIK/NF-kappaB signaling	-1.4589414944557462	0.16738416523102229	56.5	0.62571222592143	0.3070652173913043
NK T cell activation	NA	NA	NA	NA	NA
NK T cell proliferation	NA	NA	NA	NA	NA
NLRP3 inflammasome complex assembly	NA	NA	NA	NA	NA
NLS-bearing protein import into nucleus	NA	NA	NA	NA	NA
Notch receptor processing	NA	NA	NA	NA	NA
Notch signaling pathway	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
PERK-mediated unfolded protein response	0	0.6989185256984283	80	0.8822582843048257	0.43478260869565216
RIG-I signaling pathway	NA	NA	NA	NA	NA
RISC complex assembly	NA	NA	NA	NA	NA
RNA capping	NA	NA	NA	NA	NA
RNA decapping	NA	NA	NA	NA	NA
RNA destabilization	NA	NA	NA	NA	NA
RNA export from nucleus	NA	NA	NA	NA	NA
RNA localization	NA	NA	NA	NA	NA
RNA localization to Cajal body	NA	NA	NA	NA	NA
RNA localization to nucleus	NA	NA	NA	NA	NA
RNA phosphodiester bond hydrolysis	NA	NA	NA	NA	NA
RNA stabilization	NA	NA	NA	NA	NA
RNA transport	NA	NA	NA	NA	NA
RNA-templated DNA biosynthetic process	NA	NA	NA	NA	NA
Rab protein signal transduction	NA	NA	NA	NA	NA
Rap protein signal transduction	NA	NA	NA	NA	NA
Rho protein signal transduction	NA	NA	NA	NA	NA
SMAD protein signal transduction	NA	NA	NA	NA	NA
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	NA	NA	NA	NA	NA
Schwann cell differentiation	NA	NA	NA	NA	NA
T cell activation involved in immune response	-0.9906524013873188	0.8706758337606594	83	0.9655078529484519	0.45108695652173914
T cell antigen processing and presentation	NA	NA	NA	NA	NA
T cell apoptotic process	NA	NA	NA	NA	NA
T cell chemotaxis	NA	NA	NA	NA	NA
T cell costimulation	NA	NA	NA	NA	NA
T cell cytokine production	0	NA	87	NA	0.47282608695652173
T cell differentiation in thymus	0	0.30134367265879347	104	0.797060536772826	0.5652173913043478
T cell differentiation involved in immune response	-1.0832389956477992	0.09753609631912948	50.5	0.614376854133898	0.27445652173913043
T cell extravasation	NA	NA	NA	NA	NA
T cell homeostasis	NA	NA	NA	NA	NA
T cell lineage commitment	0	0.5719229132491119	77	0.8540523159096338	0.41847826086956524
T cell mediated cytotoxicity	NA	NA	NA	NA	NA
T cell mediated immunity	0	0.5505566581381827	74	0.8540523159096338	0.40217391304347827
T cell migration	0	0.19903717060244072	66	0.62571222592143	0.358695652173913
T cell receptor signaling pathway	NA	NA	NA	NA	NA
T cell selection	0	0.9734148757909857	88	1	0.4782608695652174
T cell tolerance induction	NA	NA	NA	NA	NA
T follicular helper cell differentiation	NA	NA	NA	NA	NA
T-helper 1 cell cytokine production	NA	NA	NA	NA	NA
T-helper 1 cell differentiation	NA	NA	NA	NA	NA
T-helper 1 type immune response	NA	NA	NA	NA	NA
T-helper 17 cell differentiation	NA	NA	NA	NA	NA
T-helper 17 cell lineage commitment	NA	NA	NA	NA	NA
T-helper 17 type immune response	NA	NA	NA	NA	NA
T-helper 2 cell cytokine production	0	NA	87	NA	0.47282608695652173
T-helper 2 cell differentiation	NA	NA	NA	NA	NA
T-helper cell differentiation	-1.038319336108571	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
T-helper cell lineage commitment	NA	NA	NA	NA	NA
TRAIL-activated apoptotic signaling pathway	NA	NA	NA	NA	NA
TRIF-dependent toll-like receptor signaling pathway	NA	NA	NA	NA	NA
Toll signaling pathway	NA	NA	NA	NA	NA
U2-type prespliceosome assembly	NA	NA	NA	NA	NA
UMP catabolic process	NA	NA	NA	NA	NA
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	NA	NA	NA	NA	NA
XMP biosynthetic process	NA	NA	NA	NA	NA
XMP metabolic process	NA	NA	NA	NA	NA
acrosome assembly	NA	NA	NA	NA	NA
actin cytoskeleton reorganization	NA	NA	NA	NA	NA
actin filament bundle assembly	NA	NA	NA	NA	NA
actin filament bundle organization	NA	NA	NA	NA	NA
actin filament capping	NA	NA	NA	NA	NA
actin filament depolymerization	NA	NA	NA	NA	NA
actin filament polymerization	NA	NA	NA	NA	NA
actin filament severing	NA	NA	NA	NA	NA
actin filament-based movement	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
actin polymerization or depolymerization	NA	NA	NA	NA	NA
actin-mediated cell contraction	NA	NA	NA	NA	NA
action potential	NA	NA	NA	NA	NA
activated T cell proliferation	NA	NA	NA	NA	NA
activation of Janus kinase activity	NA	NA	NA	NA	NA
activation of NF-kappaB-inducing kinase activity	NA	NA	NA	NA	NA
activation of cysteine-type endopeptidase activity	NA	NA	NA	NA	NA
activation of cysteine-type endopeptidase activity involved in apoptotic process	0	NA	87	NA	0.47282608695652173
activation of phospholipase D activity	NA	NA	NA	NA	NA
activation of protein kinase B activity	NA	NA	NA	NA	NA
activation of protein kinase activity	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
actomyosin structure organization	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
acute inflammatory response	0	0.7757488276460852	81.5	0.8893027267469643	0.4429347826086957
acute inflammatory response to antigenic stimulus	NA	NA	NA	NA	NA
acute-phase response	0	0.36233397859303107	75	0.8017867405900627	0.4076086956521739
acylglycerol biosynthetic process	NA	NA	NA	NA	NA
adaptive thermogenesis	0	0.1608307948496607	107	0.62571222592143	0.5815217391304348
adenosine metabolic process	NA	NA	NA	NA	NA
adenylate cyclase-activating G protein-coupled receptor signaling pathway	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway	NA	NA	NA	NA	NA
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	NA	NA	NA	NA	NA
adiponectin-activated signaling pathway	NA	NA	NA	NA	NA
adipose tissue development	NA	NA	NA	NA	NA
adrenal gland development	NA	NA	NA	NA	NA
adult behavior	NA	NA	NA	NA	NA
aerobic electron transport chain	NA	NA	NA	NA	NA
aerobic respiration	0	0.027195107515668872	112	0.2715825492407569	0.6086956521739131
aging	0	NA	87	NA	0.47282608695652173
alcohol biosynthetic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
alpha-beta T cell activation	-1.057036956448382	0.45535012074788395	70	0.8135056250788218	0.3804347826086957
alpha-beta T cell activation involved in immune response	-0.9967532899649708	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
alpha-beta T cell differentiation	-1.0448340866072492	0.692568622141814	78	0.8822582843048257	0.42391304347826086
alpha-beta T cell differentiation involved in immune response	-0.9967532899649708	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
alpha-beta T cell lineage commitment	NA	NA	NA	NA	NA
alpha-beta T cell proliferation	NA	NA	NA	NA	NA
alternative mRNA splicing, via spliceosome	NA	NA	NA	NA	NA
amide catabolic process	NA	NA	NA	NA	NA
amino acid import across plasma membrane	NA	NA	NA	NA	NA
amino sugar catabolic process	NA	NA	NA	NA	NA
amino sugar metabolic process	NA	NA	NA	NA	NA
aminoglycan biosynthetic process	NA	NA	NA	NA	NA
aminoglycan catabolic process	NA	NA	NA	NA	NA
aminoglycan metabolic process	NA	NA	NA	NA	NA
amyloid precursor protein catabolic process	NA	NA	NA	NA	NA
amyloid precursor protein metabolic process	NA	NA	NA	NA	NA
amyloid-beta clearance	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
amyloid-beta clearance by transcytosis	NA	NA	NA	NA	NA
amyloid-beta formation	NA	NA	NA	NA	NA
amyloid-beta metabolic process	NA	NA	NA	NA	NA
angiogenesis involved in wound healing	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
angiotensin maturation	NA	NA	NA	NA	NA
animal organ formation	NA	NA	NA	NA	NA
animal organ regeneration	NA	NA	NA	NA	NA
anterior/posterior pattern specification	NA	NA	NA	NA	NA
antibacterial humoral response	NA	NA	NA	NA	NA
antifungal innate immune response	NA	NA	NA	NA	NA
antigen processing and presentation	0	0.7324437608231735	80.5	0.8893027267469643	0.4375
antigen processing and presentation of endogenous antigen	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class Ib	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous antigen	0	0.7735747375636892	91.5	0.8893027267469643	0.49728260869565216
antigen processing and presentation of exogenous peptide antigen	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class I	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class II	NA	NA	NA	NA	NA
antigen processing and presentation of lipid antigen via MHC class Ib	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class I	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class II	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class Ib	NA	NA	NA	NA	NA
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	NA	NA	NA	NA	NA
antigen processing and presentation via MHC class Ib	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
antigen processing and presentation, exogenous lipid antigen via MHC class Ib	NA	NA	NA	NA	NA
antigen receptor-mediated signaling pathway	0	0.6602618316585667	96	0.8822582843048257	0.5217391304347826
antimicrobial humoral immune response mediated by antimicrobial peptide	NA	NA	NA	NA	NA
antimicrobial humoral response	NA	NA	NA	NA	NA
antiviral innate immune response	NA	NA	NA	NA	NA
apical junction assembly	NA	NA	NA	NA	NA
apoptotic cell clearance	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
apoptotic mitochondrial changes	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
appendage morphogenesis	NA	NA	NA	NA	NA
aromatic amino acid family catabolic process	NA	NA	NA	NA	NA
aromatic amino acid transport	NA	NA	NA	NA	NA
artery development	0	0.5494866892312928	81	0.8540523159096338	0.44021739130434784
artery morphogenesis	0	NA	87	NA	0.47282608695652173
astral microtubule organization	NA	NA	NA	NA	NA
astrocyte activation	NA	NA	NA	NA	NA
astrocyte cell migration	NA	NA	NA	NA	NA
astrocyte development	NA	NA	NA	NA	NA
astrocyte differentiation	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
attachment of mitotic spindle microtubules to kinetochore	NA	NA	NA	NA	NA
attachment of spindle microtubules to kinetochore	NA	NA	NA	NA	NA
autonomic nervous system development	NA	NA	NA	NA	NA
autophagosome assembly	NA	NA	NA	NA	NA
autophagosome maturation	NA	NA	NA	NA	NA
autophagosome organization	NA	NA	NA	NA	NA
autophagy of mitochondrion	NA	NA	NA	NA	NA
autophagy of nucleus	NA	NA	NA	NA	NA
axis specification	NA	NA	NA	NA	NA
axo-dendritic transport	NA	NA	NA	NA	NA
axon ensheathment	NA	NA	NA	NA	NA
axon extension	NA	NA	NA	NA	NA
axon extension involved in axon guidance	NA	NA	NA	NA	NA
axon regeneration	NA	NA	NA	NA	NA
axonal transport	NA	NA	NA	NA	NA
axonogenesis involved in innervation	NA	NA	NA	NA	NA
barbed-end actin filament capping	NA	NA	NA	NA	NA
base conversion or substitution editing	NA	NA	NA	NA	NA
base-excision repair	NA	NA	NA	NA	NA
bicellular tight junction assembly	NA	NA	NA	NA	NA
biological process involved in interaction with symbiont	NA	NA	NA	NA	NA
biomineral tissue development	NA	NA	NA	NA	NA
blastocyst growth	NA	NA	NA	NA	NA
blood coagulation, intrinsic pathway	NA	NA	NA	NA	NA
blood vessel diameter maintenance	NA	NA	NA	NA	NA
blood vessel endothelial cell migration	0	0.9203625545416256	89	0.9662360726649782	0.483695652173913
blood vessel endothelial cell proliferation involved in sprouting angiogenesis	NA	NA	NA	NA	NA
bone cell development	NA	NA	NA	NA	NA
bone mineralization	NA	NA	NA	NA	NA
bone remodeling	NA	NA	NA	NA	NA
bone resorption	NA	NA	NA	NA	NA
branching involved in salivary gland morphogenesis	NA	NA	NA	NA	NA
branching morphogenesis of an epithelial tube	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
cAMP catabolic process	NA	NA	NA	NA	NA
cadmium ion transmembrane transport	NA	NA	NA	NA	NA
cadmium ion transport	NA	NA	NA	NA	NA
calcineurin-NFAT signaling cascade	NA	NA	NA	NA	NA
calcineurin-mediated signaling	NA	NA	NA	NA	NA
calcium ion transmembrane import into cytosol	NA	NA	NA	NA	NA
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	NA	NA	NA	NA	NA
calcium-mediated signaling	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
camera-type eye morphogenesis	NA	NA	NA	NA	NA
canonical glycolysis	NA	NA	NA	NA	NA
carbohydrate catabolic process	NA	NA	NA	NA	NA
carbohydrate derivative catabolic process	NA	NA	NA	NA	NA
carbohydrate transport	NA	NA	NA	NA	NA
carbon catabolite activation of transcription	NA	NA	NA	NA	NA
carbon catabolite regulation of transcription	NA	NA	NA	NA	NA
carbon dioxide transport	NA	NA	NA	NA	NA
cardiac cell development	NA	NA	NA	NA	NA
cardiac chamber development	NA	NA	NA	NA	NA
cardiac chamber morphogenesis	NA	NA	NA	NA	NA
cardiac left ventricle morphogenesis	NA	NA	NA	NA	NA
cardiac muscle cell action potential	NA	NA	NA	NA	NA
cardiac muscle cell contraction	NA	NA	NA	NA	NA
cardiac muscle cell development	NA	NA	NA	NA	NA
cardiac muscle cell differentiation	NA	NA	NA	NA	NA
cardiac muscle cell membrane repolarization	NA	NA	NA	NA	NA
cardiac muscle contraction	NA	NA	NA	NA	NA
cardiac muscle hypertrophy	NA	NA	NA	NA	NA
cardiac muscle tissue growth	NA	NA	NA	NA	NA
cardiac muscle tissue morphogenesis	NA	NA	NA	NA	NA
cardiac muscle tissue regeneration	NA	NA	NA	NA	NA
cardiac myofibril assembly	NA	NA	NA	NA	NA
cardiac neural crest cell development involved in outflow tract morphogenesis	NA	NA	NA	NA	NA
cardiac ventricle development	NA	NA	NA	NA	NA
cardiac ventricle morphogenesis	NA	NA	NA	NA	NA
cardiocyte differentiation	NA	NA	NA	NA	NA
carnitine metabolic process	NA	NA	NA	NA	NA
cartilage development	NA	NA	NA	NA	NA
cell adhesion mediated by integrin	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
cell aggregation	NA	NA	NA	NA	NA
cell communication by electrical coupling	NA	NA	NA	NA	NA
cell communication by electrical coupling involved in cardiac conduction	NA	NA	NA	NA	NA
cell cycle DNA replication	NA	NA	NA	NA	NA
cell cycle DNA replication initiation	NA	NA	NA	NA	NA
cell cycle G2/M phase transition	NA	NA	NA	NA	NA
cell cycle checkpoint signaling	NA	NA	NA	NA	NA
cell death in response to hydrogen peroxide	NA	NA	NA	NA	NA
cell death in response to oxidative stress	NA	NA	NA	NA	NA
cell differentiation involved in kidney development	NA	NA	NA	NA	NA
cell differentiation involved in metanephros development	NA	NA	NA	NA	NA
cell fate determination	NA	NA	NA	NA	NA
cell fate specification	NA	NA	NA	NA	NA
cell growth involved in cardiac muscle cell development	NA	NA	NA	NA	NA
cell junction disassembly	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
cell killing	0	0.19910161176704466	66	0.62571222592143	0.358695652173913
cell migration involved in sprouting angiogenesis	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
cell proliferation in midbrain	NA	NA	NA	NA	NA
cell proliferation involved in kidney development	NA	NA	NA	NA	NA
cell surface pattern recognition receptor signaling pathway	NA	NA	NA	NA	NA
cell surface receptor signaling pathway involved in heart development	NA	NA	NA	NA	NA
cell surface toll-like receptor signaling pathway	NA	NA	NA	NA	NA
cell-cell fusion	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
cell-cell junction assembly	NA	NA	NA	NA	NA
cell-substrate junction assembly	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
cell-substrate junction organization	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
cellular carbohydrate biosynthetic process	NA	NA	NA	NA	NA
cellular carbohydrate catabolic process	NA	NA	NA	NA	NA
cellular component assembly involved in morphogenesis	NA	NA	NA	NA	NA
cellular defense response	NA	NA	NA	NA	NA
cellular detoxification	NA	NA	NA	NA	NA
cellular extravasation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
cellular glucan metabolic process	NA	NA	NA	NA	NA
cellular hyperosmotic response	NA	NA	NA	NA	NA
cellular modified amino acid biosynthetic process	NA	NA	NA	NA	NA
cellular oxidant detoxification	NA	NA	NA	NA	NA
cellular pigmentation	NA	NA	NA	NA	NA
cellular polysaccharide biosynthetic process	NA	NA	NA	NA	NA
cellular polysaccharide catabolic process	NA	NA	NA	NA	NA
cellular polysaccharide metabolic process	NA	NA	NA	NA	NA
cellular response to BMP stimulus	NA	NA	NA	NA	NA
cellular response to UV	NA	NA	NA	NA	NA
cellular response to UV-A	NA	NA	NA	NA	NA
cellular response to alcohol	NA	NA	NA	NA	NA
cellular response to amino acid starvation	NA	NA	NA	NA	NA
cellular response to amyloid-beta	0.4035250798947426	0.0010089769583180978	129	0.11818953533984791	0.7010869565217391
cellular response to angiotensin	NA	NA	NA	NA	NA
cellular response to antibiotic	NA	NA	NA	NA	NA
cellular response to arsenic-containing substance	NA	NA	NA	NA	NA
cellular response to bacterial lipopeptide	NA	NA	NA	NA	NA
cellular response to bacterial lipoprotein	NA	NA	NA	NA	NA
cellular response to cAMP	NA	NA	NA	NA	NA
cellular response to cadmium ion	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
cellular response to calcium ion	NA	NA	NA	NA	NA
cellular response to carbohydrate stimulus	NA	NA	NA	NA	NA
cellular response to catecholamine stimulus	NA	NA	NA	NA	NA
cellular response to chemokine	NA	NA	NA	NA	NA
cellular response to copper ion	NA	NA	NA	NA	NA
cellular response to corticosteroid stimulus	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
cellular response to corticotropin-releasing hormone stimulus	NA	NA	NA	NA	NA
cellular response to decreased oxygen levels	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
cellular response to dexamethasone stimulus	NA	NA	NA	NA	NA
cellular response to dsRNA	NA	NA	NA	NA	NA
cellular response to epidermal growth factor stimulus	NA	NA	NA	NA	NA
cellular response to exogenous dsRNA	NA	NA	NA	NA	NA
cellular response to fatty acid	NA	NA	NA	NA	NA
cellular response to fibroblast growth factor stimulus	NA	NA	NA	NA	NA
cellular response to fluid shear stress	NA	NA	NA	NA	NA
cellular response to follicle-stimulating hormone stimulus	NA	NA	NA	NA	NA
cellular response to forskolin	NA	NA	NA	NA	NA
cellular response to glucocorticoid stimulus	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
cellular response to glucose starvation	NA	NA	NA	NA	NA
cellular response to granulocyte macrophage colony-stimulating factor stimulus	NA	NA	NA	NA	NA
cellular response to growth hormone stimulus	NA	NA	NA	NA	NA
cellular response to heat	NA	NA	NA	NA	NA
cellular response to hydrogen peroxide	NA	NA	NA	NA	NA
cellular response to hypoxia	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
cellular response to increased oxygen levels	NA	NA	NA	NA	NA
cellular response to interferon-beta	NA	NA	NA	NA	NA
cellular response to interleukin-1	NA	NA	NA	NA	NA
cellular response to interleukin-12	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
cellular response to interleukin-15	0	0.47091203452702723	95.5	0.8244333899599245	0.5190217391304348
cellular response to interleukin-17	NA	NA	NA	NA	NA
cellular response to interleukin-18	NA	NA	NA	NA	NA
cellular response to interleukin-2	0	0.7757488276460852	81.5	0.8893027267469643	0.4429347826086957
cellular response to interleukin-3	0	NA	87	NA	0.47282608695652173
cellular response to interleukin-4	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
cellular response to interleukin-6	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
cellular response to interleukin-7	0	0.47091203452702723	95.5	0.8244333899599245	0.5190217391304348
cellular response to ionizing radiation	NA	NA	NA	NA	NA
cellular response to ketone	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
cellular response to lectin	NA	NA	NA	NA	NA
cellular response to leukemia inhibitory factor	NA	NA	NA	NA	NA
cellular response to lipoprotein particle stimulus	NA	NA	NA	NA	NA
cellular response to lipoteichoic acid	NA	NA	NA	NA	NA
cellular response to low-density lipoprotein particle stimulus	NA	NA	NA	NA	NA
cellular response to luteinizing hormone stimulus	NA	NA	NA	NA	NA
cellular response to macrophage colony-stimulating factor stimulus	NA	NA	NA	NA	NA
cellular response to mechanical stimulus	-1.2827107368474409	0.981216504538664	86	1	0.4673913043478261
cellular response to metal ion	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
cellular response to mineralocorticoid stimulus	NA	NA	NA	NA	NA
cellular response to misfolded protein	NA	NA	NA	NA	NA
cellular response to monoamine stimulus	NA	NA	NA	NA	NA
cellular response to muramyl dipeptide	NA	NA	NA	NA	NA
