GO_term	median_diff	p_value	statistic	p_adj	auroc
positive regulation of type I interferon-mediated signaling pathway	NA	NA	NA	NA	NA
positive regulation of type II interferon production	-0.36937173642238547	0.22084761579045287	60.5	0.6518738804249599	0.328804347826087
positive regulation of type II interferon-mediated signaling pathway	NA	NA	NA	NA	NA
positive regulation of tyrosine phosphorylation of STAT protein	0	0.7108627083278385	79	0.8882149586672993	0.42934782608695654
positive regulation of ubiquitin-dependent protein catabolic process	NA	NA	NA	NA	NA
positive regulation of ubiquitin-protein transferase activity	NA	NA	NA	NA	NA
positive regulation of vacuole organization	NA	NA	NA	NA	NA
positive regulation of vascular associated smooth muscle cell proliferation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
positive regulation of vascular endothelial growth factor production	0	0.8509187684722255	83.5	0.959246065565553	0.453804347826087
positive regulation of vascular endothelial growth factor receptor signaling pathway	NA	NA	NA	NA	NA
positive regulation of vascular endothelial growth factor signaling pathway	NA	NA	NA	NA	NA
positive regulation of vascular permeability	NA	NA	NA	NA	NA
positive regulation of vasculature development	0	0.38701763697514524	69	0.8017867405900627	0.375
positive regulation of vasoconstriction	NA	NA	NA	NA	NA
positive regulation of viral entry into host cell	0	0.44350632402272283	78	0.8044098407491623	0.42391304347826086
positive regulation of viral genome replication	NA	NA	NA	NA	NA
positive regulation of viral life cycle	NA	NA	NA	NA	NA
positive regulation of viral process	0	0.2969851954464424	72	0.7891902594572252	0.391304347826087
positive regulation of vitamin D receptor signaling pathway	NA	NA	NA	NA	NA
positive regulation of wound healing	NA	NA	NA	NA	NA
positive regulation of xenophagy	NA	NA	NA	NA	NA
post-Golgi vesicle-mediated transport	NA	NA	NA	NA	NA
post-chaperonin tubulin folding pathway	NA	NA	NA	NA	NA
post-embryonic animal organ development	NA	NA	NA	NA	NA
post-embryonic development	NA	NA	NA	NA	NA
post-translational protein targeting to endoplasmic reticulum membrane	NA	NA	NA	NA	NA
postsynapse assembly	NA	NA	NA	NA	NA
postsynapse organization	NA	NA	NA	NA	NA
postsynapse to nucleus signaling pathway	NA	NA	NA	NA	NA
postsynaptic signal transduction	NA	NA	NA	NA	NA
potassium ion homeostasis	NA	NA	NA	NA	NA
potassium ion import across plasma membrane	NA	NA	NA	NA	NA
potassium ion transmembrane transport	NA	NA	NA	NA	NA
preganglionic parasympathetic fiber development	NA	NA	NA	NA	NA
presynaptic modulation of chemical synaptic transmission	NA	NA	NA	NA	NA
pro-B cell differentiation	NA	NA	NA	NA	NA
production of molecular mediator involved in inflammatory response	NA	NA	NA	NA	NA
progesterone metabolic process	NA	NA	NA	NA	NA
programmed necrotic cell death	0	0.1728667197399158	59.5	0.62571222592143	0.3233695652173913
prostaglandin biosynthetic process	NA	NA	NA	NA	NA
prostaglandin metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
prostaglandin secretion	NA	NA	NA	NA	NA
prostaglandin transport	NA	NA	NA	NA	NA
prostanoid biosynthetic process	NA	NA	NA	NA	NA
prostanoid metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
prostatic bud formation	NA	NA	NA	NA	NA
protection from natural killer cell mediated cytotoxicity	NA	NA	NA	NA	NA
protein K48-linked deubiquitination	NA	NA	NA	NA	NA
