GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
ubiquitin-dependent SMAD protein catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ubiquitin-dependent endocytosis	0	0.5978954011701745	80	0.7303157329543453	0.43478260869565216	-0.13043478260869568
ubiquitin-dependent glycoprotein ERAD pathway	0	0.4967127120890903	82.5	0.6675117208586581	0.4483695652173913	-0.1032608695652174
ubiquitin-dependent protein catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ubiquitin-dependent protein catabolic process via the C-end degron rule pathway	-0.6501261251685897	0.2535084043691101	54	0.4901428622750198	0.29347826086956524	-0.4130434782608695
ubiquitin-dependent protein catabolic process via the N-end rule pathway	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	-0.4234294644606744	0.10393153197707024	47	0.29490924691787546	0.2554347826086957	-0.48913043478260865
ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	0	0.1430715906684424	62	0.35893211956365484	0.33695652173913043	-0.32608695652173914
ultradian rhythm	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
umbilical cord development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
umbilical cord morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
unidimensional cell growth	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
unsaturated fatty acid biosynthetic process	-0.760566354138505	0.056309798299591055	36	0.19417072354228862	0.1956521739130435	-0.6086956521739131
unsaturated fatty acid metabolic process	-0.2895748618244456	0.17222582015045004	46	0.4045107384996452	0.25	-0.5
unsaturated monocarboxylic acid metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uracil catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uracil metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
urate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
urate metabolic process	0	0.30077096873904485	57	0.532154488082965	0.30978260869565216	-0.3804347826086957
urate transport	-1.3915563032447766	8.751161966602238e-5	6	0.006818718609077201	0.03260869565217391	-0.9347826086956522
urea cycle	-1.3915563032447766	4.966765567123475e-7	0	8.357824758077028e-4	0	-1
urea metabolic process	-1.2578272151388157	1.7951480129494162e-6	0	0.001098467388651138	0	-1
urea transmembrane transport	0	0.2979253011217898	90	0.532154488082965	0.4891304347826087	-0.021739130434782594
urea transport	0	0.2513521920078118	92.5	0.48826005003568473	0.5027173913043478	0.005434782608695565
ureter development	0	0.4247196210185873	61	0.6239974345572971	0.33152173913043476	-0.3369565217391305
ureter epithelial cell differentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureter maturation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureter morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureter smooth muscle cell differentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureter smooth muscle contraction	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureter smooth muscle development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureter urothelium development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureteric bud development	-1.3915563032447766	0.001904807555523864	22	0.028344397953673016	0.11956521739130435	-0.7608695652173914
ureteric bud elongation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureteric bud formation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureteric bud invasion	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ureteric bud morphogenesis	0	0.18885108122948618	54	0.4188214564659563	0.29347826086956524	-0.4130434782608695
ureteric peristalsis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uridine catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uridine metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uridine transport	0	0.8360617939984684	79	0.8808157670063688	0.42934782608695654	-0.14130434782608692
urinary bladder development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
urinary bladder smooth muscle contraction	0	0.023740065973197833	48	0.10870366262965621	0.2608695652173913	-0.4782608695652174
urinary tract smooth muscle contraction	0	0.023740065973197833	48	0.10870366262965621	0.2608695652173913	-0.4782608695652174
urogenital system development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
urokinase plasminogen activator signaling pathway	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uronic acid metabolic process	0	0.4176687455660709	85	0.6236209799554546	0.46195652173913043	-0.07608695652173914
uronic acid transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uropod organization	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uroporphyrinogen III biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uroporphyrinogen III metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
urothelial cell proliferation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uterine epithelium development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uterine gland development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uterine smooth muscle contraction	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uterine smooth muscle relaxation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uterine wall breakdown	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
uterus development	0	0.5980538285610386	80	0.7303157329543453	0.43478260869565216	-0.13043478260869568
uterus morphogenesis	0	0.5980538285610386	80	0.7303157329543453	0.43478260869565216	-0.13043478260869568
vacuolar acidification	0	0.6152397961789067	84	0.7455339600989831	0.45652173913043476	-0.08695652173913049
vacuolar localization	-0.5457838184421423	0.053723798005985805	36	0.1876326409352614	0.1956521739130435	-0.6086956521739131
vacuolar protein processing	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vacuolar proton-transporting V-type ATPase complex assembly	0	0.6701199243460212	69	0.791711622935762	0.375	-0.25
vacuolar sequestering	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vacuolar transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vacuolar transport	0.03200505320823355	0.687419323006458	66	0.8090609307844848	0.358695652173913	-0.28260869565217395
vacuole fusion	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vacuole fusion, non-autophagic	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vacuole organization	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vagina development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vagus nerve development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vagus nerve morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
valine biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
valine catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
valine metabolic process	0	0.12208796492968943	102.5	0.32589060322539	0.5570652173913043	0.11413043478260865
valine transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
valyl-tRNA aminoacylation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle cell apoptotic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle cell dedifferentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle cell development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle cell differentiation	0	0.4176687455660709	85	0.6236209799554546	0.46195652173913043	-0.07608695652173914
vascular associated smooth muscle cell differentiation involved in phenotypic switching	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle cell migration	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle cell proliferation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular associated smooth muscle contraction	0	0.35645716087538415	65	0.5757594308703233	0.3532608695652174	-0.2934782608695652
vascular endothelial cell proliferation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular endothelial cell response to fluid shear stress	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular endothelial growth factor production	0	0.4968405469472406	82.5	0.6675117208586581	0.4483695652173913	-0.1032608695652174
vascular endothelial growth factor receptor signaling pathway	-0.3768804633826808	0.5768756515333366	63.5	0.7303157329543453	0.3451086956521739	-0.3097826086956522
vascular endothelial growth factor receptor-1 signaling pathway	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular endothelial growth factor receptor-2 signaling pathway	0	0.4967127120890903	82.5	0.6675117208586581	0.4483695652173913	-0.1032608695652174
vascular endothelial growth factor receptor-3 signaling pathway	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular endothelial growth factor signaling pathway	-0.6501261251685897	0.18278019742064594	50	0.41289581019595645	0.2717391304347826	-0.4565217391304348
vascular process in circulatory system	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vascular transport	-0.7678400365699957	0.02236572077561751	28	0.1076850261378265	0.15217391304347827	-0.6956521739130435
vascular wound healing	0	0.5978954011701745	80	0.7303157329543453	0.43478260869565216	-0.13043478260869568
vasculature development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vasculogenesis	0	0.4247196210185873	61	0.6239974345572971	0.33152173913043476	-0.3369565217391305
vasculogenesis involved in coronary vascular morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vasoconstriction	0	0.6700612310012348	69	0.791711622935762	0.375	-0.25
vasodilation	-0.5665460038645628	0.4026693160762558	58	0.6236209799554546	0.31521739130434784	-0.3695652173913043
vasomotion	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vasopressin secretion	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vein smooth muscle contraction	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
venous blood vessel development	0	0.4967127120890903	82.5	0.6675117208586581	0.4483695652173913	-0.1032608695652174
venous blood vessel morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
venous endothelial cell differentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventral midline determination	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventral midline development	0	0.743971478075057	77.5	0.8115761413071498	0.421195652173913	-0.15760869565217395
ventral spinal cord development	-2.3156217925830656	2.667426880681925e-5	16	0.0029924083889783398	0.08695652173913043	-0.8260869565217391
ventral spinal cord interneuron differentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventral spinal cord interneuron fate commitment	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventral spinal cord interneuron fate determination	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventral spinal cord interneuron specification	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventral trunk neural crest cell migration	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventricular cardiac muscle cell action potential	-0.760566354138505	0.3158502720816361	55	0.5504167079856738	0.29891304347826086	-0.40217391304347827
ventricular cardiac muscle cell development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventricular cardiac muscle cell differentiation	0	0.743971478075057	77.5	0.8115761413071498	0.421195652173913	-0.15760869565217395
ventricular cardiac muscle cell membrane repolarization	0	0.17703144244611943	97.5	0.4045107384996452	0.529891304347826	0.059782608695652106
ventricular cardiac muscle tissue development	0	0.8020814668634986	70	0.8549185041105636	0.3804347826086957	-0.23913043478260865
ventricular cardiac muscle tissue morphogenesis	0	0.6468505802846832	66.5	0.7755931912391157	0.36141304347826086	-0.27717391304347827
ventricular cardiac myofibril assembly	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventricular compact myocardium morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventricular septum development	0	0.743971478075057	77.5	0.8115761413071498	0.421195652173913	-0.15760869565217395
ventricular septum morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
ventricular system development	0	0.023740065973197833	48	0.10870366262965621	0.2608695652173913	-0.4782608695652174
ventricular trabecula myocardium morphogenesis	0	0.743971478075057	77.5	0.8115761413071498	0.421195652173913	-0.15760869565217395
ventricular zone neuroblast division	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
vertebrate eye-specific patterning	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
very long-chain fatty acid beta-oxidation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
very long-chain fatty acid biosynthetic process	-0.817794533851369	0.0943872360291151	42.5	0.27598631003995383	0.23097826086956522	-0.5380434782608696
very long-chain fatty acid catabolic process	0	0.9363446328862632	77	0.9587121864593217	0.41847826086956524	-0.1630434782608695
very long-chain fatty acid metabolic process	-0.36871911083637765	0.1648670556619174	46	0.39421675014577834	0.25	-0.5
very long-chain fatty-acyl-CoA catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
very long-chain fatty-acyl-CoA metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
very-low-density lipoprotein particle assembly	-0.9130814069607108	0.20362088454244212	53	0.44484653484426423	0.28804347826086957	-0.42391304347826086
very-low-density lipoprotein particle clearance	0	0.42499035722652156	61.5	0.6239974345572971	0.3342391304347826	-0.3315217391304348
