Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
ATP synthesis coupled electron transport	NA	NA	NA	NA	NA	NA	1.1090998242579615	1.1090998242579615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0717080985268934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.984297473730211	NA	NA	NA	NA
action potential	NA	NA	1.500931655425461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7863608180648138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous antigen	NA	NA	1.363466916604429	1.1525102828446767	NA	NA	NA	NA	NA	0.09509470679640156	0.09509470679640156	0.09509470679640156	0.09509470679640156	0.09509470679640156	0.09509470679640156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class II	NA	NA	1.4139281359254805	NA	NA	NA	NA	NA	NA	0.13405193682371117	0.13405193682371117	0.13405193682371117	0.13405193682371117	0.13405193682371117	0.13405193682371117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cell cycle DNA replication	NA	NA	NA	NA	NA	NA	1.4309289539990109	1.4309289539990109	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3165001302202306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cellular response to hydrogen peroxide	NA	NA	1.6311297029619582	NA	NA	NA	0.6914698829988348	0.6914698829988348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3996489399879952	NA
chromosome separation	NA	NA	NA	NA	NA	NA	2.6160822951479465	2.6160822951479465	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4734406757957323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.696062407330528
fatty acid oxidation	NA	NA	1.2775810745362792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6049498847533569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lipid oxidation	NA	NA	1.313666480679078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6213932476234556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
meiotic cell cycle phase transition	NA	NA	NA	NA	NA	NA	2.552275065374249	2.552275065374249	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5015589173600943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.005548507631312
mitochondrial ATP synthesis coupled electron transport	NA	NA	NA	NA	NA	NA	1.1090998242579615	1.1090998242579615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0717080985268934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.984297473730211	NA	NA	NA	NA
mitotic sister chromatid separation	NA	NA	NA	NA	NA	NA	3.502606502550639	3.502606502550639	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.383194538439681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5529638781403063
mononuclear cell migration	NA	NA	1.763875138949028	1.0080234354299398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37817012068375633	NA
negative regulation of mitotic metaphase/anaphase transition	NA	NA	NA	NA	NA	NA	1.1332195582107132	1.1332195582107132	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9347730537333037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5278410246780334
osteoclast differentiation	NA	NA	2.366886100168718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.621840608995081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
positive regulation of mitotic cell cycle spindle assembly checkpoint	NA	NA	NA	NA	NA	NA	1.1712939390371393	1.1712939390371393	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.979472106622644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
positive regulation of spindle checkpoint	NA	NA	NA	NA	NA	NA	1.1712939390371393	1.1712939390371393	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.979472106622644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
proton motive force-driven ATP synthesis	NA	NA	NA	NA	NA	NA	1.2217648277626527	1.2217648277626527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.126977032049981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0678622781449554	NA	NA	0.675956284513372	NA
proton motive force-driven mitochondrial ATP synthesis	NA	NA	NA	NA	NA	NA	1.3013861046694275	1.3013861046694275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.155174569021334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.100362764827095	NA	NA	0.6976268375580682	NA
signal transduction by p53 class mediator	NA	NA	1.4424216762790023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6922333233969459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
