Description	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_RNAseq_0.8	up_aggregated_RNAseq_DE	up_aggregated_RNAseq
actin filament bundle organization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01260169085978625	NA	NA	NA	NA	NA	0.012252488786784815	NA	NA	NA	NA	NA	NA
actin filament capping	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003766478342749529	NA	0.003996003996003996	NA	NA	0.003828361780188228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin filament depolymerization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005288536319800902	NA	NA	0.0053358443188951665	NA	0.005661005661005661	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00516327100195367	NA	NA	NA	NA	NA
actin filament polymerization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.013532431171255249	NA	0.013126341032437209	0.012711864406779662	NA	0.013486513486513486	NA	NA	0.014994416972403892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin filament severing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0020401757689893284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin nucleation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005583027596107832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin polymerization or depolymerization	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014184397163120567	NA	0.015865608959402706	NA	0.015398207749589802	0.014908976773383553	NA	0.015484515484515484	NA	NA	0.017068112936672517	0.013745704467353952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
activated T cell proliferation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007761194029850746	NA
activation of cysteine-type endopeptidase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0013302294645826404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
activation of Janus kinase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003582089552238806	NA
activation of protein kinase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011343283582089553	NA
activation-induced cell death of T cells	NA	NA	NA	0.0031069684864624943	0.0031069684864624943	0.0031069684864624943	0.0031069684864624943	0.0031069684864624943	0.0031069684864624943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acute inflammatory response	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00941138937629606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.019701492537313434	NA
acute-phase response	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008955223880597015	0.030927835051546393
acylglycerol biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004466422076886266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adaptive thermogenesis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015153932046578401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adenylate cyclase-activating G protein-coupled receptor signaling pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0191044776119403	NA
adhesion of symbiont to host	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0016745318922210383	0.0016745318922210383	NA	NA	NA	NA	NA	NA	NA	NA	NA
adhesion of symbiont to host cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0015223017202009438	0.0015223017202009438	NA	NA	NA	NA	NA	NA	NA	NA	NA
adiponectin secretion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010309278350515464	NA	NA
ADP catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008773329079598022	0.007537966965968296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07216494845360824
ADP metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00925187430212155	0.007981376787495843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07216494845360824
aerobic electron transport chain	NA	NA	NA	0.013759431868619618	0.013759431868619618	0.013759431868619618	0.013759431868619618	0.013759431868619618	0.013759431868619618	0.0070921985815602835	NA	0.007466168922071862	NA	NA	NA	NA	NA	0.008443908323281062	0.010459873760144274	0.00925187430212155	0.006761999778295089	NA	NA	NA	NA	0.007220216606498195	NA	0.00810126582278481	0.009529309846953509	NA	NA	NA
aerobic respiration	NA	NA	NA	0.024411895250776743	0.024411895250776743	0.024411895250776743	0.024411895250776743	0.024411895250776743	0.024411895250776743	0.014905637696838562	NA	NA	NA	0.01476713366149186	NA	NA	NA	0.018228119555019434	0.020198376916140667	0.0185037486042431	0.015075933931936592	NA	NA	NA	NA	0.015425008204791599	NA	0.01607594936708861	0.0206468380017326	NA	NA	NA
aggrephagy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010309278350515464	NA	NA
AIM2 inflammasome complex assembly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.416195856873823e-4	NA	9.99000999000999e-4	NA	NA	9.57090445047057e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0023880597014925373	NA
alpha-beta T cell activation	0.016560316013369797	0.016560316013369797	0.015987325363675645	0.024855747891699954	0.024855747891699954	0.024855747891699954	0.024855747891699954	0.024855747891699954	0.024855747891699954	0.014665224185599231	0.017221077421254047	0.01679888007466169	NA	0.014388489208633094	0.01694915254237288	0.015816405644285936	0.01848151848151848	0.015681544028950542	0.01550946798917944	NA	0.015297638842700367	NA	NA	0.01631346241805153	0.01631346241805153	NA	0.017303935249790677	NA	NA	NA	0.03940298507462687	NA
