Source,Target,Interaction
CCND2,CDK5,gene-gene
TRIM28,UBC,gene-gene
CBX5,SUV39H1,gene-gene
EGR1,TP53,gene-gene
CD2BP2,PRPF6,gene-gene
HMGCS1,UBC,gene-gene
MELK,UBC,gene-gene
BMPR1A,UBC,gene-gene
HSPA8,UBC,gene-gene
HIF1A,UBC,gene-gene
CDK5,CDK5R1,gene-gene
INSR,IRS1,gene-gene
ALAS1,UBC,gene-gene
CANX,EDEM1,gene-gene
PLSCR1,UBC,gene-gene
PARP1,UBC,gene-gene
GNPDA1,UBC,gene-gene
BIRC2,UBC,gene-gene
GRB10,INSR,gene-gene
CBX5,TRIM28,gene-gene
RHOA,UBC,gene-gene
BMP4,BMPR1A,gene-gene
PCNA,UBC,gene-gene
CD2,CD58,gene-gene
PRPF8,UBC,gene-gene
ADRB2,UBC,gene-gene
CD2,CD2BP2,gene-gene
PRPF6,PRPF8,gene-gene
CCND2,CDKN1A,gene-gene
CDKN1A,UBC,gene-gene
TP53,UBC,gene-gene
CCNB1,UBC,gene-gene
NFKB2,UBC,gene-gene
HMGCR,UBC,gene-gene
UBC,UBE2C,gene-gene
IRS1,UBC,gene-gene
CANX,UBC,gene-gene
APP,UBC,gene-gene
KIF14,UBC,gene-gene
GNA11,UBC,gene-gene
irinotecan,CDKN1A,drug-targets
irbesartan,CDKN1A,drug-targets
lovastatin,CDKN1A,drug-targets
etoposide,CDKN1A,drug-targets
pyrvinium-pamoate,CDKN1A,drug-targets
mycophenolate-mofetil,CDKN1A,drug-targets
mycophenolic-acid,CDKN1A,drug-targets
resveratrol,CDKN1A,drug-targets
diethylcarbamazine,ADRB2,drug-targets
homoharringtonine,EGR1,drug-targets
carbinoxamine,EGR1,drug-targets
econazole,ALAS1,drug-targets
quinine,ALAS1,drug-targets
mitotane,GNA11,drug-targets
cilostazol,GRB10,drug-targets
atorvastatin,HMGCR,drug-targets
simvastatin,HMGCR,drug-targets
tamoxifen,HMGCS1,drug-targets
loperamide,HMGCS1,drug-targets
metergoline,HMGCS1,drug-targets
bendroflumethiazide,HMGCS1,drug-targets
bucladesine,HMGCS1,drug-targets
chlorpromazine,HMGCS1,drug-targets
dipyridamole,HMGCS1,drug-targets
dydrogesterone,HMGCS1,drug-targets
cilastatin,HMGCS1,drug-targets
rutin,HMGCS1,drug-targets
raloxifene,HMGCS1,drug-targets
nimodipine,HMGCS1,drug-targets
homoharringtonine,HSPA8,drug-targets
thiocolchicoside,APP,drug-targets
fluvastatin,RHOA,drug-targets
rosuvastatin,RHOA,drug-targets
felodipine,NFKB2,drug-targets
varenicline,NFKB2,drug-targets
fluvastatin,PCNA,drug-targets
oxibendazole,PCNA,drug-targets
niclosamide,PCNA,drug-targets
econazole,PCNA,drug-targets
sunitinib,PCNA,drug-targets
nilotinib,PCNA,drug-targets
paclitaxel,PCNA,drug-targets
chlorpromazine,PCNA,drug-targets
trazodone,SUV39H1,drug-targets
benazepril,SUV39H1,drug-targets
dopamine,SUV39H1,drug-targets
cabergoline,CCNB1,drug-targets
aniracetam,CD58,drug-targets
propafenone,EDEM1,drug-targets
noscapine,HIF1A,drug-targets
