pert	n_reversed_cells	min_score_cell	all_reversed_cells
mycophenolate-mofetil	5	PHH	A549, MCF7, ASC, SKB, PHH
norgestimate	5	MCF7	PC3, VCAP, MCF7, SKB, ASC
perhexiline	5	VCAP	A375, PC3, HA1E, MCF7, VCAP
pinacidil	5	A549	PC3, SKB, PHH, NPC, A549
propafenone	5	PHH	PHH, PC3, ASC, HCC515, HA1E
proxymetacaine	5	A549	VCAP, MCF7, A549, HA1E, NEU
quercetin	5	MCF7	VCAP, MCF7, HCC515, NEU, NPC
quinidine	5	NEU	A549, FIBRNPC, HCC515, NEU, MCF7
raloxifene	5	A375	A375, HT29, MCF7, HA1E, A549
resveratrol	5	HT29	FIBRNPC, MCF7, HT29, PC3, PHH
rivaroxaban	5	NPC	VCAP, SKB, NPC, NEU, PC3
rizatriptan	5	PHH	PC3, MCF7, HCC515, NPC, PHH
sertraline	5	HA1E	HA1E, ASC, A549, HCC515, VCAP
temsirolimus	5	HT29	MCF7, PC3, A375, HCC515, HT29
thiocolchicoside	5	ASC	ASC, VCAP, NPC, MCF7, A549
tivozanib	5	PC3	A375, HA1E, PC3, A549, VCAP
tofacitinib	5	ASC	NEU, SKB, ASC, A549, MCF7
tranilast	5	VCAP	A549, HA1E, PHH, ASC, VCAP
triamcinolone	5	A375	HT29, A375, HCC515, MCF7, A549
triamterene	5	A375	A375, ASC, HA1E, PHH, PC3
trifluoperazine	5	HCC515	PC3, NPC, HCC515, A549, NEU
tubocurarine	5	MCF7	PC3, ASC, MCF7, SKB, NPC
xylazine	5	HCC515	A549, HCC515, VCAP, MCF7, PHH
acamprosate	4	MCF7	ASC, MCF7, NPC, SKB
altrenogest	4	SKB	MCF7, SKB, PHH, HA1E
aprepitant	4	ASC	PC3, PHH, ASC, NEU
benazepril	4	HCC515	MCF7, HCC515, VCAP, ASC
bendroflumethiazide	4	VCAP	HCC515, MCF7, VCAP, NPC
benzydamine	4	A549	MCF7, A549, ASC, SKB
betamethasone	4	HCC515	A549, ASC, HCC515, SKB
bosutinib	4	FIBRNPC	FIBRNPC, A549, SKB, NEU
buphenine	4	PHH	A549, MCF7, VCAP, PHH
butoconazole	4	HA1E	MCF7, VCAP, PHH, HA1E
carbamazepine	4	MCF7	A549, MCF7, FIBRNPC, NEU
carbetocin	4	NEU	PC3, NEU, NPC, MCF7
celecoxib	4	FIBRNPC	ASC, MCF7, NEU, FIBRNPC
chlorphenamine	4	ASC	A549, ASC, PHH, PC3
cholic-acid	4	NEU	MCF7, FIBRNPC, NEU, NPC
clomifene	4	ASC	ASC, HEPG2, MCF7, HA1E
decitabine	4	NEU	NPC, NEU, MCF7, VCAP
desoximetasone	4	MCF7	HCC515, MCF7, PC3, A549
digoxin	4	ASC	A549, ASC, PHH, HA1E
donepezil	4	VCAP	PHH, A549, HCC515, VCAP
dopamine	4	ASC	MCF7, ASC, NEU, A549
droperidol	4	VCAP	VCAP, ASC, MCF7, HA1E
ephedrine	4	NPC	FIBRNPC, VCAP, A549, NPC
felodipine	4	SKB	ASC, VCAP, SKB, HCC515
fluphenazine	4	A375	A549, A375, SKB, HCC515
fluvoxamine	4	NEU	NPC, HCC515, VCAP, NEU
halcinonide	4	A549	PC3, A549, VCAP, NEU
homatropine	4	VCAP	VCAP, A549, PC3, HT29
ingenol	4	A375	VCAP, A375, HT29, A549
isoxsuprine	4	HA1E	HA1E, HT29, ASC, VCAP
labetalol	4	A549	HCC515, A549, VCAP, ASC
lisuride	4	HCC515	MCF7, A549, HCC515, NEU
loperamide	4	FIBRNPC	MCF7, HA1E, A375, FIBRNPC
maprotiline	4	HA1E	HCC515, PC3, ASC, HA1E
medrysone	4	VCAP	PHH, VCAP, A549, ASC
metergoline	4	A549	A549, PHH, A375, PC3
methantheline	4	ASC	ASC, MCF7, A549, SKB
midostaurin	4	PC3	A549, ASC, PC3, MCF7
milnacipran	4	A549	VCAP, A549, PC3, MCF7
mirtazapine	4	NEU	MCF7, A549, NEU, NPC
mitoxantrone	4	PC3	A375, HT29, PC3, A549
moxonidine	4	PC3	VCAP, MCF7, NEU, PC3
nabumetone	4	MCF7	A549, VCAP, MCF7, PC3
naftifine	4	NPC	PC3, HA1E, A549, NPC
nicardipine	4	HCC515	A375, HCC515, MCF7, A549
niclosamide	4	VCAP	HCC515, VCAP, PC3, MCF7
nimodipine	4	NEU	FIBRNPC, NPC, NEU, HCC515
oxibendazole	4	PC3	VCAP, ASC, HA1E, PC3
ozagrel	4	VCAP	A549, ASC, VCAP, HA1E
palbociclib	4	HS578T	MCF7, ASC, PC3, HS578T
papaverine	4	MCF7	HCC515, PC3, MCF7, NPC
perphenazine	4	HA1E	PC3, A549, HCC515, HA1E
phenazopyridine	4	PC3	HCC515, HA1E, PC3, MCF7
pioglitazone	4	PHH	FIBRNPC, A549, PC3, PHH
piretanide	4	NEU	VCAP, HA1E, SKB, NEU
pitavastatin	4	A549	VCAP, PC3, A549, MCF7
podophyllotoxin	4	ASC	PHH, ASC, MCF7, A549
prazosin	4	NPC	A549, MCF7, HCC515, NPC
prednisolone	4	NPC	PHH, A549, MCF7, NPC
promazine	4	HCC515	A549, HA1E, A375, HCC515
pyrimethamine	4	PC3	HCC515, PC3, NPC, VCAP
resorcinol	4	NPC	SKB, NPC, A549, MCF7
rifabutin	4	PHH	PC3, SKB, PHH, MCF7
sitagliptin	4	PC3	A549, ASC, NPC, PC3
sulpiride	4	A549	ASC, A549, VCAP, HA1E
sunitinib	4	PC3	NPC, VCAP, PC3, MCF7
temozolomide	4	HT29	MCF7, A375, PC3, HT29
teniposide	4	HCC515	VCAP, PC3, ASC, HCC515
tetrabenazine	4	A549	FIBRNPC, VCAP, NPC, A549
thioproperazine	4	NPC	SKB, PC3, NPC, PHH
thiothixene	4	HA1E	SKB, PC3, HA1E, PHH
ticlopidine	4	PC3	PC3, ASC, SKB, HCC515
tolazamide	4	VCAP	VCAP, HT29, A375, ASC
verapamil	4	ASC	MCF7, HT29, NEU, ASC
vinpocetine	4	A549	MCF7, HA1E, PHH, A549
warfarin	4	A375	ASC, A375, HA1E, NEU
yohimbine	4	SKB	HCC515, HA1E, SKB, NPC
zuclopenthixol	4	HA1E	A549, SKB, HA1E, NPC
GR-235	3	VCAP	ASC, NEU, VCAP
NECA	3	SKB	VCAP, SKB, HCC515
acepromazine	3	NPC	A549, PC3, NPC
acetyl-farnesyl-cysteine	3	NPC	SKB, VCAP, NPC
afatinib	3	MDAMB231	MDAMB231, A549, PC3
albendazole	3	VCAP	VCAP, ASC, A549
alimemazine	3	HA1E	PC3, HA1E, A375
amiloride	3	VCAP	VCAP, A375, HT29
amodiaquine	3	MCF7	VCAP, MCF7, HCC515
amperozide	3	PC3	PC3, MCF7, A549
amsacrine	3	HCC515	PC3, MCF7, HCC515
ascorbic-acid	3	PC3	PC3, VCAP, MCF7
axitinib	3	NEU	NPC, A549, NEU
azaperone	3	HA1E	ASC, HA1E, HCC515
