pert	n_reversed_cells	min_score_cell	all_reversed_cells
venlafaxine	2	PC3	PC3, PHH
vidarabine	2	VCAP	MCF7, VCAP
vindesine	2	A549	A549, PC3
vinorelbine	2	PHH	ASC, PHH
ziprasidone	2	ASC	VCAP, ASC
zonisamide	2	FIBRNPC	NPC, FIBRNPC
17-hydroxyprogesterone-caproate	1	MCF7	MCF7
SN-38	1	A549	A549
abiraterone	1	PC3	PC3
acebutolol	1	PC3	PC3
acetylcholine	1	PC3	PC3
acitretin	1	ASC	ASC
acyclovir	1	A549	A549
alprenolol	1	HCC515	HCC515
amitriptyline	1	VCAP	VCAP
amlexanox	1	VCAP	VCAP
ampicillin	1	VCAP	VCAP
argatroban	1	A549	A549
ataluren	1	VCAP	VCAP
azasetron	1	A549	A549
azelastine	1	A549	A549
azithromycin	1	A549	A549
balsalazide	1	VCAP	VCAP
belinostat	1	ASC	ASC
benzthiazide	1	PHH	PHH
bicalutamide	1	MCF7	MCF7
bimatoprost	1	PC3	PC3
brimonidine	1	NEU	NEU
brinzolamide	1	HCC515	HCC515
candesartan	1	MCF7	MCF7
carbidopa	1	MCF7	MCF7
carmofur	1	A549	A549
cefazolin	1	VCAP	VCAP
cefotaxime	1	VCAP	VCAP
cetirizine	1	PC3	PC3
cimetidine	1	VCAP	VCAP
clofibric-acid	1	NEU	NEU
clotrimazole	1	PC3	PC3
cortisone	1	NEU	NEU
cromoglicic-acid	1	PC3	PC3
cyproheptadine	1	A549	A549
danazol	1	HCC515	HCC515
deferiprone	1	PC3	PC3
desipramine	1	ASC	ASC
desloratadine	1	MCF7	MCF7
dextromethorphan	1	PHH	PHH
diazoxide	1	HA1E	HA1E
didanosine	1	PC3	PC3
diphenhydramine	1	VCAP	VCAP
dobutamine	1	SKB	SKB
dolasetron	1	PC3	PC3
doxazosin	1	PC3	PC3
duloxetine	1	A549	A549
edaravone	1	MCF7	MCF7
edrophonium	1	VCAP	VCAP
efavirenz	1	PC3	PC3
entacapone	1	VCAP	VCAP
eplerenone	1	HCC515	HCC515
equol	1	HA1E	HA1E
escitalopram	1	MCF7	MCF7
esomeprazole	1	MCF7	MCF7
etacrynic-acid	1	MCF7	MCF7
ethisterone	1	MCF7	MCF7
etilefrine	1	A549	A549
everolimus	1	NPC	NPC
ezetimibe	1	ASC	ASC
famotidine	1	A549	A549
fexofenadine	1	HCC515	HCC515
finasteride	1	A549	A549
flavoxate	1	VCAP	VCAP
flecainide	1	ASC	ASC
floxuridine	1	VCAP	VCAP
flubendazole	1	A549	A549
flumazenil	1	MCF7	MCF7
fluocinonide	1	MCF7	MCF7
gestrinone	1	PC3	PC3
glipizide	1	VCAP	VCAP
glycopyrrolate	1	VCAP	VCAP
griseofulvin	1	MCF7	MCF7
hexylcaine	1	HCC515	HCC515
homoharringtonine	1	HA1E	HA1E
hydralazine	1	NEU	NEU
hyoscyamine	1	PHH	PHH
idarubicin	1	A549	A549
ifenprodil	1	MCF7	MCF7
irbesartan	1	A549	A549
irsogladine	1	VCAP	VCAP
isotretinoin	1	VCAP	VCAP
lacidipine	1	PC3	PC3
letrozole	1	PC3	PC3
levetiracetam	1	PC3	PC3
levofloxacin	1	A549	A549
liothyronine	1	VCAP	VCAP
lobeline	1	PC3	PC3
lofexidine	1	PC3	PC3
losartan	1	MCF7	MCF7
mafenide	1	PC3	PC3
meclofenamic-acid	1	PHH	PHH
medetomidine	1	HA1E	HA1E
medroxyprogesterone	1	VCAP	VCAP
memantine	1	PC3	PC3
mephentermine	1	ASC	ASC
methazolamide	1	VCAP	VCAP
methocarbamol	1	SKB	SKB
methylergometrine	1	PC3	PC3
metixene	1	A549	A549
mexiletine	1	SKB	SKB
mianserin	1	MCF7	MCF7
miglitol	1	VCAP	VCAP
milrinone	1	MCF7	MCF7
moclobemide	1	A549	A549
moexipril	1	ASC	ASC
molindone	1	MCF7	MCF7
mupirocin	1	MCF7	MCF7
nadolol	1	PHH	PHH
nafcillin	1	SKB	SKB
naphazoline	1	PC3	PC3
naproxen	1	SKB	SKB
nelfinavir	1	A549	A549
nemonapride	1	HCC515	HCC515
nilutamide	1	PC3	PC3
norgestrel	1	MCF7	MCF7
noscapine	1	MCF7	MCF7
olmesartan	1	MCF7	MCF7
oxyphenonium	1	PC3	PC3
pancuronium	1	MCF7	MCF7
parecoxib	1	MCF7	MCF7
perindopril	1	SKB	SKB
phenylbutyrate	1	MCF7	MCF7
pramipexole	1	A549	A549
pravastatin	1	SKB	SKB
primaquine	1	VCAP	VCAP
probucol	1	ASC	ASC
procyclidine	1	VCAP	VCAP
pyrazinamide	1	MCF7	MCF7
quinapril	1	NPC	NPC
quinethazone	1	A375	A375
quinine	1	A549	A549
rabeprazole	1	PC3	PC3
raltitrexed	1	NEU	NEU
ranolazine	1	HA1E	HA1E
ritonavir	1	VCAP	VCAP
ropivacaine	1	A549	A549
rosmarinic-acid	1	NPC	NPC
sildenafil	1	VCAP	VCAP
spironolactone	1	VCAP	VCAP
sulfasalazine	1	A549	A549
sulfinpyrazone	1	VCAP	VCAP
tacrine	1	MCF7	MCF7
telmisartan	1	HCC515	HCC515
tetracycline	1	MCF7	MCF7
thiostrepton	1	SKB	SKB
tocainide	1	A375	A375
tolazoline	1	PC3	PC3
tranylcypromine	1	A375	A375
triclabendazole	1	A549	A549
triclosan	1	PHH	PHH
tropicamide	1	PC3	PC3
tropisetron	1	SKB	SKB
urapidil	1	A549	A549
zafirlukast	1	PC3	PC3
zidovudine	1	MCF7	MCF7
zileuton	1	PC3	PC3
