pert	n_reversed_cells	min_score_cell	all_reversed_cells
tamoxifen	15	HA1E	FIBRNPC, NPC, PC3, PHH, HA1E, HEPG2, ASC, U937, HT29, SKB, A375, NEU, MCF7, VCAP, A549
loperamide	13	MCF7	ASC, HT29, PC3, HA1E, MCF7, FIBRNPC, NEU, A375, VCAP, PHH, NPC, HCC515, A549
atorvastatin	12	HEPG2	HUH7, MCF7, PC3, NEU, HT29, NPC, HEPG2, A375, A549, HA1E, HCC515, VCAP
bucladesine	12	HCC515	HT29, PHH, NPC, HUH7, PC3, HCC515, A549, HA1E, HEPG2, ASC, VCAP, A375
crizotinib	12	MCF7	HEPG2, A549, PC3, MCF10A, SKB, MCF7, A375, VCAP, NEU, PHH, ASC, BT20
nilotinib	12	ASC	MDAMB231, SKBR3, HT29, HS578T, A549, MCF7, VCAP, PC3, MCF10A, A375, NEU, ASC
palbociclib	12	MCF10A	SKBR3, MCF7, NPC, ASC, A549, BT20, MCF10A, PC3, HS578T, VCAP, MDAMB231, SKB
simvastatin	12	PC3	NPC, MCF7, A375, HUH7, PHH, PC3, HA1E, FIBRNPC, NEU, A549, HCC515, HEPG2
sirolimus	12	SKBR3	HT29, A375, PC3, SKBR3, HCC515, SKB, FIBRNPC, VCAP, ASC, HEPG2, MDAMB231, PHH
triamterene	12	HA1E	SKB, ASC, A375, A549, PHH, HEK293T, PC3, HCC515, HA1E, MCF7, VCAP, NPC
triflupromazine	12	A549	HCC515, A375, HEK293T, PC3, SKB, NPC, MCF7, A549, VCAP, NEU, ASC, HA1E
vemurafenib	12	HS578T	HT29, SKB, SKBR3, PHH, BT20, HS578T, ASC, HEK293T, MCF7, A375, PC3, VCAP
amiodarone	11	PC3	FIBRNPC, HA1E, HCC515, HT29, ASC, MCF7, PC3, A375, A549, SKB, VCAP
promazine	11	A375	HCC515, ASC, SKB, HA1E, A375, NPC, PC3, HT29, PHH, MCF7, VCAP
toremifene	11	A375	SKB, HA1E, NPC, A375, HCC515, PC3, PHH, HEPG2, ASC, HT29, VCAP
aniracetam	10	FIBRNPC	ASC, NPC, A549, PC3, VCAP, PHH, FIBRNPC, HCC515, SKB, MCF7
clomifene	10	PC3	A375, ASC, HEPG2, HT29, PHH, PC3, HA1E, A549, HCC515, NPC
estradiol	10	VCAP	PC3, MCF7, HEPG2, VCAP, NKDBA, HCC515, ASC, HT29, NPC, PHH
estropipate	10	VCAP	A375, PC3, HCC515, NPC, VCAP, A549, MCF7, SKB, HA1E, PHH
flunarizine	10	PC3	PHH, SKB, A549, MCF7, PC3, ASC, HCC515, VCAP, NPC, HA1E
fostamatinib	10	PC3	MCF7, A375, HT29, MDAMB231, HA1E, HCC515, MCF10A, A549, PC3, SKBR3
imatinib	10	SKBR3	FIBRNPC, NEU, VCAP, BT20, PC3, ASC, SKB, SKBR3, MCF7, MDAMB231
lapatinib	10	PHH	SKBR3, NPC, MCF7, SKB, PC3, BT20, PHH, A549, VCAP, MDAMB231
naftifine	10	PC3	SKB, HA1E, MCF7, ASC, PC3, HCC515, VCAP, NPC, PHH, A549
nitrendipine	10	NEU	A549, NEU, NPC, FIBRNPC, A375, HCC515, PHH, MCF7, HT29, SKB
