study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology	number	signature_ID	dataset_ID
GSE34151	GPL10558	MTB	NA	blood_dcs	primary	circulating	GSE34151	GSE34151_GPL10558_MTB_control_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv	1	51	43	microarray	1	s1	d1
GSE139871	GPL10558	MTB	NA	blood_monocyte	primary	circulating	GSE139871	GSE139871_GPL10558_MTB_control_blood_monocyte	data/v2/microarray_data_forDE/expression_matrices/GSE139871.tsv	1	15	24	microarray	2	s2	d2
GSE16250	GPL570	MTB	NA	blood_pmbc	primary	circulating	GSE16250	GSE16250_GPL570_MTB_control_blood_pmbc	data/v2/microarray_data_forDE/expression_matrices/GSE16250.tsv	1	52	8	microarray	3	s3	d3
GSE83456	GPL10558	EPTB	NA	blood_whole_blood	primary	circulating	GSE83456	GSE83456_GPL10558_EPTB_control_blood	data/v2/microarray_data_forDE/expression_matrices/GSE83456.tsv	1	59	75	microarray	4	s4	d4
GSE83456	GPL10558	PTB	NA	blood_whole_blood	primary	circulating	GSE83456	GSE83456_GPL10558_PTB_control_blood	data/v2/microarray_data_forDE/expression_matrices/GSE83456.tsv	1	59	75	microarray	5	s5	d4
GSE63548	GPL10558	LNTB	NA	lymphnode_lymphnode	primary	other	GSE63548	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	data/v2/microarray_data_forDE/expression_matrices/GSE63548.tsv	1	79	55	microarray	6	s6	d5
GSE100897	NA	MTB	24h	blood_THP-1	cell line	other	GSE100897	GSE100897_MTB_control_24h_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE100897.tsv	1	107	163	RNAseq	7	s7	d6
GSE100897	NA	MTB	6h	blood_THP-1	cell line	other	GSE100897	GSE100897_MTB_control_6h_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE100897.tsv	1	107	163	RNAseq	8	s8	d6
GSE211974	NA	MTB	48h	blood_THP-1	cell line	other	GSE211974	GSE211974_MTB_control_48h_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq	9	s9	d7
GSE211974	NA	MTB	NA	blood_THP-1	cell line	other	GSE211974	GSE211974_MTB_control_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq	10	s10	d7
GSE256184	NA	MTB	NA	HEPG2_HepG2	cell line	other	GSE256184	GSE256184_MTB_control_HEPG2_HepG2	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1	258	59	RNAseq	11	s11	d8
GSE64179	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64179	GSE64179_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1	268	258	RNAseq	12	s12	d9
GSE64182	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64182	GSE64182_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1	256	67	RNAseq	13	s13	d10
GSE110564	NA	MTB	NA	blood_lymphatic_endothelial_cell	primary	circulating	GSE110564	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	data/RNAseq_data_forDE/expression_matrices/GSE110564.tsv	1	70	21	RNAseq	14	s14	d11
GSE132283	NA	MTB	NA	blood_macrophage	primary	circulating	GSE132283	GSE132283_MTB_control_blood_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1	165	31	RNAseq	15	s15	d12
GSE183912	NA	MTB	NA	blood_marcophages	primary	circulating	GSE183912	GSE183912_MTB_control_blood_marcophages	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	24	2	RNAseq	16	s16	d13
GSE236156	NA	MTB	NA	blood_monocyte_derived_macrophage	primary	circulating	GSE236156	GSE236156_MTB_control_blood_monocyte_derived_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq	17	s17	d14
GSE141656	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE141656	GSE141656_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE141656.tsv	1	62	22	RNAseq	18	s18	d15
GSE143731	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE143731	GSE143731_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	3	5	RNAseq	19	s19	d16
GSE164287	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE164287	GSE164287_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	79	91	RNAseq	20	s20	d17
GSE148731	NA	MTB	NA	blood_monocytes	primary	circulating	GSE148731	GSE148731_MTB_control_blood_monocytes	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1	206	89	RNAseq	21	s21	d18
GSE148171	NA	MTB	NA	blood_PBMC	primary	circulating	GSE148171	GSE148171_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE148171.tsv	1	211	28	RNAseq	22	s22	d19
GSE174566	NA	MTB	NA	blood_PBMC	primary	circulating	GSE174566	GSE174566_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1	225	79	RNAseq	23	s23	d20
GSE198557	NA	MTB	NA	blood_PBMC	primary	circulating	GSE198557	GSE198557_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE198557.tsv	1	252	28	RNAseq	24	s24	d21
GSE193777	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE193777	GSE193777_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE193777.tsv	1	226	101	RNAseq	25	s25	d22
GSE84076	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE84076	GSE84076_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE84076.tsv	1	17	6	RNAseq	26	s26	d23
GSE143627	NA	MTB	NA	PBMC_macrophage	primary	circulating	GSE143627	GSE143627_MTB_control_PBMC_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1	97	81	RNAseq	27	s27	d24
GSE165708	NA	MTB	NA	BAL_bronchoalveolar_lavage	primary	lung	GSE165708	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1	23	1	RNAseq	28	s28	d25
GSE236156	NA	MTB	NA	BALF_alveolar_macrophage	primary	lung	GSE236156	GSE236156_MTB_control_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq	29	s29	d14
GSE112482	NA	MTB	NA	lung_ILC1	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC1	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	30	s30	d26
GSE112482	NA	MTB	NA	lung_ILC2	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC2	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	31	s31	d26
GSE112482	NA	MTB	NA	lung_ILC3neg	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC3neg	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	32	s32	d26
GSE112482	NA	MTB	NA	lung_ILC3pos	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC3pos	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	33	s33	d26
GSE112482	NA	MTB	NA	lung_NK	primary	lung	GSE112482	GSE112482_MTB_control_lung_NK	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	34	s34	d26
GSE112482	NA	MTB	NA	lung_susp	primary	lung	GSE112482	GSE112482_MTB_control_lung_susp	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	35	s35	d26
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_microarray	NA	1	98	98	microarray	36	aggregated_microarray	NA
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_RNAseq	NA	1	98	98	RNAseq	37	aggregated_RNAseq	NA
