pert	n_reversed_cells	min_score_cell	all_reversed_cells
sirolimus	12	VCAP	PHH, HA1E, NEU, ASC, HT29, VCAP, PC3, HCC515, NPC, SKB, MCF7, A375
daunorubicin	11	PC3	ASC, PHH, HCC515, HA1E, PC3, VCAP, NEU, NPC, SKB, MCF7, A549
panobinostat	11	SKB	SKB, PHH, MCF7, A549, HCC515, PC3, A375, HT29, NPC, NEU, ASC
quercetin	11	VCAP	HA1E, A549, MCF7, VCAP, ASC, NPC, NEU, PC3, HCC515, PHH, SKB
tamoxifen	11	A375	PHH, FIBRNPC, VCAP, MCF7, ASC, SKB, NEU, HA1E, A375, NPC, A549
vorinostat	11	HCC515	SKB, FIBRNPC, PHH, A549, HA1E, MCF7, HT29, A375, ASC, HCC515, PC3
toremifene	10	MCF7	VCAP, ASC, A549, PHH, SKB, HCC515, PC3, HA1E, MCF7, NPC
atorvastatin	9	A375	MCF7, NPC, HA1E, A375, PHH, PC3, HCC515, FIBRNPC, NEU
dopamine	9	ASC	PHH, PC3, MCF7, ASC, FIBRNPC, VCAP, NEU, A549, SKB
forskolin	9	A549	PHH, MCF7, VCAP, A549, PC3, FIBRNPC, SKB, NEU, HCC515
loperamide	9	HT29	MCF7, FIBRNPC, HA1E, HT29, VCAP, NPC, PC3, HCC515, NEU
methylergometrine	9	HCC515	HA1E, A375, PC3, HCC515, SKB, NPC, NEU, A549, HT29
minoxidil	9	HT29	PC3, HT29, PHH, FIBRNPC, A375, MCF7, NEU, HA1E, NPC
nitrendipine	9	A549	ASC, PC3, FIBRNPC, A549, HA1E, VCAP, MCF7, HT29, PHH
piretanide	9	MCF7	SKB, NPC, HA1E, HCC515, VCAP, A549, PC3, NEU, MCF7
sulpiride	9	VCAP	HCC515, PHH, ASC, MCF7, SKB, VCAP, HA1E, A549, PC3
vemurafenib	9	A375	MCF7, NPC, HA1E, HCC515, SKB, A549, A375, HT29, PC3
bendroflumethiazide	8	VCAP	NEU, ASC, PC3, HCC515, A549, NPC, MCF7, VCAP
benzonatate	8	MCF7	MCF7, PC3, VCAP, NPC, A549, A375, SKB, HA1E
bumetanide	8	PHH	VCAP, ASC, HCC515, HA1E, A549, PC3, PHH, MCF7
cabergoline	8	NPC	HA1E, NEU, MCF7, SKB, VCAP, PC3, A549, NPC
caffeine	8	A549	A549, PC3, FIBRNPC, PHH, SKB, NEU, MCF7, HCC515
carteolol	8	VCAP	PC3, VCAP, HA1E, MCF7, ASC, A549, NPC, PHH
chenodeoxycholic-acid	8	NEU	SKB, MCF7, PHH, A549, NEU, FIBRNPC, NPC, VCAP
chlorpromazine	8	HCC515	FIBRNPC, NEU, HCC515, SKB, VCAP, HA1E, PHH, NPC
dexamethasone	8	A375	MCF7, ASC, A375, A549, PC3, NEU, HCC515, VCAP
dienestrol	8	PHH	MCF7, PHH, HA1E, VCAP, HT29, PC3, NPC, SKB
doxorubicin	8	A549	VCAP, PHH, HA1E, PC3, A549, ASC, HT29, A375
estradiol	8	NEU	HA1E, PC3, HT29, NEU, A549, VCAP, PHH, ASC
etoposide	8	MCF7	PC3, HT29, FIBRNPC, MCF7, NEU, HA1E, NPC, A549
fipronil	8	SKB	NPC, HCC515, SKB, MCF7, PHH, PC3, VCAP, ASC
fludarabine	8	VCAP	PHH, SKB, NEU, A549, MCF7, VCAP, NPC, PC3
fluvastatin	8	MCF7	VCAP, MCF7, HA1E, A549, ASC, FIBRNPC, HCC515, SKB
fluvoxamine	8	NPC	ASC, NPC, HA1E, MCF7, HCC515, VCAP, NEU, PC3
fulvestrant	8	MCF7	NPC, A375, SKB, PC3, HCC515, MCF7, VCAP, HA1E
mepacrine	8	A549	VCAP, HA1E, A549, A375, HT29, PC3, HCC515, MCF7
mirtazapine	8	MCF7	MCF7, A549, HA1E, NEU, HCC515, SKB, NPC, PC3
perphenazine	8	HA1E	PC3, HA1E, ASC, VCAP, NPC, HCC515, A549, MCF7
phenazopyridine	8	HA1E	ASC, SKB, A549, HA1E, MCF7, NPC, PC3, HCC515
pirarubicin	8	A549	MCF7, NPC, SKB, PC3, A549, NEU, PHH, VCAP
promazine	8	A549	A549, HA1E, PC3, SKB, VCAP, HT29, HCC515, MCF7
rilmenidine	8	MCF7	MCF7, HCC515, A549, NPC, A375, PHH, SKB, PC3
simvastatin	8	A375	FIBRNPC, HA1E, MCF7, A375, A549, PC3, ASC, HCC515
temsirolimus	8	MCF7	MCF7, A549, VCAP, HCC515, HT29, A375, PC3, HA1E
thalidomide	8	ASC	SKB, VCAP, A375, ASC, PHH, HT29, MCF7, A549
topotecan	8	A549	VCAP, SKB, MCF7, NPC, NEU, PHH, A549, ASC
triamterene	8	A375	PC3, A375, SKB, ASC, HA1E, MCF7, VCAP, NPC
triflupromazine	8	MCF7	HA1E, VCAP, A375, NPC, MCF7, NEU, HCC515, SKB
verapamil	8	MCF7	PHH, PC3, A549, MCF7, SKB, A375, NEU, HT29
altrenogest	7	VCAP	HCC515, VCAP, HA1E, ASC, PHH, NPC, SKB
amiloride	7	A375	NPC, PHH, SKB, VCAP, HA1E, MCF7, A375
amiodarone	7	A549	NPC, PC3, A375, HA1E, A549, HT29, VCAP
amlodipine	7	HCC515	PHH, HCC515, HA1E, VCAP, PC3, MCF7, A549
bosutinib	7	SKB	PC3, A549, NPC, FIBRNPC, SKB, PHH, ASC
chlorphenamine	7	VCAP	VCAP, HCC515, A549, PC3, PHH, MCF7, ASC
chlorprothixene	7	HA1E	HA1E, PC3, A549, HCC515, MCF7, SKB, VCAP
clozapine	7	PC3	A549, HA1E, PC3, NEU, VCAP, HCC515, MCF7
crizotinib	7	ASC	PC3, SKB, ASC, HA1E, A549, NPC, A375
dactinomycin	7	SKB	SKB, ASC, HA1E, A549, PC3, VCAP, MCF7
