SIGNATURE_NAME	number	ID	study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology
GSE143627_MTB_control_PBMC_macrophage	19	signature_19	GSE143627	NA	MTB	NA	PBMC_macrophage	primary	circulating	GSE143627	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1	97	81	RNAseq
GSE148731_MTB_control_blood_monocytes	20	signature_20	GSE148731	NA	MTB	NA	blood_monocytes	primary	circulating	GSE148731	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1	206	89	RNAseq
GSE174566_MTB_control_blood_PBMC	21	signature_21	GSE174566	NA	MTB	NA	blood_PBMC	primary	circulating	GSE174566	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1	225	79	RNAseq
GSE193777_MTB_control_blood	22	signature_22	GSE193777	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE193777	data/RNAseq_data_forDE/expression_matrices/GSE193777.tsv	1	226	101	RNAseq
GSE256184_MTB_control_HEPG2_HepG2	23	signature_23	GSE256184	NA	MTB	NA	HEPG2_HepG2	cell line	other	GSE256184	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1	258	59	RNAseq
GSE64179_MTB_control_blood_dendritic_cells	24	signature_24	GSE64179	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64179	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1	268	258	RNAseq
GSE64182_MTB_control_blood_dendritic_cells	25	signature_25	GSE64182	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64182	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1	256	67	RNAseq
GSE110564_MTB_control_blood_lymphatic_endothelial_cell	26	signature_26	GSE110564	NA	MTB	NA	blood_lymphatic_endothelial_cell	primary	circulating	GSE110564	data/RNAseq_data_forDE/expression_matrices/GSE110564.tsv	1	70	21	RNAseq
GSE141656_MTB_control_blood_blood	27	signature_27	GSE141656	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE141656	data/RNAseq_data_forDE/expression_matrices/GSE141656.tsv	1	62	22	RNAseq
GSE143731_MTB_control_blood_monocyte_derived_macrophages	28	signature_28	GSE143731	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE143731	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	3	5	RNAseq
GSE164287_MTB_control_blood_monocyte_derived_macrophages	29	signature_29	GSE164287	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE164287	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	79	91	RNAseq
GSE165708_MTB_control_BAL_bronchoalveolar_lavage	30	signature_30	GSE165708	NA	MTB	NA	BAL_bronchoalveolar_lavage	primary	lung	GSE165708	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1	23	1	RNAseq
GSE183912_MTB_control_blood_marcophages	31	signature_31	GSE183912	NA	MTB	NA	blood_marcophages	primary	circulating	GSE183912	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	24	2	RNAseq
GSE211974_MTB_control_blood_THP-1	32	signature_32	GSE211974	NA	MTB	NA	blood_THP-1	cell line	other	GSE211974	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq
GSE211974_MTB_control_48h_blood_THP-1	33	signature_33	GSE211974	NA	MTB	48h	blood_THP-1	cell line	other	GSE211974	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq
GSE236156_MTB_control_BALF_alveolar_macrophage	34	signature_34	GSE236156	NA	MTB	NA	BALF_alveolar_macrophage	primary	lung	GSE236156	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq
GSE236156_MTB_control_blood_monocyte_derived_macrophage	35	signature_35	GSE236156	NA	MTB	NA	blood_monocyte_derived_macrophage	primary	circulating	GSE236156	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq
aggregated_microarray	36	aggregated_microarray	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	98	98	microarray
aggregated_RNAseq	37	aggregated_RNAseq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	98	98	RNAseq
