Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_microarray	up_aggregated_RNAseq	up_aggregated_RNAseq_blood	up_aggregated_RNAseq_lung	up_aggregated_RNAseq_mixed
'de novo' cotranslational protein folding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'de novo' post-translational protein folding	0	0	0.8614390216115573	0	1.222795723286334	1.222795723286334	0.8935877224254518	0.8935877224254518	0	0	0	0	0	0	0	0	0	0.801723484088992	0	1.391166853221922	1.9229481150116812	0	0	0.7103164257994704	0	0.7040784910612794	2.035689159432387	1.514447549388465	1.514447549388465	1.937053471319225	1.937053471319225	0.9445772533875736	0	0.46591051061159905	1.3846419043089468	0.9566994494930784	0.9566994494930784	0	1.3026640980087665	0
'de novo' protein folding	0	0	0.6303461769888058	0	0.9326488749062956	0.9326488749062956	0.6562005327491199	0.6562005327491199	0	0	0	0	0	0	0	0	0.6060219057747209	0.582870288104995	0	1.3210987538294392	1.785309936528753	0	0	0.5115602308309166	0	0.9214146768079828	1.9585450570287983	1.5488171026389232	1.5488171026389232	1.5907473024281225	1.5907473024281225	0.6976315442141091	0	0.32841481059749006	1.0757946066610165	1.2146681348136192	0.7075578342784549	0	1.0027457280655212	0
'de novo' pyrimidine nucleobase biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6361925389043868	0	0	0	0	0	0	0	0	0	0	0	0	0	2.854477064445826	3.4242001299375655	2.78292002686167
(R)-carnitine transmembrane transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(R)-carnitine transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(R)-mevalonic acid biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(R)-mevalonic acid metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-formyltetrahydrofolate biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-formyltetrahydrofolate catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-formyltetrahydrofolate metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7456895846062432	0	1.1231744453689887	0	0	0	0	0	0	0.789638583246544	0.78588116995035	0	0	0	0	0	0
