Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	up_aggregated_microarray_0.8	up_aggregated_microarray_DE	up_aggregated_microarray
aerobic respiration	0.019674520281758562	0.015877147319104633	0.019530284301606922	NA	0.01804511278195489	0.01804511278195489	NA	NA	NA
aflatoxin metabolic process	NA	NA	NA	0.0014485755673587638	NA	NA	NA	NA	NA
alcohol biosynthetic process	0.013359242166626184	0.014055179593961478	0.01334981458590853	NA	0.013963480128893663	0.013963480128893663	NA	NA	NA
alcohol catabolic process	NA	0.004164497657470068	NA	NA	NA	NA	NA	NA	NA
aldehyde biosynthetic process	NA	0.0028630921395106715	0.002472187886279357	NA	0.0025778732545649837	0.0025778732545649837	NA	NA	NA
aldosterone biosynthetic process	NA	NA	0.00173053152039555	NA	0.0017185821697099893	0.0017185821697099893	NA	NA	NA
aldosterone metabolic process	NA	NA	0.001977750309023486	NA	NA	NA	NA	NA	NA
alpha-amino acid biosynthetic process	NA	NA	NA	NA	0.006015037593984963	0.006015037593984963	NA	NA	NA
alpha-amino acid metabolic process	NA	0.01639770952628839	NA	NA	NA	NA	NA	NA	NA
alpha-beta T cell activation	0.018460043721156182	0.021343050494534097	0.0173053152039555	0.017382906808305166	0.016541353383458645	0.016541353383458645	NA	0.021965317919075144	NA
alpha-beta T cell activation involved in immune response	0.008501335924216662	0.00989068193649141	0.007911001236093944	0.008208594881699663	NA	NA	NA	0.009826589595375723	NA
alpha-beta T cell differentiation	0.013845032790867136	0.014315460697553357	0.013102595797280594	0.012554321583775953	0.010955961331901182	0.010955961331901182	NA	0.016184971098265895	NA
alpha-beta T cell differentiation involved in immune response	0.008501335924216662	0.00989068193649141	0.007911001236093944	0.008208594881699663	NA	NA	NA	0.009826589595375723	NA
alpha-beta T cell lineage commitment	NA	0.0039042165538781884	NA	0.00386286817962337	NA	NA	NA	NA	NA
alpha-beta T cell proliferation	NA	0.004945340968245705	NA	NA	NA	NA	NA	NA	NA
ameloblast differentiation	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
amide catabolic process	NA	NA	NA	NA	NA	NA	NA	0.004046242774566474	NA
amine transport	0.008501335924216662	0.00989068193649141	0.008405438813349814	NA	0.008378088077336197	0.008378088077336197	NA	NA	NA
amino acid catabolic process	NA	0.009370119729307652	NA	NA	NA	NA	NA	NA	NA
amino acid transport	NA	NA	0.013102595797280594	NA	NA	NA	NA	NA	NA
aminoglycan metabolic process	NA	0.010671525247267048	0.010630407911001236	NA	NA	NA	NA	NA	NA
AMP biosynthetic process	0.0019431624969638087	NA	NA	NA	NA	NA	NA	NA	NA
AMP metabolic process	0.0038863249939276173	NA	NA	NA	0.0030075187969924814	0.0030075187969924814	NA	NA	NA
amyloid fibril formation	NA	0.0052056220718375845	NA	0.006035731530661516	0.004296455424274973	0.004296455424274973	NA	NA	NA
amyloid precursor protein catabolic process	NA	NA	NA	0.006035731530661516	0.006229860365198711	0.006229860365198711	NA	NA	NA
amyloid precursor protein metabolic process	NA	NA	NA	0.007242877836793819	0.007089151450053705	0.007089151450053705	NA	NA	NA
amyloid-beta clearance	0.004857906242409522	NA	0.004944375772558714	0.004104297440849831	0.004511278195488722	0.004511278195488722	NA	NA	NA
amyloid-beta formation	NA	NA	NA	NA	0.004511278195488722	0.004511278195488722	NA	NA	NA
amyloid-beta metabolic process	NA	NA	0.005686032138442522	NA	0.0051557465091299675	0.0051557465091299675	NA	NA	NA
androgen metabolic process	0.0038863249939276173	0.0039042165538781884	NA	NA	NA	NA	NA	NA	NA
angiogenesis involved in wound healing	NA	0.003643935450286309	0.004449938195302843	NA	0.003866809881847476	0.003866809881847476	NA	0.006936416184971098	NA
angiotensin maturation	NA	NA	NA	NA	NA	NA	NA	0.003468208092485549	NA
angiotensin-activated signaling pathway	0.002428953121204761	NA	NA	0.002655721873491067	0.0025778732545649837	0.0025778732545649837	NA	NA	NA
animal organ formation	0.008744231236337139	0.008328995314940135	0.007663782447466007	0.009415741187831965	0.007089151450053705	0.007089151450053705	NA	0.010404624277456647	NA
animal organ maturation	0.004857906242409522	NA	NA	NA	NA	NA	NA	NA	NA
animal organ regeneration	0.00801554529997571	0.008849557522123894	NA	0.00772573635924674	0.006229860365198711	0.006229860365198711	NA	NA	NA
anoikis	0.004615010930289046	NA	0.004202719406674907	0.005070014485755674	NA	NA	NA	NA	NA
anterior/posterior axis specification	0.00558659217877095	NA	NA	NA	NA	NA	NA	NA	NA
anterograde dendritic transport	NA	NA	NA	0.0016900048285852245	NA	NA	NA	NA	NA
anterograde dendritic transport of neurotransmitter receptor complex	NA	NA	NA	0.0012071463061323032	0.0010741138560687433	0.0010741138560687433	NA	NA	NA
antibacterial humoral response	0.006558173427252854	0.00676730869338886	NA	NA	0.007733619763694952	0.007733619763694952	NA	0.008092485549132947	NA
antibody-dependent cellular cytotoxicity	NA	NA	NA	NA	0.0017185821697099893	0.0017185821697099893	NA	NA	NA
antigen processing and presentation	0.010930289045421423	0.012233211868818324	0.011866501854140914	NA	0.01117078410311493	0.01117078410311493	NA	NA	NA
antigen processing and presentation of endogenous antigen	0.003400534369686665	0.004164497657470068	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous antigen	0.006315278115132378	0.00676730869338886	NA	NA	0.006229860365198711	0.006229860365198711	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen	0.004615010930289046	0.005465903175429464	NA	NA	0.004940923737916219	0.004940923737916219	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class II	0.0036434296818071412	0.004164497657470068	NA	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
antigen processing and presentation of lipid antigen via MHC class Ib	0.0014573718727228565	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen	NA	0.0075481520041644976	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class I	NA	0.0039042165538781884	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class II	NA	0.004164497657470068	NA	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	NA	0.004424778761061947	NA	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
antigen processing and presentation via MHC class Ib	NA	NA	NA	NA	0.0027926960257787323	0.0027926960257787323	NA	NA	NA
antigen processing and presentation, endogenous lipid antigen via MHC class Ib	0.0012144765606023804	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation, exogenous lipid antigen via MHC class Ib	0.0014573718727228565	NA	NA	NA	NA	NA	NA	NA	NA
antimicrobial humoral immune response mediated by antimicrobial peptide	0.011658974981782852	0.014836022904737116	NA	0.012312892322549493	0.013533834586466165	0.013533834586466165	NA	NA	NA
antimicrobial humoral response	0.015302404663589992	0.018740239458615304	NA	0.01496861419604056	0.01804511278195489	0.01804511278195489	NA	NA	NA
aorta development	0.008258440612096187	NA	0.0069221260815822	0.006518590053114438	0.006229860365198711	0.006229860365198711	NA	NA	NA
aorta morphogenesis	0.004129220306048093	NA	0.003955500618046972	NA	NA	NA	NA	NA	NA
aortic valve development	0.006315278115132378	NA	0.00519159456118665	0.005552873008208595	0.004940923737916219	0.004940923737916219	NA	NA	NA
aortic valve morphogenesis	0.005343696866650474	NA	NA	0.004828585224529213	0.003866809881847476	0.003866809881847476	NA	NA	NA
apical junction assembly	0.0075297546757347586	NA	0.008158220024721878	0.00772573635924674	NA	NA	NA	NA	NA
apoptotic cell clearance	NA	NA	NA	NA	NA	NA	NA	0.006936416184971098	NA
apoptotic mitochondrial changes	NA	NA	0.009394313967861558	NA	NA	NA	0.035897435897435895	NA	NA
apoptotic process involved in development	NA	0.004685059864653826	NA	NA	0.004940923737916219	0.004940923737916219	NA	NA	NA
apoptotic process involved in morphogenesis	0.003400534369686665	0.0039042165538781884	NA	NA	0.00322234156820623	0.00322234156820623	NA	NA	NA
appendage development	0.015788195287830945	0.01665799062988027	0.01508034610630408	NA	NA	NA	NA	NA	NA
appendage morphogenesis	0.01360213747874666	0.014055179593961478	0.012855377008652658	NA	NA	NA	NA	NA	NA
arachidonate metabolic process	0.006072382803011902	NA	NA	0.006035731530661516	NA	NA	NA	NA	NA
artery development	0.013359242166626184	0.010931806350858927	0.011124845488257108	NA	0.01117078410311493	0.01117078410311493	0.03076923076923077	0.013294797687861272	NA
artery morphogenesis	0.008501335924216662	0.007287870900572618	0.008158220024721878	NA	0.007303974221267454	0.007303974221267454	0.02564102564102564	0.009248554913294798	NA
associative learning	0.009230021860578091	0.008328995314940135	0.009147095179233622	0.008450024142926123	0.008378088077336197	0.008378088077336197	NA	NA	NA
astrocyte activation	NA	NA	NA	0.0028971511347175277	NA	NA	NA	NA	NA
astrocyte development	0.0043721156181685695	0.004945340968245705	0.004449938195302843	0.005070014485755674	0.004296455424274973	0.004296455424274973	NA	NA	NA
astrocyte differentiation	0.0111731843575419	0.010671525247267048	0.009888751545117428	0.01110574601641719	0.00945220193340494	0.00945220193340494	NA	NA	NA
asymmetric cell division	NA	0.0028630921395106715	NA	NA	NA	NA	NA	NA	NA
ATP biosynthetic process	0.011901870293903327	NA	0.011866501854140914	NA	0.010741138560687433	0.010741138560687433	NA	NA	NA
ATP synthesis coupled electron transport	0.009958707796939519	NA	0.011124845488257108	NA	0.009237379162191191	0.009237379162191191	NA	NA	NA
atrial cardiac muscle tissue development	0.002914743745445713	NA	NA	NA	0.0027926960257787323	0.0027926960257787323	NA	NA	NA
atrial septum development	NA	NA	NA	NA	0.0027926960257787323	0.0027926960257787323	NA	NA	NA
atrioventricular canal development	NA	NA	0.00173053152039555	NA	NA	NA	NA	NA	NA
atrioventricular valve development	0.0036434296818071412	NA	0.0034610630407911	0.0036214389183969096	NA	NA	NA	NA	NA
atrioventricular valve morphogenesis	0.0036434296818071412	NA	NA	0.003380009657170449	NA	NA	NA	NA	NA
autonomic nervous system development	0.00558659217877095	0.004945340968245705	0.005686032138442522	NA	0.004511278195488722	0.004511278195488722	NA	NA	NA
autophagic cell death	NA	NA	NA	NA	NA	NA	NA	NA	0.020833333333333332
axial mesoderm development	NA	0.0015616866215512754	NA	NA	NA	NA	NA	NA	NA
axis elongation	0.003400534369686665	0.00338365434669443	0.0034610630407911	NA	NA	NA	NA	NA	NA
axis specification	NA	0.009630400832899531	NA	NA	0.008807733619763695	0.008807733619763695	NA	NA	NA
axo-dendritic transport	NA	NA	NA	NA	0.00816326530612245	0.00816326530612245	NA	NA	NA
axon ensheathment	0.017002671848433324	0.014575741801145237	0.0173053152039555	0.01521004345726702	0.01611170784103115	0.01611170784103115	NA	0.018497109826589597	NA
axon ensheathment in central nervous system	NA	NA	0.0034610630407911	NA	NA	NA	NA	NA	NA
axon extension	0.011416079669662375	NA	0.0103831891223733	0.01158860453887011	0.010311493018259935	0.010311493018259935	NA	NA	NA
axon extension involved in axon guidance	NA	NA	0.0034610630407911	NA	0.0027926960257787323	0.0027926960257787323	NA	NA	NA
axon regeneration	NA	0.006507027589796981	0.005438813349814586	0.006035731530661516	0.0053705692803437165	0.0053705692803437165	NA	NA	NA
axonal transport	NA	NA	NA	NA	0.006659505907626208	0.006659505907626208	NA	NA	NA
B cell activation involved in immune response	0.009230021860578091	NA	0.009641532756489494	0.010864316755190728	NA	NA	NA	0.011560693641618497	NA
B cell differentiation	0.01238766091814428	0.015356585111920874	0.015822002472187888	0.012071463061323033	0.012244897959183673	0.012244897959183673	NA	0.017341040462427744	NA
B cell mediated immunity	0.0162739859120719	0.01691827173347215	0.01508034610630408	0.016417189763399325	NA	NA	NA	0.017919075144508672	NA
B cell proliferation	0.010687393733300948	NA	0.009641532756489494	0.009174311926605505	NA	NA	NA	0.013294797687861272	NA
B cell receptor signaling pathway	0.008258440612096187	0.008589276418532014	0.00865265760197775	0.00748430709802028	NA	NA	NA	NA	NA
base-excision repair	NA	0.0052056220718375845	0.004697156983930779	NA	NA	NA	0.02564102564102564	NA	0.041666666666666664
base-excision repair, gap-filling	NA	0.002082248828735034	NA	NA	NA	NA	NA	NA	NA
basolateral protein secretion	0.0012144765606023804	NA	NA	NA	NA	NA	NA	NA	NA
behavioral defense response	NA	0.005986465382613222	0.004697156983930779	NA	NA	NA	NA	NA	NA
behavioral fear response	0.0043721156181685695	0.005726184279021343	0.004697156983930779	0.0043457267020762915	NA	NA	NA	NA	NA
behavioral response to cocaine	NA	0.0026028110359187923	NA	NA	NA	NA	NA	NA	NA
behavioral response to nicotine	NA	0.0015616866215512754	NA	NA	NA	NA	NA	NA	NA
behavioral response to pain	0.002671848433325237	NA	NA	NA	NA	NA	NA	NA	NA
Bergmann glial cell differentiation	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
bicellular tight junction assembly	0.006315278115132378	NA	0.006427688504326329	NA	NA	NA	NA	NA	NA
bile acid biosynthetic process	NA	0.004164497657470068	NA	NA	NA	NA	NA	NA	NA
binding of sperm to zona pellucida	NA	0.0039042165538781884	NA	NA	NA	NA	NA	NA	NA
biological process involved in interaction with host	0.017488462472674278	0.017959396147839667	0.016810877626699628	0.01883148237566393	NA	NA	NA	NA	NA
biological process involved in interaction with symbiont	NA	0.010671525247267048	NA	NA	0.010741138560687433	0.010741138560687433	0.03076923076923077	NA	NA
biological process involved in intraspecies interaction between organisms	0.005343696866650474	NA	0.005438813349814586	NA	NA	NA	NA	NA	NA
biomineral tissue development	0.018460043721156182	0.015616866215512754	0.015327564894932014	0.016417189763399325	0.014822771213748658	0.014822771213748658	NA	NA	NA
blastocyst development	0.009715812484819043	NA	NA	NA	NA	NA	NA	NA	NA
blastocyst formation	NA	NA	NA	0.0045871559633027525	NA	NA	NA	NA	NA
bleb assembly	NA	0.0018219677251431546	NA	NA	NA	NA	NA	NA	NA
blood coagulation, fibrin clot formation	0.0021860578090842847	0.0026028110359187923	0.0022249690976514215	NA	0.0021482277121374865	0.0021482277121374865	NA	NA	NA
blood coagulation, intrinsic pathway	NA	0.0015616866215512754	NA	0.0014485755673587638	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
blood vessel diameter maintenance	0.01603109059995142	0.014575741801145237	0.018294190358467244	0.017141477547078707	0.016970998925886143	0.016970998925886143	NA	0.016184971098265895	NA
blood vessel endothelial cell migration	0.01238766091814428	0.012233211868818324	0.014091470951792336	0.012312892322549493	0.011600429645542427	0.011600429645542427	0.03076923076923077	0.017919075144508672	NA
blood vessel remodeling	0.005100801554529998	0.005465903175429464	0.004944375772558714	0.005070014485755674	NA	NA	NA	NA	NA
BMP signaling pathway	0.012630556230264756	0.013014055179593961	0.014091470951792336	0.013520038628681796	0.012244897959183673	0.012244897959183673	NA	NA	NA
body fluid secretion	0.008501335924216662	0.00989068193649141	0.00865265760197775	NA	0.009237379162191191	0.009237379162191191	NA	NA	NA
bone growth	NA	0.003643935450286309	0.003708281829419036	NA	0.0034371643394199786	0.0034371643394199786	NA	NA	NA
bone maturation	0.0038863249939276173	NA	NA	NA	NA	NA	NA	NA	NA
bone mineralization	0.012873451542385232	0.011452368558042686	0.010630407911001236	0.010864316755190728	0.010526315789473684	0.010526315789473684	NA	NA	NA
bone morphogenesis	NA	0.009630400832899531	0.009888751545117428	NA	0.008592910848549946	0.008592910848549946	NA	NA	NA
bone remodeling	0.008501335924216662	NA	NA	NA	0.0079484425349087	0.0079484425349087	NA	0.011560693641618497	NA
bone resorption	0.0072868593636142825	NA	NA	NA	NA	NA	NA	NA	NA
bone trabecula formation	NA	NA	0.00173053152039555	NA	NA	NA	NA	NA	NA
bone trabecula morphogenesis	0.0021860578090842847	NA	0.0022249690976514215	NA	NA	NA	NA	NA	NA
brain morphogenesis	0.0043721156181685695	NA	NA	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
brain-derived neurotrophic factor receptor signaling pathway	NA	NA	NA	0.0014485755673587638	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
branch elongation of an epithelium	0.002671848433325237	NA	NA	NA	NA	NA	NA	NA	NA
branched-chain amino acid catabolic process	NA	NA	0.0032138442521631645	NA	NA	NA	NA	NA	NA
branched-chain amino acid metabolic process	NA	NA	0.003708281829419036	NA	NA	NA	NA	NA	NA
branching involved in blood vessel morphogenesis	NA	NA	NA	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
branching involved in labyrinthine layer morphogenesis	NA	NA	0.001977750309023486	NA	NA	NA	NA	NA	NA
branching involved in mammary gland duct morphogenesis	0.002914743745445713	NA	NA	NA	NA	NA	NA	NA	NA
branching involved in prostate gland morphogenesis	0.0021860578090842847	0.002082248828735034	NA	NA	NA	NA	NA	NA	NA
branching involved in salivary gland morphogenesis	NA	NA	NA	0.002655721873491067	0.0025778732545649837	0.0025778732545649837	NA	0.004046242774566474	NA
branching involved in ureteric bud morphogenesis	0.006558173427252854	0.005986465382613222	0.006180469715698393	NA	NA	NA	NA	NA	NA
branching morphogenesis of an epithelial tube	0.017002671848433324	0.015356585111920874	0.015822002472187888	0.0147271849348141	0.01439312567132116	0.01439312567132116	NA	0.01907514450867052	NA
bronchus development	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
C21-steroid hormone biosynthetic process	NA	NA	0.0032138442521631645	NA	0.0027926960257787323	0.0027926960257787323	NA	NA	NA
C21-steroid hormone metabolic process	0.004129220306048093	0.004945340968245705	0.004697156983930779	0.0043457267020762915	0.004511278195488722	0.004511278195488722	NA	NA	NA
calcineurin-mediated signaling	0.00558659217877095	NA	NA	NA	0.0051557465091299675	0.0051557465091299675	NA	0.007514450867052023	NA
calcineurin-NFAT signaling cascade	0.005343696866650474	NA	NA	0.0045871559633027525	0.004940923737916219	0.004940923737916219	NA	0.006358381502890174	NA
calcitonin family receptor signaling pathway	NA	0.0018219677251431546	NA	NA	NA	NA	NA	NA	NA
calcitonin gene-related peptide receptor signaling pathway	NA	0.0013014055179593961	NA	NA	NA	NA	NA	NA	NA
calcium ion import	NA	NA	0.009147095179233622	0.0079671656204732	NA	NA	NA	NA	NA
calcium ion import across plasma membrane	NA	NA	0.004697156983930779	NA	NA	NA	NA	NA	NA
calcium ion import into cytosol	NA	NA	0.004697156983930779	NA	NA	NA	NA	NA	NA
calcium ion transmembrane import into cytosol	0.017245567160553803	0.018740239458615304	0.015822002472187888	0.01859005311443747	0.016970998925886143	0.016970998925886143	NA	0.02138728323699422	NA
calcium ion transport into cytosol	NA	0.004164497657470068	NA	NA	NA	NA	NA	NA	NA
calcium ion-regulated exocytosis of neurotransmitter	0.002428953121204761	NA	NA	NA	NA	NA	NA	NA	NA
calcium-dependent activation of synaptic vesicle fusion	0.0019431624969638087	NA	NA	NA	NA	NA	NA	NA	NA
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	0.002671848433325237	NA	0.0029666254635352285	0.0028971511347175277	NA	NA	NA	NA	NA
calcium-ion regulated exocytosis	0.006072382803011902	NA	NA	NA	NA	NA	NA	NA	NA
camera-type eye morphogenesis	NA	0.012753774076002082	0.01161928306551298	NA	NA	NA	NA	0.01560693641618497	NA
camera-type eye photoreceptor cell differentiation	NA	NA	0.003708281829419036	NA	NA	NA	NA	NA	NA
cAMP biosynthetic process	NA	NA	NA	NA	0.0015037593984962407	0.0015037593984962407	NA	NA	NA
cAMP metabolic process	NA	0.0031233732431025507	NA	0.0028971511347175277	NA	NA	NA	NA	NA
cAMP-mediated signaling	0.005829487490891426	0.005726184279021343	0.006427688504326329	0.006277160791887977	NA	NA	NA	NA	NA
cAMP/PKA signal transduction	NA	0.0028630921395106715	NA	NA	NA	NA	NA	NA	NA
canonical glycolysis	NA	0.0026028110359187923	NA	NA	NA	NA	NA	NA	NA
carbohydrate biosynthetic process	0.018460043721156182	0.0200416449765747	0.020024721878862794	0.017865765330758086	0.01740064446831364	0.01740064446831364	NA	NA	NA
carbohydrate catabolic process	NA	0.018219677251431546	0.01557478368355995	0.01545147271849348	0.016756176154672394	0.016756176154672394	0.05641025641025641	NA	NA
carbohydrate transmembrane transport	0.010930289045421423	NA	NA	0.010864316755190728	NA	NA	NA	NA	NA
cardiac atrium development	NA	0.004164497657470068	0.003955500618046972	NA	0.004296455424274973	0.004296455424274973	NA	NA	NA
cardiac atrium morphogenesis	NA	0.00338365434669443	NA	NA	NA	NA	NA	NA	NA
cardiac cell development	0.010201603109059995	NA	0.0103831891223733	0.010140028971511348	0.008592910848549946	0.008592910848549946	NA	0.010982658959537572	NA
cardiac chamber development	0.017002671848433324	0.017959396147839667	0.018294190358467244	0.017624336069531628	0.016541353383458645	0.016541353383458645	NA	0.02138728323699422	NA
cardiac chamber morphogenesis	0.013116346854505708	0.015356585111920874	0.014338689740420272	0.014002897151134718	0.012459720730397422	0.012459720730397422	0.035897435897435895	0.016184971098265895	NA
cardiac conduction	0.01044449842118047	NA	0.008899876390605686	0.009898599710284886	0.00816326530612245	0.00816326530612245	NA	NA	NA
cardiac conduction system development	0.004129220306048093	NA	0.003955500618046972	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
cardiac epithelial to mesenchymal transition	0.0038863249939276173	NA	0.003708281829419036	0.00386286817962337	NA	NA	NA	NA	NA
cardiac left ventricle morphogenesis	0.0021860578090842847	NA	0.002472187886279357	NA	NA	NA	NA	NA	NA
cardiac muscle adaptation	NA	NA	0.0032138442521631645	NA	NA	NA	NA	NA	NA
cardiac muscle cell action potential	0.009715812484819043	0.008589276418532014	NA	0.009657170449058426	0.007733619763694952	0.007733619763694952	NA	NA	NA
cardiac muscle cell action potential involved in contraction	0.0075297546757347586	0.006246746486205101	NA	0.007242877836793819	0.005800214822771214	0.005800214822771214	NA	NA	NA
cardiac muscle cell apoptotic process	NA	0.004424778761061947	0.004449938195302843	NA	NA	NA	NA	NA	NA
