Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	up_aggregated_microarray_0.8	up_aggregated_microarray_DE	up_aggregated_microarray
'de novo' IMP biosynthetic process	0.0012144765606023804	NA	NA	NA	NA	NA	NA	NA	NA
'de novo' post-translational protein folding	NA	0.004945340968245705	NA	0.005070014485755674	NA	NA	NA	NA	NA
'de novo' protein folding	NA	0.005726184279021343	NA	0.006035731530661516	NA	NA	NA	NA	NA
'de novo' XMP biosynthetic process	0.0014573718727228565	NA	NA	NA	NA	NA	NA	NA	NA
3'-UTR-mediated mRNA stabilization	NA	NA	NA	NA	NA	NA	0.015384615384615385	NA	NA
5S class rRNA transcription by RNA polymerase III	NA	0.0013014055179593961	NA	NA	NA	NA	NA	NA	NA
7-methylguanosine cap hypermethylation	NA	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
acetate ester transport	0.0014573718727228565	0.0015616866215512754	NA	NA	NA	NA	NA	NA	NA
acetyl-CoA metabolic process	NA	0.0039042165538781884	NA	NA	NA	NA	NA	NA	NA
acetylcholine receptor signaling pathway	NA	0.004945340968245705	0.00519159456118665	0.005311443746982134	NA	NA	NA	NA	NA
acid secretion	NA	NA	NA	0.004828585224529213	NA	NA	NA	NA	NA
acidic amino acid transport	NA	NA	0.007169344870210136	NA	NA	NA	NA	NA	NA
acrosomal vesicle exocytosis	NA	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
actin filament bundle assembly	0.015788195287830945	NA	0.01508034610630408	NA	0.013748657357679914	0.013748657357679914	NA	NA	NA
actin filament bundle organization	0.015788195287830945	NA	0.01508034610630408	NA	0.013748657357679914	0.013748657357679914	NA	NA	NA
actin filament-based movement	0.01603109059995142	0.01353461738677772	0.01161928306551298	0.016175760502172863	0.012244897959183673	0.012244897959183673	NA	NA	NA
actin polymerization or depolymerization	NA	NA	0.01557478368355995	NA	NA	NA	NA	NA	NA
actin-mediated cell contraction	0.01360213747874666	0.010411244143675169	NA	0.012554321583775953	0.010311493018259935	0.010311493018259935	NA	NA	NA
action potential	0.017245567160553803	0.015877147319104633	0.017058096415327566	0.01859005311443747	0.01933404940923738	0.01933404940923738	NA	0.01676300578034682	NA
action potential propagation	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
activation of adenylate cyclase activity	NA	NA	NA	NA	0.0025778732545649837	0.0025778732545649837	NA	NA	NA
activation of cysteine-type endopeptidase activity involved in apoptotic process	NA	0.006507027589796981	NA	0.006277160791887977	0.007518796992481203	0.007518796992481203	NA	0.008670520231213872	NA
activation of NF-kappaB-inducing kinase activity	NA	NA	0.001977750309023486	NA	NA	NA	NA	NA	NA
activation of protein kinase activity	NA	NA	0.008158220024721878	0.006277160791887977	0.007089151450053705	0.007089151450053705	NA	NA	NA
activation of protein kinase B activity	NA	NA	0.002719406674907293	0.0024142926122646064	0.002363050483351235	0.002363050483351235	NA	NA	NA
activin receptor signaling pathway	0.005343696866650474	NA	NA	NA	NA	NA	NA	NA	NA
actomyosin structure organization	NA	NA	NA	NA	NA	NA	NA	0.023121387283236993	NA
acute inflammatory response	0.011658974981782852	0.013014055179593961	0.0103831891223733	0.01134717527764365	0.010526315789473684	0.010526315789473684	NA	0.01560693641618497	NA
acute inflammatory response to antigenic stimulus	NA	NA	NA	NA	NA	NA	NA	0.004624277456647399	NA
acute-phase response	0.005829487490891426	0.006246746486205101	0.005438813349814586	0.005311443746982134	0.004940923737916219	0.004940923737916219	NA	0.006936416184971098	NA
acylglycerol metabolic process	0.010687393733300948	0.010931806350858927	NA	NA	NA	NA	NA	NA	NA
adaptation of signaling pathway	NA	0.0039042165538781884	NA	NA	NA	NA	NA	NA	NA
adaptive immune memory response	0.0014573718727228565	NA	NA	NA	NA	NA	NA	NA	NA
adaptive thermogenesis	NA	0.016137428422696512	0.01557478368355995	NA	0.015682062298603652	0.015682062298603652	NA	NA	0.0625
adenohypophysis development	NA	NA	0.002472187886279357	NA	NA	NA	NA	NA	NA
adenylate cyclase-activating G protein-coupled receptor signaling pathway	0.015059509351469517	0.019260801665799063	0.016316440049443756	0.0159343312409464	0.016970998925886143	0.016970998925886143	NA	NA	NA
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway	NA	0.0015616866215512754	0.00173053152039555	NA	NA	NA	NA	NA	NA
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	NA	0.01015096304008329	0.0103831891223733	0.008450024142926123	0.010096670247046188	0.010096670247046188	NA	0.009826589595375723	NA
adenylate cyclase-inhibiting serotonin receptor signaling pathway	NA	0.0015616866215512754	NA	NA	0.0015037593984962407	0.0015037593984962407	NA	NA	NA
adherens junction organization	0.006558173427252854	NA	0.005933250927070457	NA	0.005585392051557465	0.005585392051557465	NA	NA	NA
ADP catabolic process	NA	0.010411244143675169	0.009394313967861558	NA	0.009237379162191191	0.009237379162191191	NA	NA	NA
ADP metabolic process	NA	0.010671525247267048	0.009641532756489494	NA	0.010096670247046188	0.010096670247046188	NA	NA	NA
adrenal gland development	0.003157639057566189	NA	NA	NA	NA	NA	NA	NA	NA
adult behavior	0.01238766091814428	0.01353461738677772	0.014091470951792336	0.01521004345726702	0.01439312567132116	0.01439312567132116	NA	NA	NA
adult locomotory behavior	NA	NA	NA	0.009657170449058426	0.008592910848549946	0.008592910848549946	NA	NA	NA
aerobic electron transport chain	0.009472917172698566	NA	0.010877626699629172	NA	0.009022556390977444	0.009022556390977444	NA	NA	NA
