drug_target1	drug_name	drug_gene	moa	enriched_pathway	drug_target2	tg_int_weight	disease_target1	disease_target2	drug_gene1	drug_gene2
ACKR1	chloroquine	COG2	Antimalarial	cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	COG2	Antimalarial	negative regulation of cytokine production involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	TGFBR2	Antimalarial	regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	SLC37A4	Antimalarial	negative regulation of cytokine production involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	SLC37A4	Antimalarial	cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	TGFBR2	Antimalarial	negative regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	SLC37A4	Antimalarial	negative regulation of cytokine secretion	NA	NA	0	0	0	0
ACKR1	chloroquine	COG2	Antimalarial	negative regulation of cytokine secretion	NA	NA	0	0	0	0
ACKR1	chloroquine	TGFBR2	Antimalarial	negative regulation of cytokine production involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	TGFBR2	Antimalarial	cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	TGFBR2	Antimalarial	negative regulation of cytokine secretion	NA	NA	0	0	0	0
ACKR1	chloroquine	COG2	Antimalarial	regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	COG2	Antimalarial	negative regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	ATP6V1D	Antimalarial	negative regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	ATP6V1D	Antimalarial	cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	ATP6V1D	Antimalarial	negative regulation of cytokine production involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	ATP6V1D	Antimalarial	negative regulation of cytokine secretion	NA	NA	0	0	0	0
ACKR1	chloroquine	SLC37A4	Antimalarial	negative regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	ATP6V1D	Antimalarial	regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACKR1	chloroquine	SLC37A4	Antimalarial	regulation of cytokine secretion involved in immune response	NA	NA	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Corticosteroid agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor modulator	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Corticosteroid agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Corticosteroid agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor modulator	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Cytochrome P450 inhibitor	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Corticosteroid agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Corticosteroid agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor modulator	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor modulator	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Corticosteroid agonist	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor modulator	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Corticosteroid agonist	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Corticosteroid agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Corticosteroid agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Corticosteroid agonist	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Cytochrome P450 inhibitor	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Cytochrome P450 inhibitor	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor modulator	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Glucocorticoid receptor agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Cytochrome P450 inhibitor	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Corticosteroid agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Cytochrome P450 inhibitor	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor modulator	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Cytochrome P450 inhibitor	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Cytochrome P450 inhibitor	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Glucocorticoid receptor modulator	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor modulator	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Cytochrome P450 inhibitor	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Cytochrome P450 inhibitor	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Glucocorticoid receptor agonist	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Cytochrome P450 inhibitor	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor modulator	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Glucocorticoid receptor agonist	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Glucocorticoid receptor agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Corticosteroid agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor agonist	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Cytochrome P450 inhibitor	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor modulator	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Glucocorticoid receptor modulator	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Glucocorticoid receptor modulator	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Glucocorticoid receptor agonist	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor modulator	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Corticosteroid agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IGFBP3	Cytochrome P450 inhibitor	cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	IER3	Corticosteroid agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	TSC22D3	Corticosteroid agonist	regulation of cytokine production involved in inflammatory response	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Glucocorticoid receptor agonist	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Cytochrome P450 inhibitor	regulation of cytokinesis	UBC	0.993	0	0	0	0
ACTC1	dexamethasone	MUC1	Cytochrome P450 inhibitor	negative regulation of cytokine secretion	UBC	0.993	0	0	0	0
