drug_target1	drug_name	drug_gene	moa	enriched_pathway	drug_target2	tg_int_weight	disease_target1	disease_target2	drug_gene1	drug_gene2
ACTR2	etoposide	BIRC5	Topoisomerase inhibitor	cholesterol efflux	UBC	0.995	0	0	0	0
ACTR2	etoposide	CDC20	Topoisomerase inhibitor	cholesterol efflux	UBC	0.995	0	0	0	0
ACTR2	etoposide	PLK1	Topoisomerase inhibitor	cholesterol efflux	UBC	0.995	0	0	0	0
ACTR2	etoposide	SESN1	Topoisomerase inhibitor	cholesterol efflux	UBC	0.995	0	0	0	0
ACTR2	etoposide	CDKN1A	Topoisomerase inhibitor	cholesterol efflux	UBC	0.995	0	0	0	0
ACTR2	etoposide	GADD45A	Topoisomerase inhibitor	cholesterol efflux	UBC	0.995	0	0	0	0
ADRA2A	dopamine	USP6NL	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	SUV39H1	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	SUV39H1	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	USP6NL	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	RBM34	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	RBM34	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	MAP7	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	MAP7	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	STUB1	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	HMOX1	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	HMOX1	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	STUB1	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
AGTR1	valsartan	DNAJA3	Angiotensin receptor antagonist	regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	GNAS	Angiotensin receptor antagonist	regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	FAS	Angiotensin receptor antagonist	cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	CASP2	Angiotensin receptor antagonist	regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	NVL	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	CASP2	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	NVL	Angiotensin receptor antagonist	cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	GNAS	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	GNAS	Angiotensin receptor antagonist	cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	FAS	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	FAS	Angiotensin receptor antagonist	regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	TCFL5	Angiotensin receptor antagonist	cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	TCFL5	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	DNAJA3	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	DNAJA3	Angiotensin receptor antagonist	cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	CASP2	Angiotensin receptor antagonist	cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	TCFL5	Angiotensin receptor antagonist	regulation of cholesterol esterification	NA	NA	0	0	0	0
AGTR1	valsartan	NVL	Angiotensin receptor antagonist	regulation of cholesterol esterification	NA	NA	0	0	0	0
APOB	quercetin	TXNRD1	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	TXNRD1	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	irbesartan	COPS7A	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	irbesartan	S100A13	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	TXNRD1	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	irbesartan	TIMELESS	Angiotensin receptor antagonist	regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	TXNRD1	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	irbesartan	S100A13	Angiotensin receptor antagonist	cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	S100A13	Angiotensin receptor antagonist	regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	irbesartan	SCP2	Angiotensin receptor antagonist	regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	MPC2	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	TXNRD1	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	irbesartan	SCP2	Angiotensin receptor antagonist	cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	TRIB3	Angiotensin receptor antagonist	regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	COPS7A	Angiotensin receptor antagonist	regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MPC2	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	irbesartan	TRIB3	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	irbesartan	CDKN1A	Angiotensin receptor antagonist	cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	MPC2	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	irbesartan	CDKN1A	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	TRIB3	Angiotensin receptor antagonist	cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	MPC2	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MPC2	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	irbesartan	CDKN1A	Angiotensin receptor antagonist	regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	irbesartan	COPS7A	Angiotensin receptor antagonist	cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	TIMELESS	Angiotensin receptor antagonist	cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	TIMELESS	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	irbesartan	SCP2	Angiotensin receptor antagonist	positive regulation of cholesterol esterification	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
CAMK2A	curcumin	LIG1	Cyclooxygenase inhibitor	regulation of cholesterol storage	NA	NA	0	0	0	0
CAMK2A	curcumin	LIG1	Cyclooxygenase inhibitor	cholesterol storage	NA	NA	0	0	0	0
CAMK2A	curcumin	LIG1	Cyclooxygenase inhibitor	regulation of cholesterol transporter activity	NA	NA	0	0	0	0
CAMK2A	curcumin	LIG1	Cyclooxygenase inhibitor	regulation of cholesterol transport	NA	NA	0	0	0	0
CAMK2A	curcumin	CDC45	Cyclooxygenase inhibitor	regulation of cholesterol storage	NA	NA	0	0	0	0
CAMK2A	curcumin	CDC45	Cyclooxygenase inhibitor	cholesterol storage	NA	NA	0	0	0	0
CAMK2A	curcumin	CDC45	Cyclooxygenase inhibitor	regulation of cholesterol transporter activity	NA	NA	0	0	0	0
CAMK2A	curcumin	CDC45	Cyclooxygenase inhibitor	regulation of cholesterol transport	NA	NA	0	0	0	0
CAMK2A	curcumin	AKR7A2	Cyclooxygenase inhibitor	regulation of cholesterol storage	NA	NA	0	0	0	0
CAMK2A	curcumin	AKR7A2	Cyclooxygenase inhibitor	cholesterol storage	NA	NA	0	0	0	0
CAMK2A	curcumin	AKR7A2	Cyclooxygenase inhibitor	regulation of cholesterol transporter activity	NA	NA	0	0	0	0
CAMK2A	curcumin	AKR7A2	Cyclooxygenase inhibitor	regulation of cholesterol transport	NA	NA	0	0	0	0
CAMK2A	curcumin	ABHD4	Cyclooxygenase inhibitor	regulation of cholesterol storage	NA	NA	0	0	0	0
