GeneID	Symbol	Ensembl	log2FoldChange	AveExpr	t	P.Value	adj.P.Val	infected	control
4925	NUCB2	ENSG00000070081	28.780816794060993	19.04864903307129	33.58121773481649	3.206063245562079e-96	4.48125682218038e-94	33.383496007719415	4.602679213658424
902	CCNH	ENSG00000134480	15.489069858770325	21.90733540869557	26.73260634450265	2.3773799088003537e-76	8.370358428901246e-75	29.621968658816687	14.132898800046362
2064	ERBB2	ENSG00000141736	12.173044112407787	25.35630201554507	11.740831974444527	8.594263934803888e-26	4.0243669155668587e-25	31.41932398658989	19.246279874182104
11007	CCDC85B	ENSG00000175602	11.840901942556407	6.972770909519104	5.704031739868975	3.194725837446793e-8	7.986814593616983e-8	12.870362996738324	1.0294610541819178
8996	NOL3	ENSG00000140939	10.69039319641664	10.247734589110317	21.970072970482352	4.755262950121286e-61	8.253999835924808e-60	15.572293362615133	4.881900166198494
3122	HLA-DRA	ENSG00000204287	10.48995303134383	8.089472604540045	36.626488375844914	2.8373305468879406e-104	9.094133597697727e-102	13.314198245634076	2.824245214290245
874	CBR3	ENSG00000159231	9.77277995327492	8.375209144736436	22.818619249783136	7.347177826125884e-64	1.4407598711780612e-62	13.242732750807725	3.4699527975328053
7416	VDAC1	ENSG00000213585	9.007281556352034	9.72941382116866	29.666443507717847	3.592767564913864e-85	2.1898212797294665e-83	14.215666024911574	5.208384468559541
10494	STK25	ENSG00000115694	8.873571227497754	20.3685815757093	18.65637022439525	8.925050481912632e-50	9.811749761014537e-49	24.788236743073046	15.914665515575292
11325	DDX42	ENSG00000198231	8.210413104207598	6.273908247387728	17.3089060656667	4.33540720250264e-45	4.01170830734316e-44	10.363264581143639	2.1528514769360414
5289	PIK3C3	ENSG00000078142	8.110108027104538	9.346487756303603	16.85213893394388	1.712052847233183e-43	1.4949301282322625e-42	13.385885190652973	5.275777163548436
836	CASP3	ENSG00000164305	7.812216755499145	8.629907004876856	12.686660413418133	5.418369887188751e-29	2.841396225750039e-28	12.520933883098436	4.708717127599291
8726	EED	ENSG00000074266	7.454453648504938	24.32765187494127	11.00554977569581	2.3551044766255575e-23	1.023886628168127e-22	28.04048786203447	20.586034213529533
4616	GADD45B	ENSG00000099860	7.086076599917181	5.563190591796987	28.029979729973785	2.615737612029581e-80	1.1745546426963746e-78	9.092549207199756	2.0064726072825754
5909	RAP1GAP	ENSG00000076864	6.318038431137648	12.09289481720607	15.208380482552343	9.765049884711998e-38	6.8015090804344714e-37	15.239717047386607	8.92167861624896
1831	TSC22D3	ENSG00000157514	5.523619490470214	5.987338621320429	25.63166555271022	6.414095031435651e-73	1.9325450021781e-71	8.738485008465823	3.214865517995609
5792	PTPRF	ENSG00000142949	5.432823409728872	12.1935181995514	10.514483157107014	9.327452010806891e-22	3.833679701103253e-21	14.89944182833529	9.466618418606418
2597	GAPDH	ENSG00000111640	4.145069739665997	5.073446746077459	23.77614780991686	5.4520216665679195e-67	1.2451238670945654e-65	7.137979550775966	2.992909811109968
4312	MMP1	ENSG00000196611	4.139534151524847	3.3061953694483743	33.12688338145676	5.5874754305125905e-95	6.744881055404484e-93	5.367971066539901	1.2284369150150543
1452	CSNK1A1	ENSG00000113712	4.0969938644265795	17.588387620769502	13.536197672859217	6.507128604340792e-32	3.7520943162126344e-31	19.628975298418265	15.531981433991685
10051	SMC4	ENSG00000113810	3.945352064978917	3.854969522915612	26.23166346933584	8.494122767554517e-75	2.7947918982095302e-73	5.820029045627116	1.8746769806481993
7994	KAT6A	ENSG00000083168	3.8841372691646083	2.324616770823546	9.483383297299424	1.6897602637335075e-18	6.198232695896982e-18	4.259187070909395	0.37504980174478614
5355	PLP2	ENSG00000102007	3.4494404657574806	6.326812752256165	14.59910446335467	1.3159066252998157e-35	8.574379307509139e-35	8.044873833656615	4.595433367899134
3628	INPP1	ENSG00000151689	3.373599353436969	12.17645631844336	11.573811913922404	3.1064938787023403e-25	1.4259190421006545e-24	13.856743255097282	10.483143901660313
3964	LGALS8	ENSG00000116977	2.9968859787891065	1.6551956597743867	29.52783632227736	9.153954012459922e-85	5.4022858759247605e-83	3.1478531550013926	0.15096717621228625
5708	PSMD2	ENSG00000175166	2.7280021084336314	3.7485586214700874	32.50370256766092	2.9310758857061448e-93	3.224183474276759e-91	5.10729326235016	2.3792911539165282
1111	CHEK1	ENSG00000149554	2.700310079436006	6.950464948850421	23.134676783383032	6.730361695733272e-65	1.3779451973973736e-63	8.295407034747118	5.595096955311112
332	BIRC5	ENSG00000089685	2.6880344180124958	10.203687303510018	17.162710300061388	1.405049487172874e-44	1.2753842757101428e-43	11.542515256883043	8.854480838870547
5018	OXA1L	ENSG00000155463	2.598359759074673	4.904481920237679	22.48905462324621	8.990676260897913e-63	1.6882492089908305e-61	6.198645661243985	3.6002859021693117
9697	TRAM2	ENSG00000065308	2.4845192836669554	40.11974434496554	2.3707230538754116	0.01848783656313635	0.032045583376103005	41.35720761752553	38.87268833385858
11044	TENT4A	ENSG00000112941	2.23421426683667	12.755440397746733	3.880856968387451	1.3220067225589645e-4	2.759499772330019e-4	13.86823437620978	11.634020109373111
5921	RASA1	ENSG00000145715	2.024091122850331	9.383350409400922	5.516038983477508	8.411582944427439e-8	2.0670367076920832e-7	10.391488459005918	8.367397336155587
7082	TJP1	ENSG00000104067	2.0014060261049664	9.660783680960131	11.881196030529047	2.906844828326787e-26	1.3824058674493469e-25	10.6576229758155	8.656216949710533
226	ALDOA	ENSG00000149925	1.8411342901410404	1.1575604632221417	29.90215748643568	7.363263809693497e-86	4.75288452160424e-84	2.0745732949912314	0.23343900485019103
10270	AKAP8	ENSG00000105127	1.8352303491970539	1.424304165055916	44.92544008416425	4.4890172985799635e-124	1.3908471930100254e-120	2.338376423922403	0.5031460747253493
7158	TP53BP1	ENSG00000067369	1.8178749115829054	1.7997201466094996	21.378279136024847	4.5457905971291595e-59	7.185905374203322e-58	2.7051481913747306	0.8872732797918254
128	ADH5	ENSG00000197894	1.8150212579458191	3.729853664992829	16.68670105338354	6.492153756821094e-43	5.526059447770337e-42	4.633860391923369	2.8188391339775496
9143	SYNGR3	ENSG00000127561	1.781634003228949	1.6089250484269335	19.69930481289275	2.278225945471918e-53	2.9028252451215184e-52	2.4963026021587273	0.7146685989297782
5106	PCK2	ENSG00000100889	1.7558782256608298	2.407047829032151	19.899736438557877	4.691594286291724e-54	6.137701462502684e-53	3.2815972155582003	1.5257189898973704
3480	IGF1R	ENSG00000140443	1.6388791483910863	1.7219106240894433	16.37837108243075	7.796214984536035e-42	6.339966603784992e-41	2.538186338925156	0.8993071905340698
8204	NRIP1	ENSG00000180530	1.6361532204781462	4.2960921540012045	7.828090508346656	1.2790289709236215e-13	3.9510050796726693e-13	5.111010167289546	3.4748569468114
4582	MUC1	ENSG00000185499	1.4854004872911193	3.083006577808362	25.740747444489372	2.91245098526293e-73	8.875813740334076e-72	3.822839252945637	2.3374387656545177
4154	MBNL1	ENSG00000152601	1.4321465590483247	2.6448436870608414	32.98384398742325	1.380994584921947e-94	1.6248537552974047e-92	3.3581522048880004	1.9260056458396757
4792	NFKBIA	ENSG00000100906	1.429125398826705	5.6402562023154355	13.491078551782746	9.318595347348854e-32	5.34668788602516e-31	6.352059972387421	4.922934573560716
10682	EBP	ENSG00000147155	1.3660264823317831	9.397285590142696	6.747951521337241	9.813185826853707e-11	2.7240126104406513e-10	10.077661714547329	8.711635232215546
3108	HLA-DMA	ENSG00000204257	1.2474062729231001	2.1542749680200304	19.867291286730783	6.057769929411798e-54	7.90273284124669e-53	2.7755699842635817	1.5281637113404816
670	BPHL	ENSG00000137274	1.1793183219298244	3.0919699423934146	21.590845568778647	8.798892319699352e-60	1.4373585959860365e-58	3.6793524270611653	2.500034105131341
