GeneID	GSE148171_MTB_control	GSE157657_PTB_control	GSE112483_MTBam_control	GSE112483_MTBmait_control	GSE112483_MTBnkt_control	GSE129270_MTB72h_control	GSE198557_MTB_control	GSE67427_MTBrv18h_control	GSE110564_MTB_control
10007	0	0.10526808815117925	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0	0	0	0	0
10038	0	0	0	0	0	0	0	0	0
10046	0	0	0	0	0	0	0	2.2823391617465276	0
10049	1.6196651828780118	0	0	0	0	0	0	0	0
10051	0	0	0	0	0	0.3634146567416228	0	0	0
10057	0	0	0	0	0	0	0	0	0
10058	0	0.5313304617945332	0	0	0	0	0	0	0
10059	0	0	0	0	0	0	0	0	0
10099	0	0	0	0	0	0	0	0	0
10112	0	0	0	0	0	0.572483287109138	0	0	0
10123	0	0	0	0	0	1.3785336760019888	0	0	0
10131	0	0	0	0	0	0	0	0	0
10146	0	0	0	0	0	0.29484146296019165	0	0	0
10150	0	0	0	0	0	0	0	0	0
10153	0.634952658577265	0	0	0	0	0.5686385447855519	0	0	0
10165	0	0	0	0	0	0	0	0	0
1017	0	0	0	0	0	0	0	0	0
10174	0	0	0	0	0	0	0	0	0
10180	0	0	0	0	0	0	0	0	0
1019	0	0	0	0	0	0	0	0	0
10190	0	0	1.252181839445971	0	0	0.5224160026112133	0	0	0
102	0	0	0	0	0	0	0	0	0
10206	0	0	0	0	0	0	0	0	0
1021	0	0	0	0	0	0.43568677668715766	0	0	0
1022	1.309012254215402	0	0	0	0	0	0	0	0
10221	2.845032920699793	0	0	0	0	0.8172711898663229	0	0	0
10227	0	0.30764654686524523	0	0	0	0	0	0	0
10237	0	0.08495218311536958	0.8990645519875397	0	0	0	0	0	0
10245	0	0.36033339454741453	0	0	0	0	0	0	0
1026	0	0.49584095061569383	0	0	0	0.8262289179492919	0	0	0
1027	0	0	0	0	0	0	0	0	0
10270	0	0	0	0	0	0	0	0	0
10273	0	0.2614243877669828	0	0	0	0	0	0	0
10276	0	0	0	0	0	0	0	0	0
10285	1.0380164820726325	0	0	0	0	0	0	0	0
1029	0	0.3040419605424356	0	0	0	0	0	0	0
10298	0	0	0	0	0	0	0	0	0
10318	2.1591955049671157	0.3916233044972478	0	0	0	0	0	0	0
10320	0	0	0	0	0	0	0	0	0
10329	0	0	0	0	0	0.6554068092038253	0	0	0
10362	0	0.44647572137265923	0	0	0	0	0	0	0
10398	0	1.114990926814334	0	0	0	0	0	0	0
10434	1.8383681180382343	0	0	0	0	0.4076702485797454	2.063624184510516	0	0
10450	0	0	0	0	0	0	0	0	0
10451	1.6821858182993583	0	0	0	0	0.3936079705143239	1.6611131483232562	0	0
10489	0	0	0	0	0	0	0	0	0
10491	0	0.17990720736971377	0	2.9926890829537807	0	0	0	0	0
10493	0	0	0	0	0	0	0	0	0.6670626377029524
10494	0	0.2005545407225837	0	0	0	0	0	0	0
1050	1.485558095281896	0.2246942543161614	0	0	0	0	0	0	0
10513	0	0	0	0	0	0.4541707517256063	0.9402932848374834	0.7869391132851802	0
1052	2.1816468611279407	0.5187997356057708	0	0	0	0.8084547290735546	2.2094338556785416	0	0
10523	0	0	0	0	0	0	0	0	0
10525	0	0	0	0	0	0	0	0	0
10557	0	0	0	0	0	0	0	0	0
10559	0	0	0	0	0	0	0	0	0
10589	0	0.4993788925245914	1.098701016809181	0	1.6960458372286817	0	0	0	0
10606	0	0	0	0	0	0.39479569675080867	0	0	0
10610	1.932256824628007	0	0	0	0	0	0	0	0
10617	0	0	0	0	0	0	0	0	0
1062	0	0	0	0	0	0	0	0	0
10641	0	0	0	0	0	0	0	0	0
10644	0	0.7163856044293173	0	0	0	0	0	0.8345523734954643	0
10652	0	0.12320503240019136	0	0	0	0	0	0	0
10668	0	0	0	0	0	0	0	0	0
10670	0	0	0	0	0	0	0	0	0
10681	0	0	0	0	0	0	0	0	0
10682	0	0	0.9327529242605477	0	0	0	0	0	0
10695	0	0.32097154159498115	0	0	0	0	0	0	0
1070	0	0	0	0	0	0.6488218751132954	0	0	0
10730	1.314841867590477	0	0	0	0	0.36631741971156717	0	0	0
10732	0	0	0	0	0	0	0	0	0.44543682974626747
10765	1.3448918788360589	0	0	0	0	0	0	0	0.3856350948001126
10775	0	0	0.8412333493465984	0	0	0.5952967666176582	0	0	0
10776	0.777748980645608	0	0	0	0	0	0.7160072619947081	0	0
10782	0	0	0	0	0	0	0	0	0
10797	0	0.3483316956907999	0	0	0	0	0	0	0
10810	0	0	0	0	0	0	0	0	0.5449966084368116
10813	0	0	0	0	0	0.5143665953665507	0	0	0
10818	0.7710288147888054	0	0	0	0	0	0	0	0
10845	0	0	0	3.116037230132984	0	0	0	0	0
10857	0	0	0	0	0	0.5484889279213895	0	0	0
10892	0	0	0	0	0	0.6172645394349244	0	1.0563391354839808	0
10898	0	0.09931504859406047	0	0	0	0	0	0	0
10904	0	0	0	0	0	0	0	0	0.3443474072397893
10915	0	0	0	0	0	0	0	0	0
10921	0	0	0	0	0	0	0	0	0
10953	0	0	0	0	0	0.8036288555383736	0	0	0
10954	0	0	0	0	0	0	0	0	0
10962	0	0	0	0	0	0	0	0	0
10969	0	0	0	0	0	0.8148250725306269	0	0	0
10972	0	0	0	0	0	0.3791684000843719	0	0	0
10973	0	0	0	0	0	0	0	0	0
11000	0	0.48480941297177726	0	0	0	0	0	0	0
11004	0	0.3782506373650292	0	0	0	0	0	0	0
11007	0	0.7324866001749069	0	0	0	0	0	0	0
11011	1.128094722105874	0	0	0	0	0	0	0	0
11014	0	0	0	0	0	0	0	0	0
11031	2.2672316318829933	0	0.6060336931584809	0	0	0	0	0	0
11041	0	0	0	0	0	0	0	0	0
11044	0	0	0	0	0	0	0	0.41223988471984835	0
