drug_name	drug_gene	type
talniflumate	ABCC5	LINCS
isradipine	ABCC5	LINCS
temsirolimus	DNM1L	LINCS
palonosetron	DNM1L	LINCS
raltitrexed	KIF20A	LINCS
nelfinavir	KIF20A	LINCS
chloroxine	KIF20A	LINCS
albendazole	KIF20A	LINCS
pyrimethamine	KIF20A	LINCS
docetaxel	KIF20A	LINCS
ethinyl-estradiol	G3BP1	LINCS
oxybenzone	CEBPZ	LINCS
clopidogrel	SLC25A13	LINCS
norepinephrine	TXNDC9	LINCS
trapidil	TXNDC9	LINCS
alprenolol	TXNDC9	LINCS
ethinyl-estradiol	TXNDC9	LINCS
tofacitinib	TXNDC9	LINCS
rimexolone	TXNDC9	LINCS
protriptyline	TXNDC9	LINCS
zolmitriptan	CDK6	LINCS
bumetanide	CDK6	LINCS
primidone	CDK6	LINCS
tolbutamide	CDK6	LINCS
palonosetron	CDK6	LINCS
anastrozole	CDK6	LINCS
treprostinil	CDK6	LINCS
stiripentol	CDK6	LINCS
haloperidol	CDK6	LINCS
carbetocin	CDK6	LINCS
amantadine	SLC75A1	LINCS
raltitrexed	CDKN1A	LINCS
irinotecan	CDKN1A	LINCS
mycophenolic-acid	CDKN1A	LINCS
lovastatin	CDKN1A	LINCS
resveratrol	CDKN1A	LINCS
amsacrine	CDKN1A	LINCS
docetaxel	CDKN1A	LINCS
anastrozole	STUB1	LINCS
dopamine	STUB1	LINCS
amiodarone	STUB1	LINCS
ketanserin	TNIP1	LINCS
chlorphenamine	TNIP1	LINCS
disopyramide	TNIP1	LINCS
ropinirole	IKZF1	LINCS
oxyphenonium	IKZF1	LINCS
hyoscyamine	IKZF1	LINCS
quinine	IKZF1	LINCS
carbamazepine	IKZF1	LINCS
nizatidine	HMG20B	LINCS
urapidil	HMG20B	LINCS
bendroflumethiazide	LYPLA1	LINCS
lisuride	VAV3	LINCS
nizatidine	VAV3	LINCS
vecuronium	VAV3	LINCS
amantadine	VAV3	LINCS
labetalol	LRRC41	LINCS
coumarin	VAT1	LINCS
halcinonide	CEBPD	LINCS
methoxsalen	HYOU1	LINCS
papaverine	ST6GALNAC2	LINCS
tofacitinib	CENPE	LINCS
carbetocin	CENPE	LINCS
dienestrol	CENPE	LINCS
yohimbine	CNPY3	LINCS
hexylresorcinol	CNPY3	LINCS
medetomidine	CNPY3	LINCS
tolbutamide	CNPY3	LINCS
cabergoline	YME1L1	LINCS
hyoscyamine	YME1L1	LINCS
valsartan	TCFL5	LINCS
ibuprofen	ARPP19	LINCS
oxybenzone	ARPP19	LINCS
ciprofibrate	ARPP19	LINCS
fostamatinib	MTHFD2	LINCS
sorafenib	MTHFD2	LINCS
chloroxine	MTHFD2	LINCS
granisetron	MTHFD2	LINCS
acitretin	PDIA5	LINCS
calcitriol	EBNA1BP2	LINCS
albendazole	UBE2C	LINCS
olaparib	UBE2C	LINCS
tamoxifen	PRSS23	LINCS
naftopidil	PWP1	LINCS
piperidolate	SLC2A6	LINCS
forskolin	SLC2A6	LINCS
amcinonide	CHP1	LINCS
clonidine	CHP1	LINCS
axitinib	CHP1	LINCS
ubenimex	PNKP	LINCS
levomepromazine	DDX42	LINCS
hesperidin	CANT1	LINCS
primidone	CANT1	LINCS
varenicline	CANT1	LINCS
iloperidone	CANT1	LINCS
clomipramine	CRK	LINCS
flutamide	CRK	LINCS
diltiazem	CRK	LINCS
diclofenac	CRK	LINCS
levomepromazine	CRK	LINCS
diethylcarbamazine	CRK	LINCS
iloperidone	CRK	LINCS
halcinonide	CSRP1	LINCS
rosuvastatin	CSRP1	LINCS
ketorolac	CSRP1	LINCS
varenicline	CTSL	LINCS
diethylcarbamazine	ADRB2	LINCS
escitalopram	ADRB2	LINCS
ibuprofen	ADRB2	LINCS
sorafenib	AARS1	LINCS
alprenolol	DCTD	LINCS
cabergoline	DCTD	LINCS
vinburnine	DDB2	LINCS
amsacrine	GADD45A	LINCS
chlorprothixene	DLD	LINCS
verapamil	DLD	LINCS
oxyphenonium	DLD	LINCS
ketotifen	DLD	LINCS
isradipine	DLD	LINCS
carbamazepine	DLD	LINCS
amiodarone	DLD	LINCS
pizotifen	DLD	LINCS
promazine	DLD	LINCS
azaperone	DLD	LINCS
protriptyline	DNM1	LINCS
cimetidine	AGL	LINCS
cortisone	AGL	LINCS
thalidomide	TSC22D3	LINCS
fluorometholone	TSC22D3	LINCS
rimexolone	TSC22D3	LINCS
prednisolone	TSC22D3	LINCS
hydrocortisone	TSC22D3	LINCS
lovastatin	TSC22D3	LINCS
brompheniramine	TSC22D3	LINCS
dexamethasone	TSC22D3	LINCS
fludroxycortide	TSC22D3	LINCS
flunisolide	TSC22D3	LINCS
simvastatin	TSC22D3	LINCS
mometasone	TSC22D3	LINCS
rosuvastatin	TSC22D3	LINCS
