GeneID	GSE139871_GPL10558_s5_d4_up.tsv	GSE16250_GPL570_s3_d2_up.tsv	GSE34151_GPL10558_s4_d3_up.tsv	GSE63548_GPL10558_s6_d5_up.tsv	GSE83456_GPL10558_s2_d1_up.tsv	GSE83456_GPL10558_s1_d1_up.tsv
10007	0	0	0	0	0	0
1001	0	0	0	0	0	0
10013	0	0	0.6451576395851091	1.0233364464807917	0	0
10038	0	0	0	0	0	0
10046	0	0	0	0.6760169672484264	0	0
10049	0	0	0.19977225482061112	0	0	0
10051	0	0	3.945352064978917	0	0	0
10057	0	0	0	0	0	0
10058	0	0	0.4041919632501196	1.0500844151022162	0	15.412049719381278
10059	0	0	0.047250436511319216	0.2600546612413544	0	0
10099	0	10.619670605856552	0	0	0	0
10112	0	0	0	0	0	0
10123	0	0	0.12234888534844336	0	0	0
10131	0	0	0.03273038347990409	0	0	1.854446569247356
10146	0	0	0.2808706860958059	0	0	0
10150	0	0	0	0	0	0
10153	0	0	0	0	0	0
10165	0	0	0	0	0	0
1017	0	0	0	0	2.869946455313632	3.625713657628461
10174	0	0	0.08307189000570281	0	0	0
10180	0	0	0	0	0	0
1019	0	0	0	0	3.693337404286725	3.292504034770781
10190	0	0	0	0	0	0
102	0	0	0	0	0	0
10206	0	0	0	0	0	6.819646301075458
1021	0	3.017410291322101	0	0	0	0
1022	0	0	0	0	0	2.666379614642791
10221	0	23.263261053328456	0	0	0	0
10227	0	0	0	0	0	0
10237	0	0	0.12762237182652736	0	0	0
10245	0	0	0	0	4.277265522349291	4.36013108490073
1026	0	0	0	0	0	0
1027	0	0	0	0	0	0
10270	0	0	1.8352303491970536	0	0	0
10273	0	0	0.09510529182985976	0	0	0
10276	0	0	0	0	0	0
10285	0	0	0	0	0	0
1029	0	0	0	0	0	0
10298	0	0	0	0	0	0
10318	0	0	0	0	0	0
10320	0	0	0	0	0	0
10329	0	0	0	0	0	0
10362	0	0	0	0	4.141672253807247	0
10398	0	9.079458418611418	0	0	0	0
10434	0	1.069983073944086	0	0	0	0
10450	0	0	0	0.5933954109111872	0	0
10451	0	0	0	0	0	0
10489	0	0	0	7.824962401054666	0	0
10491	0	0	0	0.34338202466768875	0	0
10493	0	0	0	0	0	0
10494	0	0	8.873571227497754	0	0	0
1050	0	0	0	0	0	0
10513	0	0	0.8148047271716645	0	0	0
1052	0	0	0.14608152400114016	0	0	0
10523	0	0	0.8931808284044784	0	0	0
10525	0	0.715054568486952	0	0	0	0
10557	0	0	0	0	0	0
10559	0	0	0	0	0	0
10589	0	0	0.11097111370429392	0	0	0
10606	0	0	0	0	0	0
10610	0	0	0.11783968066787964	0	0	0
10617	0	0	0	0	0	0
1062	0	0	0	0	0	0
10641	0	0	0	0	2.9076886801299064	4.748544567415848
10644	0	0	0	0	0	0
10652	0	0	0	0	0	0
10668	0	0	0.2598000224228252	0.8741837903805075	0	0
10670	0	0	0	0	0	0
10681	0	0	0	0	0	0
10682	0	0	1.3660264823317831	0	0	0
10695	0	0	0.2179778380961785	0	0	0
1070	0	0	0	0	0	2.3772682820132736
10730	0	0	0	0	0	0
10732	0	0	0	0	0	0
10765	0	0	0.2807377703538465	0.7610933410806546	0	0
10775	0	0	0.6875027267113927	0	0	0
10776	0	0	0	0	0	0
10782	0	0	0	0	0	0
10797	0	0	0.2903756566829037	0	0	0
10810	0	0	0	0	0	0
10813	0	0	0.9089974668553849	0	0	0
10818	0	0	0	0	0	0
10845	0	0	0	0	0	0
10857	0	0	0	0	0	0
10892	0	0	0.05715772867611157	0.4855780545706584	0	0
10898	0	0	0	0	0	0
10904	0	0	0	1.024172245940636	0	0
10915	0	3.089858401995731	0	0.6390241471469102	0	0
10921	0	0	0	0	0	0
10953	0	0	0.748036880022962	0	0	0
10954	0	0	0	0	0	0
10962	0	8.573333488796418	0.28949090796991905	2.9902476676227443	0	0
10969	0	0	0	0.4342121669513679	0	0
10972	0	0	0	0	0	2.879210964096413
10973	0	0	0	0	0	0
11000	0	1.9940416066640896	0	0	0	0
11004	0	0	0	0	0	0
11007	0	0	11.840901942556409	0	0	0
11011	0	0	0	0	0	0
11014	0	0	0.039387416133545336	0	0	0
