signature	GSE139871_GPL10558_s5_d4_dn.tsv	GSE16250_GPL570_s3_d2_dn.tsv	GSE34151_GPL10558_s4_d3_dn.tsv	GSE63548_GPL10558_s6_d5_dn.tsv	GSE83456_GPL10558_s2_d1_dn.tsv	GSE83456_GPL10558_s1_d1_dn.tsv
GSE139871_GPL10558_s5_d4_dn.tsv	1	0	0.04263565891472868	0.03816793893129771	0.014492753623188406	0.0603448275862069
GSE16250_GPL570_s3_d2_dn.tsv	0	1	0.02880658436213992	0.008620689655172414	0.04081632653061224	0.0297029702970297
GSE34151_GPL10558_s4_d3_dn.tsv	0.04263565891472868	0.02880658436213992	1	0.1291390728476821	0.04961832061068702	0.10810810810810811
GSE63548_GPL10558_s6_d5_dn.tsv	0.03816793893129771	0.008620689655172414	0.1291390728476821	1	0.0364963503649635	0.05405405405405406
GSE83456_GPL10558_s2_d1_dn.tsv	0.014492753623188406	0.04081632653061224	0.04961832061068702	0.0364963503649635	1	0.2524271844660194
GSE83456_GPL10558_s1_d1_dn.tsv	0.0603448275862069	0.0297029702970297	0.10810810810810811	0.05405405405405406	0.2524271844660194	1
