study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology	number	signature_ID	n	dataset_ID	dataset_signature_ID
GSE139871	GPL10558	MTB	NA	blood_monocyte	primary	circulating	GSE139871	GSE139871_GPL10558_MTB_control_blood_monocyte	data/v2/microarray_data_forDE/expression_matrices/GSE139871.tsv	1	15	24	microarray	1	s1	24	d1	s1_d1
GSE16250	GPL570	MTB	NA	blood_pmbc	primary	circulating	GSE16250	GSE16250_GPL570_MTB_control_blood_pmbc	data/v2/microarray_data_forDE/expression_matrices/GSE16250.tsv	1	52	8	microarray	2	s2	6	d2	s2_d2
GSE34151	GPL10558	MTB	NA	blood_dcs	primary	circulating	GSE34151	GSE34151_GPL10558_MTB_control_blood_dcs	data/v2/microarray_data_forDE/expression_matrices/GSE34151.tsv	1	51	43	microarray	3	s3	259	d3	s3_d3
GSE83456	GPL10558	EPTB	NA	blood_whole_blood	primary	circulating	GSE83456	GSE83456_GPL10558_EPTB_control_blood	data/v2/microarray_data_forDE/expression_matrices/GSE83456.tsv	1	59	75	microarray	4	s4	77	d4	s4_d4
GSE83456	GPL10558	PTB	NA	blood_whole_blood	primary	circulating	GSE83456	GSE83456_GPL10558_PTB_control_blood	data/v2/microarray_data_forDE/expression_matrices/GSE83456.tsv	1	59	75	microarray	5	s5	76	d4	s5_d4
GSE63548	GPL10558	LNTB	NA	lymphnode_lymphnode	primary	other	GSE63548	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	data/v2/microarray_data_forDE/expression_matrices/GSE63548.tsv	1	79	55	microarray	6	s6	26	d5	s6_d5
GSE100897	NA	MTB	24h	blood_THP-1	cell line	other	GSE100897	GSE100897_MTB_control_24h_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE100897.tsv	1	107	163	RNAseq	7	s7	5	d6	s7_d6
GSE100897	NA	MTB	6h	blood_THP-1	cell line	other	GSE100897	GSE100897_MTB_control_6h_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE100897.tsv	1	107	163	RNAseq	8	s8	5	d6	s8_d6
GSE211974	NA	MTB	48h	blood_THP-1	cell line	other	GSE211974	GSE211974_MTB_control_48h_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq	9	s9	9	d7	s9_d7
GSE211974	NA	MTB	NA	blood_THP-1	cell line	other	GSE211974	GSE211974_MTB_control_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq	10	s10	9	d7	s10_d7
