pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss	clinical_phase
acarbose	VCAP	trt_cp	down	-0.4678755928864762	2.3151826063290043e-5	8.753239035007712e-5	-1.1925034430198176	-90.15670910871694	6126	-0.5698249513233231	56	13	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	MCF7	trt_cp	down	-0.4302722796770164	2.4805527924953618e-5	8.753239035007712e-5	-1.0610808738296655	-83.66233349382122	6231	-0.5698249513233231	56	13	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	PHH	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1778	-0.5698249513233231	56	13	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acebutolol	PC3	trt_cp	down	-0.2885126741180263	0.0013420878569151001	0.002796381463202319	-0.7255796305781308	-29.298036882807853	6724	-0.8279100666689485	56	13	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acebutolol	MCF7	trt_cp	down	-0.36042343169787805	2.7895339298061875e-5	8.753239035007712e-5	-0.888828836804798	-43.34777724281817	6231	-0.8279100666689485	56	13	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acebutolol	VCAP	trt_cp	down	-0.31251553863552617	1.55447974996376e-4	3.625173621705803e-4	-0.796527669932299	-40.319947763630424	6126	-0.8279100666689485	56	13	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acepromazine	SKB	trt_cp	down	-0.3838386289689841	2.6807377546967416e-05	8.753239035007712e-5	-1.028241371514548	-62.1043627031651	2338	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	ASC	trt_cp	down	-0.26469040949799527	0.00925109108420132	0.017966578281095207	-0.7272024484425178	-38.507462686567166	2345	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	MCF7	trt_cp	down	-0.34596063518705444	3.0158299740338346e-5	8.803066710283213e-5	-0.8531625913026593	-48.499438292408925	6231	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	A549	trt_cp	up	0.28057693900865366	0.002664200736080106	0.005394369697638337	0.8584427302687679	60.0609756097561	4920	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	NPC	trt_cp	down	-0.3163877308996921	1.218081976525354e-4	2.8883017033795556e-4	-0.7925251600139822	-44.08052884615385	3328	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	PHH	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1778	-0.7937379086397557	56	13	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acetyl-farnesyl-cysteine	FIBRNPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	597	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	NPC	trt_cp	down	-0.529370670699691	2.049719939061957e-5	8.753239035007712e-5	-1.3260298504937698	-90.59495192307692	3328	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	SKB	trt_cp	down	-0.40515425839565083	2.5893489676048073e-5	8.753239035007712e-5	-1.085342482195471	-81.65098374679214	2338	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	NEU	trt_cp	down	-0.35000021226875433	2.9048578754222e-5	8.753239035007712e-5	-0.939486170721046	-63.3939393939394	2475	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	VCAP	trt_cp	up	0.3315236486480101	4.3779580864040944e-5	1.1500053833597403e-4	0.9726645386276652	44.417238001958864	6126	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	PHH	trt_cp	down	-0.39533471028215517	2.6328674376485857e-5	8.753239035007712e-5	-1.0754187887401396	-64.45444319460067	1778	-0.9435641492616187	56	13	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetylcholine	MCF7	trt_cp	down	-0.4781769280632551	2.271664136285226e-5	8.753239035007712e-5	-1.1792170135975564	-83.1327234793773	6231	-0.400933784623169	56	13	ACHE; CHRM1; CHRM4; CHRM5; CHRNA2; CHRNA7	Acetylcholine receptor agonist	93565	Launched
acetylcholine	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	-0.400933784623169	56	13	ACHE; CHRM1; CHRM4; CHRM5; CHRNA2; CHRNA7	Acetylcholine receptor agonist	93565	Launched
acetylcholine	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	-0.400933784623169	56	13	ACHE; CHRM1; CHRM4; CHRM5; CHRNA2; CHRNA7	Acetylcholine receptor agonist	93565	Launched
acitretin	A549	trt_cp	down	-0.30849257985150785	2.4022195464165608e-4	5.455985048686343e-4	-0.810085081683921	-30.8739837398374	4920	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	ASC	trt_cp	down	-0.3590625017922426	2.793885776810565e-5	8.753239035007712e-5	-0.9864774887100409	-65.07462686567165	2345	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	NEU	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2475	0.904563842996009	56	13	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
