,A375,A549,ASC,BT20,CD34,FIBRNPC,HA1E,HCC515,HEK293T,HEPG2,HL60,HS578T,HT29,HUH7,JURKAT,MCF10A,MCF7,MDAMB231,NEU,NKDBA,NOMO1,NPC,PC3,PHH,SKB,SKBR3,THP1,U266,U937,VCAP
A375,1.0,0.8969898,0.6990178,0.77861583,0.7419174,0.7513269,0.8230698,0.81163126,0.7109432,0.7661014,0.74665946,0.82939756,0.8600105,0.73005176,0.7357784,0.8457799,0.82847786,0.8333359,0.670629,0.72625667,0.78155065,0.751061,0.8588185,0.64866126,0.6843556,0.78547394,0.77289414,0.75518125,0.6924884,0.7519423
A549,0.8969898,1.0,0.7407487,0.8002812,0.73835707,0.77799624,0.8285723,0.85176706,0.692053,0.79358315,0.72419614,0.8466274,0.86180353,0.75134915,0.6997328,0.8483607,0.86190665,0.8307542,0.66895324,0.7620945,0.7626794,0.73207456,0.8591138,0.71777666,0.7183844,0.8109098,0.75186485,0.7334975,0.66197956,0.7682545
ASC,0.6990178,0.7407487,1.0,0.6667061,0.6746836,0.81327426,0.7990588,0.702513,0.5907439,0.63679624,0.63135064,0.81222093,0.645345,0.60456735,0.49518636,0.7447434,0.7001107,0.7505282,0.6008226,0.84160066,0.66031176,0.6634546,0.7248624,0.7396926,0.8996483,0.6874777,0.68674344,0.5584058,0.58840483,0.65714425
BT20,0.77861583,0.8002812,0.6667061,1.0,0.6875065,0.71679354,0.7799501,0.7837112,0.6521601,0.7259463,0.67738765,0.7794411,0.7887164,0.6945101,0.64772034,0.81083643,0.82709956,0.80574954,0.61754555,0.7114788,0.68388224,0.67859524,0.7928584,0.629477,0.6457125,0.8151221,0.7132124,0.66769934,0.63217473,0.7561113
CD34,0.7419174,0.73835707,0.6746836,0.6875065,1.0,0.6567779,0.7025561,0.7051527,0.67371476,0.67297745,0.8913,0.695495,0.71945584,0.6398119,0.72442675,0.74434286,0.71460164,0.7295692,0.6019658,0.6911937,0.83331037,0.65493333,0.70436674,0.61838466,0.6203729,0.7283897,0.838519,0.72264457,0.8190189,0.70812553
FIBRNPC,0.7513269,0.77799624,0.81327426,0.71679354,0.6567779,1.0,0.82010186,0.7227687,0.56032693,0.6345332,0.5861823,0.89998263,0.67454904,0.60691726,0.5483389,0.7536287,0.70375824,0.8063033,0.602544,0.76788425,0.6294336,0.65597683,0.75016534,0.6458211,0.8360337,0.69800276,0.66796005,0.6427757,0.5328867,0.6618125
HA1E,0.8230698,0.8285723,0.7990588,0.7799501,0.7025561,0.82010186,1.0,0.81560075,0.7202818,0.7439152,0.68507016,0.8746729,0.7627178,0.72880536,0.6513099,0.8083478,0.7859897,0.83976275,0.65000075,0.8505044,0.69690764,0.7674615,0.8203892,0.6766963,0.77833295,0.76838946,0.7169339,0.65333915,0.6397725,0.75047004
HCC515,0.81163126,0.85176706,0.702513,0.7837112,0.7051527,0.7227687,0.81560075,1.0,0.70839846,0.7634701,0.7071914,0.7628803,0.79253954,0.7472053,0.6579962,0.83692354,0.7922285,0.82646006,0.5954134,0.72887707,0.690021,0.6838713,0.8223759,0.6505522,0.6815689,0.80333763,0.7151057,0.680062,0.6602134,0.7423413
HEK293T,0.7109432,0.692053,0.5907439,0.6521601,0.67371476,0.56032693,0.7202818,0.70839846,1.0,0.7513053,0.7421215,0.597566,0.6655747,0.73886734,0.7353352,0.68864393,0.72207767,0.6600233,0.5240618,0.5813424,0.59908766,0.68031764,0.69369334,0.46489903,0.50563127,0.6764045,0.6479814,0.6280153,0.7514655,0.7004263
HEPG2,0.7661014,0.79358315,0.63679624,0.7259463,0.67297745,0.6345332,0.7439152,0.7634701,0.7513053,1.0,0.6970367,0.69215333,0.75824887,0.8757351,0.7084826,0.74993277,0.75677544,0.7525708,0.5388418,0.6347148,0.6317134,0.6633083,0.7483051,0.59207594,0.5683163,0.7253163,0.6730606,0.6666365,0.67971843,0.71010983
