,A375,A549,ASC,BT20,CD34,FIBRNPC,HA1E,HCC515,HEK293T,HEPG2,HL60,HS578T,HT29,HUH7,JURKAT,MCF10A,MCF7,MDAMB231,NEU,NKDBA,NOMO1,NPC,PC3,PHH,SKB,SKBR3,THP1,U266,U937,VCAP
A375,1.0,0.894366,0.6955994,0.7651032,0.73354644,0.747769,0.82700545,0.8065097,0.6862822,0.75648254,0.7333092,0.8248321,0.8477342,0.71738213,0.71810806,0.8463043,0.8165012,0.8284193,0.6556194,0.7267822,0.77636147,0.7458648,0.84970945,0.6409164,0.68044496,0.7793643,0.7649478,0.73858464,0.6717353,0.7454171
A549,0.894366,1.0,0.74597985,0.793616,0.7298792,0.77399606,0.83664054,0.84610385,0.67502725,0.7822391,0.70761466,0.84871805,0.84940594,0.73582083,0.6813104,0.8481036,0.86143136,0.8273989,0.6633341,0.7679023,0.75730425,0.7310802,0.8551899,0.71647036,0.7234811,0.80526143,0.744298,0.7194732,0.63599217,0.7643496
ASC,0.6955994,0.74597985,1.0,0.6654635,0.67645687,0.81520844,0.78883463,0.69694483,0.5858668,0.6306505,0.62784976,0.80728626,0.6447841,0.5994464,0.48600397,0.7455315,0.7008425,0.75500613,0.5925187,0.8430775,0.6599545,0.65669733,0.7300229,0.7365233,0.8964629,0.6904414,0.68742967,0.5484193,0.57284737,0.6601868
BT20,0.7651032,0.793616,0.6654635,1.0,0.68048996,0.7141713,0.7765891,0.77360564,0.6331292,0.71178746,0.6620701,0.7683795,0.7784273,0.68159133,0.62820554,0.80036503,0.81586605,0.7970801,0.60202605,0.70601606,0.669384,0.66717106,0.7835744,0.61636716,0.64036685,0.8051335,0.7066377,0.65318435,0.6085388,0.75023663
CD34,0.73354644,0.7298792,0.67645687,0.68048996,1.0,0.66230434,0.7126266,0.7001483,0.665397,0.66189617,0.8849872,0.69593143,0.70466655,0.63110083,0.7153066,0.7445283,0.70994276,0.7308857,0.59359145,0.6946128,0.8253221,0.6467149,0.70126444,0.60757047,0.62278396,0.7271592,0.83646244,0.71293104,0.803691,0.7055018
FIBRNPC,0.747769,0.77399606,0.81520844,0.7141713,0.66230434,1.0,0.8159506,0.7181969,0.55369824,0.626161,0.58728665,0.8971259,0.6727403,0.6023387,0.5507606,0.756846,0.7075229,0.80814976,0.60399824,0.76694065,0.632166,0.6577657,0.75237036,0.6411822,0.8355897,0.6962766,0.67134786,0.64013726,0.52562064,0.6648471
HA1E,0.82700545,0.83664054,0.78883463,0.7765891,0.7126266,0.8159506,1.0,0.8109187,0.7149889,0.74633604,0.6810023,0.8668072,0.76816046,0.7326533,0.6525507,0.81098235,0.7900751,0.84511364,0.63713104,0.8456829,0.6978437,0.76115733,0.8233836,0.6685113,0.7653732,0.76995456,0.72452116,0.6508561,0.6313065,0.7542285
HCC515,0.8065097,0.84610385,0.69694483,0.77360564,0.7001483,0.7181969,0.8109187,1.0,0.691938,0.7553505,0.6961874,0.7565978,0.78887516,0.74271476,0.64650613,0.8331082,0.78577006,0.8257519,0.582267,0.7204865,0.68771386,0.6775813,0.8208938,0.6409824,0.67614543,0.7983117,0.7138683,0.671907,0.64262766,0.73741794
HEK293T,0.6862822,0.67502725,0.5858668,0.6331292,0.665397,0.55369824,0.7149889,0.691938,1.0,0.7420451,0.72390836,0.58096486,0.64398265,0.7330981,0.7184025,0.67132014,0.70549285,0.65806025,0.508783,0.5704606,0.5768189,0.6652573,0.6742948,0.44553545,0.4958483,0.66503114,0.63095605,0.6059199,0.74040633,0.69082385
HEPG2,0.75648254,0.7822391,0.6306505,0.71178746,0.66189617,0.626161,0.74633604,0.7553505,0.7420451,1.0,0.68099207,0.6828492,0.74125135,0.8745963,0.69318277,0.74337226,0.74684745,0.7494186,0.52472115,0.627995,0.61411387,0.6546153,0.7365283,0.57950586,0.56097823,0.7174975,0.65862334,0.6506386,0.6633484,0.70230454
HL60,0.7333092,0.70761466,0.62784976,0.6620701,0.8849872,0.58728665,0.6810023,0.6961874,0.72390836,0.68099207,1.0,0.6384554,0.72563523,0.663452,0.77490014,0.7397121,0.70170075,0.70052075,0.58217883,0.6294649,0.82202643,0.6555009,0.7046253,0.5826479,0.55977947,0.7214608,0.8530857,0.7322085,0.88001823,0.7146866
HS578T,0.8248321,0.84871805,0.80728626,0.7683795,0.69593143,0.8971259,0.8668072,0.7565978,0.58096486,0.6828492,0.6384554,1.0,0.75389373,0.66163373,0.6132445,0.8024895,0.77822614,0.83918464,0.6773227,0.8185023,0.720502,0.7218964,0.8124732,0.70682245,0.82841736,0.7667495,0.7359666,0.68474734,0.5669361,0.7307633
HT29,0.8477342,0.84940594,0.6447841,0.7784273,0.70466655,0.6727403,0.76816046,0.78887516,0.64398265,0.74125135,0.72563523,0.75389373,1.0,0.7237869,0.6875775,0.802291,0.8255061,0.76622266,0.6465747,0.6979789,0.76652956,0.6948872,0.8305798,0.6683038,0.62872237,0.81694216,0.7479529,0.71907365,0.6347042,0.7797409
HUH7,0.71738213,0.73582083,0.5994464,0.68159133,0.63110083,0.6023387,0.7326533,0.74271476,0.7330981,0.8745963,0.663452,0.66163373,0.7237869,1.0,0.66861093,0.6957398,0.7099363,0.7153153,0.5258336,0.5941638,0.5851859,0.6619541,0.71058863,0.55549747,0.5516565,0.6952301,0.64133984,0.62171435,0.6518108,0.6990586
