,A375,A549,ASC,BT20,CD34,FIBRNPC,HA1E,HCC515,HEK293T,HEPG2,HL60,HS578T,HT29,HUH7,JURKAT,MCF10A,MCF7,MDAMB231,NEU,NKDBA,NOMO1,NPC,PC3,PHH,SKB,SKBR3,THP1,U266,U937,VCAP
A375,0.9999461,0.7314681,0.48048756,0.61244446,0.5814208,0.47626922,0.6018641,0.64162487,0.5838452,0.5898372,0.59322494,0.60164076,0.72191375,0.55288327,0.6096141,0.65605694,0.6868541,0.64251643,0.39216393,0.4965604,0.60686415,0.527728,0.700016,0.4136264,0.4562346,0.56783116,0.59611315,0.61347365,0.57702243,0.58173233
A549,0.7314681,0.9999461,0.50074214,0.62550575,0.5790175,0.5043885,0.5744759,0.63558286,0.5641222,0.6157613,0.55441666,0.59270954,0.7328287,0.5743854,0.592657,0.6649795,0.6894864,0.63882357,0.3869594,0.5000576,0.60012704,0.5189902,0.71520996,0.45778593,0.47474337,0.59998184,0.5754956,0.5898033,0.5497652,0.59505826
ASC,0.48048756,0.50074214,0.9999461,0.48916727,0.48749965,0.5090367,0.61885625,0.51287067,0.40056884,0.4225268,0.43993568,0.5759174,0.46174952,0.37019816,0.35301623,0.52922356,0.5034464,0.50726074,0.37706807,0.5585808,0.4695225,0.4733505,0.46870205,0.44069403,0.678852,0.51042914,0.49144292,0.35993108,0.44347024,0.482965
BT20,0.61244446,0.62550575,0.48916727,0.9999461,0.57250404,0.50185126,0.5945901,0.60578805,0.5340277,0.52955085,0.54047036,0.60694265,0.58620715,0.5331837,0.50013447,0.625667,0.61662334,0.6698847,0.41565746,0.49983782,0.52898896,0.52208036,0.584239,0.41425183,0.47865817,0.6086817,0.57426655,0.48616558,0.54236233,0.5877097
CD34,0.5814208,0.5790175,0.48749965,0.57250404,0.9999461,0.4623074,0.55094105,0.5395576,0.5224623,0.49947166,0.68416494,0.54398984,0.5642712,0.48511496,0.5217503,0.58309454,0.5480839,0.61220294,0.38328007,0.4875613,0.6229222,0.52645373,0.53476983,0.3853229,0.45935032,0.5435191,0.670066,0.52942085,0.649001,0.5578038
FIBRNPC,0.47626922,0.5043885,0.5090367,0.50185126,0.4623074,0.9999461,0.5244963,0.46431953,0.36657405,0.37932655,0.38901275,0.63451356,0.45526654,0.37869442,0.34856865,0.50653654,0.4482234,0.56000084,0.33793414,0.49089393,0.43583468,0.39019424,0.4764329,0.34804636,0.5379355,0.47643778,0.48556173,0.399456,0.39238474,0.43782583
HA1E,0.6018641,0.5744759,0.61885625,0.5945901,0.55094105,0.5244963,0.9999461,0.6339026,0.534792,0.5314078,0.5488242,0.63841814,0.55925924,0.50400305,0.46418113,0.60567635,0.5786882,0.63685113,0.39296854,0.6183141,0.49860674,0.58102745,0.5825209,0.4187314,0.58159095,0.5524223,0.5168518,0.4408497,0.5062914,0.5799809
HCC515,0.64162487,0.63558286,0.51287067,0.60578805,0.5395576,0.46431953,0.6339026,0.9999461,0.5400141,0.57489145,0.56848097,0.54053515,0.5948781,0.5389995,0.5041298,0.6433648,0.6141889,0.6532419,0.36439794,0.52795935,0.49487945,0.48637378,0.6371604,0.429129,0.46785614,0.58381766,0.5281806,0.5016353,0.5492432,0.5998517
HEK293T,0.5838452,0.5641222,0.40056884,0.5340277,0.5224623,0.36657405,0.534792,0.5400141,0.9999461,0.57267046,0.6113143,0.42685053,0.5266645,0.5082175,0.58388937,0.5368374,0.55932176,0.5112315,0.31934482,0.3924335,0.4772704,0.50602174,0.5611809,0.34974498,0.3346216,0.47006935,0.5049638,0.50091267,0.60744756,0.52467316
HEPG2,0.5898372,0.6157613,0.4225268,0.52955085,0.49947166,0.37932655,0.5314078,0.57489145,0.57267046,0.9999461,0.52727467,0.4507824,0.6044089,0.6460155,0.58955294,0.5325575,0.5683145,0.5499408,0.32924357,0.39964613,0.45019892,0.46750414,0.57642287,0.37120754,0.36053547,0.5102151,0.47348362,0.5110378,0.547294,0.543864
HL60,0.59322494,0.55441666,0.43993568,0.54047036,0.68416494,0.38901275,0.5488242,0.56848097,0.6113143,0.52727467,0.9999461,0.478825,0.56820804,0.5028661,0.59720266,0.56828636,0.56105906,0.56276596,0.34883857,0.42606786,0.5753086,0.50674826,0.54810953,0.36014208,0.39109486,0.5230681,0.6181901,0.5367301,0.71475345,0.54192555
HS578T,0.60164076,0.59270954,0.5759174,0.60694265,0.54398984,0.63451356,0.63841814,0.54053515,0.42685053,0.4507824,0.478825,0.9999461,0.55907804,0.46554354,0.4457338,0.619027,0.5775764,0.61905295,0.45440865,0.5713254,0.6122226,0.5283652,0.5668852,0.4579814,0.6073926,0.5741069,0.58333284,0.5037716,0.50033027,0.55573696
HT29,0.72191375,0.7328287,0.46174952,0.58620715,0.5642712,0.45526654,0.55925924,0.5948781,0.5266645,0.6044089,0.56820804,0.55907804,0.9999461,0.54173625,0.5802418,0.61035824,0.659597,0.6113681,0.41198215,0.48355833,0.59444994,0.50183725,0.6454815,0.4475974,0.43320557,0.56737787,0.5775853,0.59505606,0.5433625,0.593734
HUH7,0.55288327,0.5743854,0.37019816,0.5331837,0.48511496,0.37869442,0.50400305,0.5389995,0.5082175,0.6460155,0.5028661,0.46554354,0.54173625,0.9999461,0.5151903,0.5152444,0.501911,0.5540009,0.31526482,0.3837164,0.41567707,0.48382863,0.52692497,0.3374594,0.35097378,0.49142793,0.45677722,0.4718467,0.5139858,0.51481915
JURKAT,0.6096141,0.592657,0.35301623,0.50013447,0.5217503,0.34856865,0.46418113,0.5041298,0.58388937,0.58955294,0.59720266,0.4457338,0.5802418,0.5151903,0.9999461,0.50868046,0.5268651,0.5060023,0.3366969,0.34565347,0.51030016,0.4766027,0.56609106,0.3274101,0.30922818,0.44504756,0.5219844,0.61758775,0.6160428,0.49776173
MCF10A,0.65605694,0.6649795,0.52922356,0.625667,0.58309454,0.50653654,0.60567635,0.6433648,0.5368374,0.5325575,0.56828636,0.619027,0.61035824,0.5152444,0.50868046,0.9999461,0.66188025,0.6595101,0.4322376,0.5553216,0.5983609,0.5192272,0.66444886,0.47108033,0.5325683,0.64958876,0.61374944,0.5089395,0.56209224,0.6120104
MCF7,0.6868541,0.6894864,0.5034464,0.61662334,0.5480839,0.4482234,0.5786882,0.6141889,0.55932176,0.5683145,0.56105906,0.5775764,0.659597,0.501911,0.5268651,0.66188025,0.9999461,0.59058005,0.4141756,0.52526057,0.5849922,0.52988905,0.6474296,0.44791764,0.49039054,0.6261128,0.5821586,0.55947584,0.51238495,0.6156333
MDAMB231,0.64251643,0.63882357,0.50726074,0.6698847,0.61220294,0.56000084,0.63685113,0.6532419,0.5112315,0.5499408,0.56276596,0.61905295,0.6113681,0.5540009,0.5060023,0.6595101,0.59058005,0.9999461,0.34744206,0.50669235,0.5255563,0.49143904,0.6339724,0.3832864,0.48144615,0.6277589,0.5842531,0.50857604,0.5810264,0.55509096
NEU,0.39216393,0.3869594,0.37706807,0.41565746,0.38328007,0.33793414,0.39296854,0.36439794,0.31934482,0.32924357,0.34883857,0.45440865,0.41198215,0.31526482,0.3366969,0.4322376,0.4141756,0.34744206,0.9999461,0.50355947,0.4975271,0.60564905,0.38734528,0.5433802,0.49996376,0.3763714,0.3968761,0.37243623,0.29203662,0.43770012
NKDBA,0.4965604,0.5000576,0.5585808,0.49983782,0.4875613,0.49089393,0.6183141,0.52795935,0.3924335,0.39964613,0.42606786,0.5713254,0.48355833,0.3837164,0.34565347,0.5553216,0.52526057,0.50669235,0.50355947,0.9999461,0.5389251,0.5460012,0.4696447,0.5392372,0.6516188,0.50088966,0.49356896,0.41653502,0.38136184,0.5096932
NOMO1,0.60686415,0.60012704,0.4695225,0.52898896,0.6229222,0.43583468,0.49860674,0.49487945,0.4772704,0.45019892,0.5753086,0.6122226,0.59444994,0.41567707,0.51030016,0.5983609,0.5849922,0.5255563,0.4975271,0.5389251,0.9999461,0.53440535,0.541382,0.49485406,0.48885614,0.52910906,0.70797956,0.5547891,0.58591926,0.559588
NPC,0.527728,0.5189902,0.4733505,0.52208036,0.52645373,0.39019424,0.58102745,0.48637378,0.50602174,0.46750414,0.50674826,0.5283652,0.50183725,0.48382863,0.4766027,0.5192272,0.52988905,0.49143904,0.60564905,0.5460012,0.53440535,0.9999461,0.4927822,0.44671702,0.51666,0.46793878,0.49919346,0.4487601,0.46146315,0.5590215
PC3,0.700016,0.71520996,0.46870205,0.584239,0.53476983,0.4764329,0.5825209,0.6371604,0.5611809,0.57642287,0.54810953,0.5668852,0.6454815,0.52692497,0.56609106,0.66444886,0.6474296,0.6339724,0.38734528,0.4696447,0.541382,0.4927822,0.9999461,0.45137864,0.43917975,0.5954203,0.5368661,0.5423197,0.5291672,0.587431
PHH,0.4136264,0.45778593,0.44069403,0.41425183,0.3853229,0.34804636,0.4187314,0.429129,0.34974498,0.37120754,0.36014208,0.4579814,0.4475974,0.3374594,0.3274101,0.47108033,0.44791764,0.3832864,0.5433802,0.5392372,0.49485406,0.44671702,0.45137864,0.9999461,0.520097,0.42508474,0.40919083,0.39436877,0.32889217,0.45727223
