GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.002280501710376283	30/16034	0.49408703370196316	0.6756877727717473	0.55459769268773	SLC25A33/OPA1	2		21	2	1.3737310368427056	0.37561675785568244	1.1700431546129133
GO:0000003	reproduction	1410	0	0	1	1	1		0		0	0	0	0	0
GO:0000012	single strand break repair	11	0.0011402508551881414	11/16034	0.4614837049115562	0.6571666576325015	0.5393957486299092	LIG4	1		11	1	0.719573400250941	0.32909674222078983	1.1319878550193527
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.014823261117445839	131/16034	0.02716105448492138	0.1588070287407171	0.13034720365133473	IL7R/CLCF1/CD40/RBBP8/PPP4R2/TERF2IP/MAD2L2/RIF1/SUPT6H/KPNA1/EPC1/EPC2/MLH1	13		89	7	5.822002965666704	0.18426579434233367	1.0174673336056848
GO:0000019	regulation of mitotic recombination	7	0.0011402508551881414	7/16034	0.3255237234623415	0.5748815459894618	0.4718569608957734	MLH1	1		3	0	0.19624729097752935	-Inf	0
GO:0000022	mitotic spindle elongation	12	0	0	1	1	1		0		0	0	0	0	0
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0	0	1	1	1		0		0	0	0	0	0
GO:0000028	ribosomal small subunit assembly	17	0	0	1	1	1		0		0	0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.0034207525655644243	33/16034	0.2690720312000843	0.5556761497705462	0.4560933658458416	ELOVL7/ACSL1/ELOVL5	3		24	2	1.5699783278202348	0.24208536523115992	1.062438464172949
GO:0000041	transition metal ion transport	93	0.0068415051311288486	93/16034	0.39966271673385545	0.618174361600847	0.5073912662592366	SLC39A8/STEAP4/SLC25A37/TMEM165/FTH1/SLC30A7	6		55	4	3.597867001254705	0.10595319090657998	0.9582410396573426
