GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0048246	macrophage chemotaxis	16	0.0035335689045936395	42/16283	0.07142857142857142	1.3699310112737673	0.562998806365201	0.37594715385655286	0.6336901319064272	0.5222961766987168	CCL3/THBS1/SLAMF1	3	8	-0.09297192625182168	0.8171827865253863
GO:0048247	lymphocyte chemotaxis	7	0.009422850412249705	45/16283	0.17777777777777778	3.409606072503599	3.796247419536312	0.0020426226221134927	0.032447661123632274	0.02674381135887913	WNT5A/CCL3/CXCL13/GPR183/CXCL11/CCL4/XCL1/OXSR1	8	17	0.1340855243835244	0.9792879390423053
GO:0048251	elastic fiber assembly	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048254	snoRNA localization	5	0.001177856301531213	5/16283	0.2	3.8358068315665492	1.487406232312203	0.23492204077361245	0.5380890340196272	0.44350042874496987	NOP58	1	5	-0.7215805856741959	0.4686400852358762
GO:0048255	mRNA stabilization	38	0.011778563015312132	65/16283	0.15384615384615385	2.9506206396665764	3.69572219253807	0.0018581964656317108	0.03032060154343465	0.024990659415349035	E2F1/TENT5C/TAF15/HNRNPD/NOCT/ARID5A/FUS/EIF4ENIF1/HNRNPU/THRAP3	10	42	-0.547227198529418	0.5503464277543932
GO:0048260	positive regulation of receptor-mediated endocytosis	22	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048261	negative regulation of receptor-mediated endocytosis	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048263	determination of dorsal identity	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048265	response to pain	17	0.001177856301531213	35/16283	0.02857142857142857	0.5479724045095069	-0.6278667546093954	0.8468319004482848	0.9037224055169307	0.7448605137315898	THBS1	1	0	0	0
GO:0048266	behavioral response to pain	17	0.001177856301531213	19/16283	0.05263157894736842	1.0094228504122498	0.009638598430195726	0.6386847376676027	0.7727455797810757	0.6369076013007668	THBS1	1	0	0	0
GO:0048268	clathrin coat assembly	17	0.002355712603062426	18/16283	0.1111111111111111	2.1310037953147494	1.1260087190290016	0.2409104208755258	0.5455585673579517	0.4496569214973402	HIP1R/CLINT1	2	11	-0.8168907654785207	0.42856339294532425
GO:0048278	vesicle docking	21	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048280	vesicle fusion with Golgi apparatus	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048286	lung alveolus development	45	0.001177856301531213	53/16283	0.018867924528301886	0.3618685690157121	-1.0913329893221375	0.9417347464508253	0.9638638176200317	0.7944298979165875	ADA	1	4	-0.49843703435998615	0.5752278302996636
GO:0048298	positive regulation of isotype switching to IgA isotypes	6	0.001177856301531213	6/16283	0.16666666666666666	3.196505692972124	1.2620868712219764	0.2748256645224265	0.5588604721707928	0.4606205355363593	NSD2	1	2	0.1947101461999592	1.0255143957891968
GO:0048304	positive regulation of isotype switching to IgG isotypes	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048311	mitochondrion distribution	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048312	intracellular distribution of mitochondria	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0048318	axial mesoderm development	5	0.001177856301531213	9/16283	0.1111111111111111	2.1310037953147494	0.7959882071370027	0.3824902481049718	0.6336901319064272	0.5222961766987168	POGLUT1	1	0	0	0
