GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0033514	L-lysine catabolic process to acetyl-CoA via L-pipecolate	1	0	0	1	1	1		0	0	0	0
GO:0033522	histone H2A ubiquitination	28	0.0030742204655248135	28/16034	0.09173333985878446	0.362103481290928	0.3080488652834324	OTUB2/UBE2B/UBR2/TRIP12/UBE2A/UBR5/RNF168	7	0	0	0
GO:0033523	histone H2B ubiquitination	10	0.0021958717610891525	10/16034	0.007774465056492767	0.08263710166923777	0.07030107887603483	WAC/CDC73/UBE2E1/PAF1/RNF40	5	0	0	0
GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	12	0	0	1	1	1		0	0	0	0
GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	12	8.78348704435661e-4	12/16034	0.5248457486642832	0.8476406268386225	0.7211052827630378	ACOX2/ACOX1	2	11	0.33653497384636616	1.1380330982143712
GO:0033554	cellular response to stress	1907	0	0	1	1	1		0	0	0	0
GO:0033555	multicellular organismal response to stress	88	0.002635046113306983	86/16034	0.9878026525636079	0.9999999999201614	0.8507205292824561	AQP9/PTEN/GCH1/EIF4E/MECP2/RPS6KB1	6	2	3.139895354752901	3.8335106546695874
GO:0033559	unsaturated fatty acid metabolic process	108	0.005709266578831796	107/16034	0.7686185995446455	0.9309364397580524	0.7919667408225252	CYP4F3/ALOX5/PNPLA8/TBXAS1/ANXA1/TNFRSF1A/ACOX1/PLA2G4A/PLAA/ELOVL5/PTGES3/SCD/SIRT1	13	74	0.30216733034215826	1.1102305749542407
GO:0033563	dorsal/ventral axon guidance	2	0	0	1	1	1		0	0	0	0
GO:0033564	anterior/posterior axon guidance	7	0	0	1	1	1		0	0	0	0
GO:0033566	gamma-tubulin complex localization	2	0	0	1	1	1		0	0	0	0
GO:0033567	DNA replication, Okazaki fragment processing	2	0	0	1	1	1		0	0	0	0
