GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.002797202797202797	30/16034	0.3892870170399768	0.592711488084369	0.47824165221973075	TYMP/STOX1	2	21	0.8482393322910456	1.5843544190056262
GO:0000003	reproduction	1410	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	11	0	0	1	1	1		0	0	0	0
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.011188811188811189	131/16034	0.2302557138100534	0.48602916520764133	0.39216279027612233	IL7R/SMCHD1/CGAS/H1-0/BCL6/CD40/HELB/STAT6	8	89	0.7904197614022195	1.5314472990763204
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0	0	0	0
GO:0000022	mitotic spindle elongation	12	0	0	1	1	1		0	0	0	0
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0.0013986013986013986	24/16034	0.6656697943625095	0.7755833991864209	0.6257956758353082	NOP2	1	15	0.49156438835231325	1.2673217208558962
GO:0000028	ribosomal small subunit assembly	17	0	0	1	1	1		0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.004195804195804196	33/16034	0.18081369593477659	0.4545383454635453	0.3667537641868112	ELOVL7/ABCD1/ELOVL6	3	24	1.1201730477746874	1.8389225744302562
GO:0000041	transition metal ion transport	93	0.004195804195804196	93/16034	0.7901342165154699	0.8622028432291529	0.6956863846643799	SLC25A28/B2M/SLC25A37	3	55	0.29089369289016204	1.101183068844118
GO:0000045	autophagosome assembly	106	0.006993006993006993	106/16034	0.5138252851060456	0.6770455543444035	0.5462883562189386	RUFY4/SYNPO2/STING1/STX17/TCIRG1	5	52	0.8578087833071961	1.593157905546199
GO:0000050	urea cycle	10	0	0	1	1	1		0	0	0	0
GO:0000052	citrulline metabolic process	8	0	0	1	1	1		0	0	0	0
GO:0000053	argininosuccinate metabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	0	0	1	1	1		0	0	0	0
GO:0000055	ribosomal large subunit export from nucleus	8	0	0	1	1	1		0	0	0	0
GO:0000056	ribosomal small subunit export from nucleus	8	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	197	0.008391608391608392	195/16034	0.8718608785244871	0.9163858213911573	0.7394050530541754	HSPA1B/CHMP5/HSPA1A/SMARCA5/AKAP8L/INO80	6	110	0.29089369289016204	1.101183068844118
GO:0000075	cell cycle checkpoint signaling	187	0.011188811188811189	186/16034	0.5922709736435996	0.7303149227594069	0.5892698594893231	PARP9/FBXO6/DTX3L/TREX1/HORMAD1/BRIP1/PML/RAD9A	8	106	0.615617037022292	1.3748477504582413
GO:0000076	DNA replication checkpoint signaling	18	0.0013986013986013986	18/16034	0.560255823785375	0.7075783724583047	0.5709243986700647	RAD9A	1	12	0.714707939666523	1.4629611665645919
GO:0000077	DNA damage checkpoint signaling	122	0.009790209790209791	121/16034	0.29507605793436714	0.5379969308315868	0.43409406813018964	PARP9/FBXO6/DTX3L/TREX1/BRIP1/PML/RAD9A	7	72	0.8688586194937812	1.603339258606794
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	102	0.005594405594405594	100/16034	0.6572563933111419	0.771243346943792	0.6222938139734044	HERC5/TNFAIP3/CCND3/SERTAD1	4	32	1.1201730477746874	1.8389225744302562
GO:0000080	mitotic G1 phase	2	0	0	1	1	1		0	0	0	0
GO:0000082	G1/S transition of mitotic cell cycle	223	0	0	1	1	1		0	0	0	0
