GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0002509	central tolerance induction to self antigen	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002510	central B cell tolerance induction	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002513	tolerance induction to self antigen	6	5.952380952380953e-4	6/16283	0.16666666666666666	1.615376984126984	0.5113487115231296	0.47976455738356905	0.6970606831613343	0.504907987679917	LYN	1	2	-0.6489024787621879	0.5013508612383835
GO:0002514	B cell tolerance induction	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002517	T cell tolerance induction	15	0.004166666666666667	15/16283	0.4666666666666667	4.523055555555556	4.630048206922051	3.742308825062634e-4	0.0037621210482541422	0.0027250496459898807	LILRB2/LILRB4/ICOS/HLA-B/IL2RA/IDO1/ITCH	7	0	0	0
GO:0002518	lymphocyte chemotaxis across high endothelial venule	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002519	natural killer cell tolerance induction	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002520	immune system development	202	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002521	leukocyte differentiation	619	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002522	leukocyte migration involved in immune response	3	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002523	leukocyte migration involved in inflammatory response	20	0.004166666666666667	20/16283	0.35	3.392291666666666	3.63091655152379	0.002837112351587266	0.019317231111006524	0.013992216923743448	FFAR2/MDK/NINJ1/S100A8/S100A9/SLAMF1/TNF	7	7	0.04424470179775742	0.9130027512842391
GO:0002524	hypersensitivity	19	0.0035714285714285713	19/16283	0.3157894736842105	3.0607142857142855	3.048374871238618	0.009938101057664666	0.04919396005082958	0.03563308615058088	CCR7/FCGR1A/FCGR2A/FCGR3B/HLA-E/C3	6	3	0.7373918823577027	1.4833806459541825
GO:0002525	acute inflammatory response to non-antigenic stimulus	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002526	acute inflammatory response	106	0.02142857142857143	106/16283	0.33962264150943394	3.2917115902964955	8.028813586165867	4.024290473224402e-11	2.2735578243770258e-9	1.646825783910186e-9	CEBPB/SCN11A/NLRP3/CCR7/CNR1/IL31RA/C2CD4A/EDNRB/F3/FCGR1A/FCGR2A/FCGR3B/APOL2/ALOX5AP/NUPR1/B4GALT1/FFAR3/FFAR2/HLA-E/HP/IL1A/IL1B/IL1RN/IL6/ITIH4/OSM/SERPINA1/PLSCR1/PTGS2/TFRC/TNF/C3/TNFSF4/VNN1/OSMR/PTGES	36	22	0.5367211868955515	1.3060762393425807
GO:0002528	regulation of vascular permeability involved in acute inflammatory response	4	0	0	0	0	0	1	1	1		0	0	0	0
