GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.0027183146449201497	30/16034	0.1712043225651907	0.6772346014811945	0.6212323337477571	SESN2/SSBP1/RRM2B/FLCN/SLC25A36/PRIMPOL/PPARGC1A/METTL4	8		21	3	4.27569293943196	-0.354333891680467	0.6540101260651414
GO:0000003	reproduction	1410	0	0	1	1	1		0		0	0	0	0	0
GO:0000012	single strand break repair	11	0.0010193679918450561	11/16034	0.3280867469727362	0.832628228452206	0.7637760627917173	APLF/ERCC6/SIRT1	3		11	4	2.2396486825595985	0.5799753456963662	1.3436187298228477
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.009174311926605505	131/16034	0.2835017393305268	0.803091808191884	0.7366820849460154	H1-0/USP51/RMI2/H1-4/H1-10/SHLD1/APLF/SIRT6/RPA2/KDM1A/RAD51AP1/RBBP8/YEATS4/H1-2/POLQ/BCL6/ERCC6/MAD2L2/WDR48/RAD51/HELQ/EPC2/SMCHD1/STAT6/CGAS/UBE2B/MSH2	27		89	17	18.120793886164023	-0.06384676830107754	0.8369550742268006
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0		0	0	0	0	0
GO:0000022	mitotic spindle elongation	12	0	0	1	1	1		0		0	0	0	0	0
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	6.795786612300374e-4	24/16034	0.95088925392482	0.999999928309121	0.9173073671255934	RPL11/DDX28	2		15	2	3.0540663853085435	-0.42332676316741874	0.6152984827009635
GO:0000028	ribosomal small subunit assembly	17	0.0010193679918450561	17/16034	0.6278677037240326	0.9866594824059889	0.9050700769406077	RPS27L/RPS27/RPS15	3		8	0	1.6288354054978897	-Inf	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.0020387359836901123	33/16034	0.5808708301195642	0.9866594824059889	0.9050700769406077	ACOT1/ACSL1/ELOVL7/ACOT2/HACD1/ACOT4	6		24	5	4.886506216493669	0.022960339461001022	0.897701829692357
