Unnamed: 0	GSM4210635	GSM4210636	GSM4210639	GSM4210640	GSM4210643	GSM4210644
ENSG00000000003	14	19	9	15	2	9
ENSG00000000419	762	666	761	715	788	710
ENSG00000000457	189	272	171	324	160	339
ENSG00000000460	69	140	58	119	61	183
ENSG00000000938	15402	22329	9312	14430	11924	16001
ENSG00000000971	29	15	33	77	55	42
ENSG00000001036	2388	3292	1891	3083	2210	3661
ENSG00000001084	5447	8995	7399	10618	11529	10346
ENSG00000001167	1077	904	1102	1068	1126	997
ENSG00000001460	34	71	31	84	19	97
ENSG00000001461	230	520	327	756	195	643
ENSG00000001497	413	438	489	791	559	676
ENSG00000001561	701	653	256	380	466	517
ENSG00000001629	505	629	460	812	442	879
ENSG00000001630	5937	4297	5146	3390	6131	4437
ENSG00000001631	598	574	570	789	514	876
ENSG00000002016	53	146	56	210	85	195
ENSG00000002330	218	389	198	454	245	588
ENSG00000002549	2196	2420	1509	2323	2213	2682
ENSG00000002586	3952	4350	4015	5736	3832	4775
ENSG00000002587	38	298	104	964	173	1514
ENSG00000002726	48	46	41	90	118	181
ENSG00000002745	2	6	5	13	1	4
ENSG00000002746	1	4	1	3	2	3
ENSG00000002822	298	688	317	778	346	985
ENSG00000002834	8714	23254	8294	23365	10017	26627
ENSG00000002919	806	740	679	1039	1044	1189
ENSG00000002933	193	74	340	909	1069	1883
ENSG00000003056	10766	10779	9664	12299	11268	13331
ENSG00000003147	63	120	28	102	44	164
ENSG00000003249	18	26	4	15	11	24
ENSG00000003393	348	512	306	546	384	623
ENSG00000003400	170	445	189	552	171	667
ENSG00000003402	12482	4365	11442	4584	11467	5639
ENSG00000003436	562	509	376	443	635	630
ENSG00000003509	121	216	208	331	169	300
ENSG00000003756	2116	1943	2729	3712	2498	3448
ENSG00000003987	25	14	23	40	36	40
ENSG00000004059	1440	2137	1115	2320	1489	2555
ENSG00000004139	113	390	100	514	113	555
ENSG00000004142	1272	1814	1101	1801	1314	1910
ENSG00000004399	7563	9292	4948	12035	7393	15191
ENSG00000004455	912	1169	906	1664	931	1554
ENSG00000004468	215	213	293	372	382	457
ENSG00000004478	923	957	1146	1066	1424	1160
ENSG00000004487	1175	1032	1144	1382	1251	1303
ENSG00000004534	852	776	981	1435	1140	1471
ENSG00000004660	108	1005	201	1177	260	1151
ENSG00000004700	1711	1646	1211	1776	1460	1936
ENSG00000004766	322	623	314	610	354	820
ENSG00000004777	24	51	52	60	52	63
ENSG00000004779	736	900	641	910	663	967
ENSG00000004799	350	6546	261	8629	264	9029
ENSG00000004809	16	43	4	48	11	79
ENSG00000004846	14	6	14	3	6	4
ENSG00000004864	864	697	598	596	783	695
ENSG00000004897	1312	1208	880	1224	1197	1370
ENSG00000004961	395	521	313	638	349	719
ENSG00000004975	283	793	442	1149	432	986
ENSG00000005001	7	11	16	20	8	21
ENSG00000005007	2697	2727	3075	4635	3701	4482
ENSG00000005020	2977	3347	1910	2895	2336	3630
ENSG00000005022	3906	4778	5013	6910	5488	7444
ENSG00000005059	348	637	363	956	273	772
ENSG00000005075	537	760	619	1115	734	1345
ENSG00000005100	496	368	441	446	591	492
ENSG00000139263	406	471	401	507	433	522
ENSG00000005175	221	583	280	667	290	739
ENSG00000005187	26	38	20	51	16	39
ENSG00000005189	36	36	27	45	11	39
ENSG00000005194	581	499	542	586	641	587
ENSG00000005206	231	461	470	1136	372	974
ENSG00000005238	2137	2897	1428	2659	1780	3064
ENSG00000005243	33	57	60	112	36	85
ENSG00000005249	101	172	58	142	90	110
ENSG00000005302	548	892	628	1486	516	1173
ENSG00000005339	2276	2151	2867	3571	3173	2992
ENSG00000005379	47	106	72	294	33	163
ENSG00000005381	53	147	124	278	51	204
ENSG00000005436	161	154	148	312	187	259
ENSG00000005448	19	61	32	126	18	73
ENSG00000005469	61	144	61	164	28	190
ENSG00000005471	56	42	58	104	58	141
ENSG00000005483	1835	1965	1662	2609	1936	2613
ENSG00000005486	1038	1753	797	1576	1053	1653
ENSG00000005513	30	10	83	109	51	27
ENSG00000005700	1636	1127	1306	1019	1439	1280
ENSG00000005801	301	259	362	403	398	420
ENSG00000005810	3069	2689	2273	3487	2258	3824
ENSG00000005812	1811	1871	1334	2391	1316	2084
ENSG00000005844	1301	3147	1440	4416	1158	3314
ENSG00000005882	44	374	114	527	86	448
ENSG00000005884	1859	5327	1412	4362	1412	4643
ENSG00000005889	1252	482	1372	704	1202	669
ENSG00000005893	7860	8966	7738	10329	7946	10657
ENSG00000005981	13	6	13	6	13	18
ENSG00000006007	684	2224	572	2380	642	2244
ENSG00000006015	646	1119	860	1897	995	1946
ENSG00000006016	50	32	57	11	79	30
ENSG00000006025	21	153	57	416	36	240
ENSG00000006062	482	1312	486	1548	671	1614
ENSG00000006071	7	14	14	16	12	20
ENSG00000006118	631	430	452	384	673	360
ENSG00000006125	2453	2812	2318	3021	2376	3044
ENSG00000006194	483	621	748	1100	748	775
ENSG00000006210	12	10	16	26	19	13
ENSG00000006282	1214	2240	279	843	384	777
ENSG00000006283	16	61	14	29	18	16
ENSG00000006327	144	762	342	989	390	1012
ENSG00000006377	3	7	1	2	1	10
ENSG00000006432	20	18	34	69	45	94
ENSG00000006451	1797	2267	1784	2469	2053	2614
ENSG00000006453	145	64	201	89	317	83
ENSG00000006459	1432	1265	1600	2355	1666	2247
ENSG00000006530	391	318	318	410	313	424
ENSG00000006534	1959	4329	1220	4078	1800	4978
ENSG00000006555	12	17	20	64	12	24
ENSG00000006576	835	1058	622	1157	631	1256
ENSG00000006607	1352	660	987	648	1198	815
ENSG00000006625	420	618	355	698	466	782
ENSG00000006634	253	353	214	353	209	318
ENSG00000006638	25	32	26	59	39	40
ENSG00000006652	990	600	1189	696	957	644
ENSG00000006695	288	447	250	420	270	436
ENSG00000006704	173	414	156	317	188	376
ENSG00000006712	449	564	652	975	828	890
ENSG00000006715	1397	2133	979	2328	1142	2468
ENSG00000006740	4	2	4	12	2	16
ENSG00000006744	934	1064	758	1593	957	1452
ENSG00000006747	1886	3575	729	1736	1113	2945
ENSG00000006756	328	652	274	696	403	846
ENSG00000006757	76	117	53	150	47	137
ENSG00000006831	1323	1230	1066	1237	1234	1063
ENSG00000006837	10	33	8	37	6	29
ENSG00000007038	91	126	36	83	77	126
ENSG00000007047	441	512	488	806	630	856
ENSG00000007080	552	682	619	919	679	947
ENSG00000007129	24	50	35	57	21	28
ENSG00000007168	2987	3266	3145	4079	3008	3985
ENSG00000007202	4008	7687	3098	7577	3608	8208
ENSG00000007237	3712	7440	6035	10279	8039	12734
ENSG00000007255	312	430	363	690	368	615
ENSG00000007264	2459	4241	1574	3262	2087	3948
ENSG00000007312	17	26	124	250	77	165
ENSG00000007341	165	237	121	278	110	202
ENSG00000007350	56	109	3	36	11	28
ENSG00000007372	22	31	2	3	5	5
ENSG00000007376	227	493	318	762	349	810
ENSG00000007384	288	383	92	259	270	353
ENSG00000007392	834	463	950	1114	1016	906
ENSG00000007402	4	8	15	49	17	11
ENSG00000007516	12	17	30	90	31	26
ENSG00000007520	487	783	601	1154	650	1087
ENSG00000007541	270	559	267	741	296	691
ENSG00000007545	962	555	775	828	1024	786
ENSG00000007866	50	222	41	218	36	217
ENSG00000007923	897	940	901	1387	1070	1400
ENSG00000007933	1	11	1	1	2	11
ENSG00000007944	111	101	421	257	349	287
ENSG00000007952	2	3	6	9	1	1
ENSG00000007968	2	10	8	25	1	19
ENSG00000008018	1895	1677	1645	1904	1824	1926
ENSG00000008056	13	13	26	1	25	22
ENSG00000008083	2488	1771	4009	2136	3880	2443
ENSG00000008086	150	127	191	176	176	198
ENSG00000008118	192	2	129	4	233	4
ENSG00000008128	466	516	877	1399	821	1108
ENSG00000008130	2311	4781	1754	5610	2355	6464
ENSG00000008226	13	15	30	35	20	25
ENSG00000008256	918	490	896	668	995	637
ENSG00000008277	7	10	7	21	4	14
ENSG00000008282	1855	1615	1487	1775	1670	1852
ENSG00000008283	354	306	366	496	415	390
ENSG00000008294	8369	4975	8784	4702	10167	5353
ENSG00000008300	18	62	42	142	22	69
ENSG00000008311	9	12	45	59	22	40
ENSG00000008323	10	14	9	10	8	25
ENSG00000008324	209	217	258	338	238	319
ENSG00000008382	644	692	681	1062	860	1434
ENSG00000008394	1342	1638	1074	960	1339	1408
ENSG00000008405	556	338	771	481	861	385
ENSG00000008441	240	16	119	49	136	41
ENSG00000008513	4474	2955	3312	2825	4437	3356
ENSG00000271447	91	82	49	223	71	246
ENSG00000008517	139	80	798	902	239	184
ENSG00000008710	1358	1244	1324	2206	1680	2109
ENSG00000008735	5	9	8	7	9	10
ENSG00000008838	532	899	448	1302	525	1125
ENSG00000008853	361	3259	441	3447	529	3325
ENSG00000008869	578	1134	438	1258	502	1311
ENSG00000008952	1984	3205	2120	3237	1960	3228
ENSG00000008988	5935	6281	9130	11004	7420	8486
ENSG00000009307	11904	13519	12219	14702	11723	14665
ENSG00000009335	3428	2554	2867	2806	3228	2997
ENSG00000009413	393	646	429	729	314	649
ENSG00000009694	7	5	60	76	10	37
ENSG00000009724	30	44	52	90	31	76
ENSG00000009765	1	5	1	3	4	2
ENSG00000009780	109	227	78	290	115	318
ENSG00000009790	141	260	403	1022	205	529
ENSG00000009830	187	311	173	296	198	341
ENSG00000009844	613	904	600	891	567	966
ENSG00000009950	546	997	375	891	453	1120
ENSG00000009954	1746	2366	1465	2756	1734	3121
ENSG00000010017	721	1127	925	1268	1065	1260
ENSG00000010030	24	10	22	15	32	1
ENSG00000010072	200	200	200	260	241	264
ENSG00000010165	554	1103	516	1108	594	1219
ENSG00000010219	147	428	152	521	167	730
ENSG00000010244	4449	3455	3643	3962	4081	3878
ENSG00000010256	2814	4887	2591	4904	2818	5097
ENSG00000010270	1103	859	1307	1009	1479	1235
ENSG00000010278	8664	14410	6284	11281	7290	13233
ENSG00000010292	276	900	229	1163	267	936
ENSG00000010295	153	988	180	1779	200	1951
ENSG00000010310	4	3	21	37	6	21
ENSG00000010318	30	110	57	176	68	245
ENSG00000010319	123	364	74	225	82	277
ENSG00000010322	522	2011	1211	4217	1147	4076
ENSG00000010327	15977	20715	25056	44428	33298	52677
ENSG00000010361	52	217	68	311	61	320
ENSG00000010404	2522	4588	2316	5028	2540	5087
ENSG00000010539	278	241	309	444	224	342
ENSG00000010610	3233	5326	3193	8432	3841	8179
ENSG00000010626	81	111	54	133	65	118
ENSG00000010671	1010	1828	638	1874	901	2171
ENSG00000010704	30	143	33	190	66	259
ENSG00000010803	93	105	113	161	117	185
ENSG00000010810	770	1293	1250	2722	794	1487
ENSG00000010818	5395	527	6230	1282	5729	798
ENSG00000011007	3363	1575	3089	1630	3738	1859
ENSG00000011009	900	1109	931	1552	1165	1695
ENSG00000011021	621	682	569	1018	710	1074
ENSG00000011028	415	568	1000	2352	1012	1963
ENSG00000011052	42	24	6	50	39	41
ENSG00000011083	18	23	48	115	24	62
ENSG00000011114	874	1159	1175	1218	1696	1376
ENSG00000011132	391	385	541	564	601	590
ENSG00000011143	35	140	57	198	43	198
ENSG00000011198	499	1521	360	1187	528	1289
ENSG00000011201	61	158	80	295	87	238
ENSG00000011243	692	1025	852	1838	863	1445
ENSG00000011258	222	487	234	600	223	693
ENSG00000011260	813	1172	737	1338	838	1407
ENSG00000011275	789	963	896	1500	883	1386
ENSG00000011295	499	658	613	1013	620	1170
ENSG00000011304	7285	4572	8944	6752	9108	6285
ENSG00000011332	2	1	8	2	2	4
ENSG00000011347	11	9	7	17	5	9
ENSG00000011376	277	404	217	493	234	525
ENSG00000011405	692	934	581	1126	469	784
ENSG00000011422	14658	4238	16586	4218	18573	4806
ENSG00000011426	25	29	62	105	12	67
ENSG00000011451	1111	758	1046	986	1484	1071
ENSG00000011454	561	781	617	1162	688	1189
ENSG00000011465	2	1	3	5	5	1
ENSG00000011478	137	194	211	377	193	305
ENSG00000011485	584	723	418	877	464	783
ENSG00000095713	323	745	240	846	246	752
ENSG00000011566	990	1534	728	1319	795	1454
ENSG00000011600	10737	16990	14878	25049	16361	26443
ENSG00000011638	178	261	125	267	126	285
ENSG00000012048	45	104	58	133	32	152
ENSG00000012061	561	924	639	1528	959	2078
ENSG00000012124	324	715	316	620	447	1067
ENSG00000012171	14	38	12	16	9	11
ENSG00000012174	411	519	226	479	309	530
ENSG00000012211	159	195	124	240	165	250
ENSG00000012223	6	3	15	74	19	87
ENSG00000012232	395	848	299	1018	462	1050
ENSG00000012660	4485	3276	3660	2853	4559	3887
ENSG00000012779	1069	1873	632	4082	240	425
ENSG00000012817	785	1287	865	1827	857	1663
ENSG00000012822	811	1816	592	1871	747	1963
ENSG00000012963	711	1523	463	1252	600	1297
ENSG00000012983	976	974	894	1163	906	1138
ENSG00000013016	220	545	213	693	263	793
ENSG00000013275	824	748	782	754	945	735
ENSG00000013288	1739	2519	1617	3319	2140	3475
ENSG00000013293	1	1	3	2	8	3
ENSG00000013306	1509	2415	1318	2889	1762	2733
ENSG00000013364	5512	5373	4169	6515	6082	7456
ENSG00000013374	2125	1355	1344	1802	1427	1716
ENSG00000013375	865	581	971	685	1101	774
ENSG00000013392	68	158	79	213	81	161
ENSG00000118004	1747	1807	2507	3653	2053	2735
ENSG00000013503	81	132	54	203	79	188
ENSG00000013523	825	2078	618	1904	807	2429
ENSG00000013561	860	1153	636	1095	712	1241
ENSG00000013563	1059	1671	808	1638	1116	2083
ENSG00000013573	168	330	85	225	378	789
ENSG00000013583	671	994	757	1150	783	1117
ENSG00000013588	94	2	192	9	288	13
ENSG00000013619	1077	57	976	28	1523	33
ENSG00000013725	169	221	1024	2098	322	690
ENSG00000013810	156	861	468	1712	297	1309
ENSG00000014123	712	1311	689	1624	645	1521
ENSG00000014138	152	219	149	288	167	273
ENSG00000014164	449	393	361	610	486	560
ENSG00000014216	2561	3919	2319	4454	2734	5139
ENSG00000014257	123	198	62	201	55	258
ENSG00000014641	4120	5478	2238	3900	2733	4753
ENSG00000014824	950	1299	660	1170	847	1691
ENSG00000014914	129	206	39	112	82	138
ENSG00000014919	254	676	277	747	239	882
ENSG00000015133	151	564	565	1475	327	1094
ENSG00000015153	173	291	221	402	172	356
ENSG00000015171	1019	1124	808	1358	1048	1449
ENSG00000015285	476	1462	608	2470	677	2348
ENSG00000015475	4272	1345	3807	1412	4632	1729
ENSG00000015479	3432	2832	4127	4359	3809	3587
ENSG00000015532	93	383	103	700	99	556
ENSG00000015568	418	439	813	142	675	71
ENSG00000015676	528	969	522	1307	523	1372
ENSG00000016391	8	5	2	13	1	3
ENSG00000016864	190	432	201	465	161	514
ENSG00000017260	2819	1856	3031	1933	2684	2042
ENSG00000017427	42	85	115	616	105	667
ENSG00000017483	36	19	49	73	64	66
ENSG00000135597	1402	3012	1135	3083	1299	2996
ENSG00000163820	2671	752	1895	811	1919	912
ENSG00000018280	1061	2627	1094	3184	1289	2696
ENSG00000018408	189	382	92	222	115	272
ENSG00000018510	1111	1739	899	1711	982	2050
ENSG00000018610	169	275	193	360	219	390
ENSG00000018699	237	171	268	211	244	187
ENSG00000018869	47	43	52	83	39	81
ENSG00000019102	10	16	1	8	2	18
ENSG00000019144	2622	443	2997	294	3501	428
