GeneID	GSE16250_GPL570_MTB_control_blood_PBMC_up.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_up.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_up.tsv	GSE83456_GPL10558_EPTB_control_blood_up.tsv	GSE83456_GPL10558_PTB_control_blood_up.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv
1	0	0.011674856653077936	0.00808741116222008	0	0	0.09885186431166793
10	0	0.0016713409484560016	0.11603666257111056	0	0.04117578125168941	0.22478594242152505
100	0	0.46723283867606347	0	0	0	0.2532649749318576
1000	0	0	0.08711847875072044	0.23110668160797465	0.2952207927368553	0
10000	0	0	0	3.5374359872101264	0	0
10001	0.2442394480073925	0.0653770271347085	0.9546660068577176	0	0	0
10002	0	0.02366198753143567	0	0.0883846623404495	0	0.019748848571901133
10003	0.45754066090465695	1.3244992220921847e-4	0	0	0	0.16831880969090873
10004	0	0.030328938976043912	0	0	0.02893033210424867	0.04726620679057425
10005	0	0	0	0.23380143289385868	0	0
10006	2.6467981416275124	0.11037646894055436	0	0	0.5213654605689453	0
10007	0	0.01608344913681753	0	0.6740871501903398	0.2376216597580605	1.9176916503533867
10008	0	0	0.005454520464494128	0.18738421226076876	0	0.04806766111466443
10009	0	0.27840025934558543	0.3274312518341578	0	0.8908482939400084	0
1001	0.1332722276439684	0.04641657727666893	0	0.3814865296350738	0	0
10010	1.1765314337630417	0	0	3.834150893111493	14.795798759056003	0
10011	0	0	0	0	0.48554514861663867	0
10013	0	0.6451576395851091	1.0233364464807917	1.27485667268521	2.2084878087842927	0
10014	0.5805302031468198	0	0	0	0.6781144975440279	0.09034613801055348
10015	0	0	0	0	0.48554514861663867	0.480405686673306
10016	0	0.012560627615148867	0	0.96283366814325555	0	0
10017	2.944335019520528	0	0.8455397012968642	0.08689350817740049	0.48554514861663867	0.1903402964308896
10018	1.238599441544036	0.04197349650653001	0	0	0	0
10019	0	0.02718552901776673	0.04028115979863883	10.683591255549745	23.457229800760818	0.10918913024849795
1002	1.4450287547263687	0.02709128395984893	0.18725529641352728	0	0	0.17037599235703688
10020	0	0.07493448603333172	0	0	0.48554514861663867	0.0023823079010938386
10022	0.07456991976362548	0.039816721040640185	0	0	0	0
10023	1.1096845865852585	0.7216315537960887	0.3104124857184567	0.06660470909847538	0	0.1815669088842373
10024	1.1646438154023873	0	0	0	0	0
10025	0.15278187947078026	0.0015820502009066262	0.18376325913830432	3.9707622984297815	3.573409276134389	0
10026	0	0.5842274241865373	0.7732495880023684	0	0	0
10029	0	0.015399208817576934	0.03655993030948028	0	0.48554514861663867	0
1003	0	0.028964799443960687	0	2.197031768601973	0.1803855462902454	0
