names	GSE100897_MTB_control_24h_THP-1_dn.tsv	GSE100897_MTB_control_6h_THP-1_dn.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE112482_MTB_control_lung_ILC1_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE112482_MTB_control_lung_ILC3neg_dn.tsv	GSE112482_MTB_control_lung_ILC3pos_dn.tsv	GSE112482_MTB_control_lung_NK_dn.tsv	GSE112482_MTB_control_lung_susp_dn.tsv	GSE112483_MTB_control_lung_AM_dn.tsv	GSE112483_MTB_control_lung_endo_dn.tsv	GSE112483_MTB_control_lung_epi_dn.tsv	GSE112483_MTB_control_lung_gd_dn.tsv	GSE112483_MTB_control_lung_mait_dn.tsv	GSE112483_MTB_control_lung_NK_dn.tsv	GSE112483_MTB_control_lung_NKT_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE223863_MTB_control_24h_BALF_alveolar_macrophage_dn.tsv	GSE223863_MTB_control_2h_BALF_alveolar_macrophage_dn.tsv	GSE223863_MTB_control_72h_BALF_alveolar_macrophage_dn.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE256184_MTB_control_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE112483_MTB_control_lung_endo_dn.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_epi_dn.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_gd_dn.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_mait_dn.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_NK_dn.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_NKT_dn.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE132283_MTB_control_blood_macrophage_dn.tsv	0.021052631578947368	0.021052631578947368	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.01818181818181818	0	0.017241379310344827	0.05263157894736842	0.025210084033613446	0	0.06796116504854369	0	0.047619047619047616	0	0.022222222222222223	0.022222222222222223	0	0	0	0.05555555555555555	0.05555555555555555	0.034482758620689655	0.054945054945054944	0.06521739130434782	0
GSE141656_MTB_control_blood_blood_dn.tsv	0.05113636363636364	0.05113636363636364	0.04878048780487805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0.038461538461538464	0.041666666666666664	0.0673076923076923	0.008928571428571428	0.045454545454545456	0.07446808510638298	0	0.01652892561983471	0.041666666666666664	0.05063291139240506	0.05063291139240506	0	0	0	0.06060606060606061	0.06060606060606061	0.0125	0.060836501901140684	0.08536585365853659	0
GSE143627_MTB_control_PBMC_macrophage_dn.tsv	0.26424870466321243	0.26424870466321243	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01818181818181818	0.03	1	0	0.018691588785046728	0.20567375886524822	0.03614457831325301	0.012345679012345678	0.05263157894736842	0.012195121951219513	0.07058823529411765	0.009259259259259259	0.06766917293233082	0.06766917293233082	0	0	0	0.18840579710144928	0.18840579710144928	0.029411764705882353	0.08681672025723473	0.13846153846153847	0
GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038461538461538464	0	1	0	0.021739130434782608	0.02127659574468085	0	0.024390243902439025	0	0	0	0.015384615384615385	0.015384615384615385	0	0	0	0	0	0.015873015873015872	0.015503875968992248	0.014084507042253521	0
