GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
10007	0	0	0	0	0	-0.3663699086799089	0	0	0	0	0	-0.3289540482226992	0	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3470056803588794
10038	0	0	0	0	-0.9529588070219518	0	0	-0.400225551396618	0	0	0	0	-1.0142312913209488	0	-0.9368260564977324	0	0	0	0	0	0
10046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10051	0	0	0	0	-0.5675493615076231	0	-1.1341008867270836	0	0	-0.7420906684078703	0	-0.2102356349227999	0	-0.8714874358815875	-0.5276241833486065	0	0	0	0	0	0
10057	0	0	0	0	-1.0548811854800575	-2.035144929181413	-0.9889380890276072	-1.0262836789678818	-0.812261840540099	0	-0.4762825594199825	-0.530472738020166	-1.2554356546998244	-1.5038522256475757	-1.351928698057467	0	0	0	0	0	-1.842563580816959
10058	0	0	0	0	0	0	0	0	-0.28784752774077094	0	-0.22975618642683404	-0.34936876387847765	0	-1.5303686689274778	0	0	0	0	0	0	0
10059	0	0	0	0	0	0	0	0	0	-0.42778504365136166	0	0	0	0	0	0	0	0	0	0	0
10099	0	0	0	0	0	0	0	0	0	-0.4030517654654165	-0.20695578919124025	0	0	0	0	0	0	0	0	0	0
10112	0	0	0	0	0	-1.39351635859366	-2.840271805022033	0	0	0	0	-0.4535434073447788	0	0	0	0	0	0	0	0	0
10123	0	0	0	0	-1.2664664091587223	0	0	0	-0.4492558721978927	-0.8434727616042121	0	0	0	0	-1.9686811624702287	0	0	0	0	0	0
10131	0	-1.4032118266614573	0	0	0	0	0	0	0	0	0	-0.3975842120182744	-0.5619591106687204	0	0	0	0	0	0	0	0
10146	0	0	0	0	0	0	0	0	0	-0.5226997305583062	0	-0.42438654028187967	0	0	0	0	0	0	0	0	0
10150	0	0	0	0	-1.4492926358366582	-1.0465716360469153	0	0	-0.605708983028403	-0.6507961742914324	0	0	0	-1.4804284998972916	-1.8997850526589852	0	0	0	0	0	-0.9462663398121612
10153	0	0	0	0	0	0	0	0	0	-0.6432195733213736	0	0	-0.365042827757972	0	0	0	0	0	0	0	0
10165	0	0	0	0	0	0	0	0	0	0	0	-0.4285562147553203	0	0	0	0	0	0	0	0	0
1017	0	0	0	0	0	0	-0.796849741409689	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10174	0	0	0	0	0	0	0	0	-0.6501604028431562	0	0	0	-0.59952999498041	-0.6465967255164643	0	0	0	0	0	0	-0.8835205595712825
10180	0	-1.0469645623293902	-0.8112572069823029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	0	-1.009032438406814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	0	-0.7339113256044872	0	0	0	0	0	0	0	-1.0737871884634973	-0.4916805288265671	0	0	0	0	0	0
10206	0	0	0	0	0	0	0	0	0	-0.47995069153938574	0	-0.47803730763304575	0	0	0	0	0	0	0	0	0
1021	0	0	0	0	0	-1.1269421378557654	0	0	0	-0.5057633734770794	0	0	0	0	0	0	0	0	0	-0.3107479368769164	0
1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10221	0	0	0	0	0	-1.065541482000031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10227	0	0	0	0	0	0	0	0	0	0	-0.49572769592843285	-0.2543427797043438	0	0	0	0	0	0	0	0	0
