GeneID	GSE84076_MTB_control_blood_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE100897_MTB_control_24h_THP-1_up.tsv	GSE100897_MTB_control_6h_THP-1_up.tsv	GSE112482_MTB_control_lung_ILC1_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE112482_MTB_control_lung_ILC3neg_up.tsv	GSE112482_MTB_control_lung_ILC3pos_up.tsv	GSE112482_MTB_control_lung_NK_up.tsv	GSE112482_MTB_control_lung_susp_up.tsv	GSE112483_MTB_control_lung_AM_up.tsv	GSE112483_MTB_control_lung_endo_up.tsv	GSE112483_MTB_control_lung_gd_up.tsv	GSE112483_MTB_control_lung_mait_up.tsv	GSE112483_MTB_control_lung_NK_up.tsv	GSE112483_MTB_control_lung_NKT_up.tsv	GSE112483_MTB_control_lung_epi_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE223863_MTB_control_2h_BALF_alveolar_macrophage_up.tsv	GSE223863_MTB_control_24h_BALF_alveolar_macrophage_up.tsv	GSE223863_MTB_control_72h_BALF_alveolar_macrophage_up.tsv	GSE256184_MTB_control_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv
10099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3292410207050238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10112	0	0	2.511345399866113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9877692139588685	0	0	0	0	0	1.0677137490285795	0	0	0	0	0	0	0	0	0	0	0
10123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5111613902428935	0	0	0	0	0	0	0	0	0	0	0	0
10131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2860203453909742	0	0	0	0	0	0	0	0	0.9894250784316504	0	0	0	0	0	0	0	0	0	0	0
10150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10153	0	0.789325020540802	0.7359692752452462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41094579401532905	0	0	0	0	0	0	0	0	0	1.0043030491546845	0	0	0	0	0	0	0.341303245285281	0.341303245285281
10165	0	1.0832564747574387	1.0126034863919522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3203570779925031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6702853437815839	0	0	0	0	0	4.187495161934948	2.935943063407682	0	0	0	1.1222472732499753	0	0	0	0	0	0
10174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4387589018363225	0	0	0	0	0	0	0	0	0.26038186805194724	0.26038186805194724	0	0
10180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4014502442599152	0	0	0	0	0	0
1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10190	0	0	1.439990234073235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3597195078104808	0.6465717383800957	0	0	0	0	0	0	0	0.27843115664413465	0.27843115664413465	0	0
102	0	0	1.3182041231625148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4830160631565055	0	0	0	0	0	0	0.17840730275523525	0.17840730275523525
1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0792331785891127	0	0	0	0	0	1.7499256243562826	1.526091985094868	0	2.209404349834326	0	1.3130166011226847	0	0	0	0	0	0
1022	0	0	1.397964752993456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.628017181100926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10221	0	3.1122180737778846	2.2429244423044583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7562818030709213	0	0.5517987727013209	0	0	0	1.2531913060402975	1.649374344563207	1.6789385290276757	0	0	0	0	0	0	0	0	0.797398984847822	0.797398984847822
10227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1908359129413453	0	0	0	0	0	0	0	1.2953330088405357	0	0	0	0	0	0	0	0	0	0
10237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5647139112787903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4311511178565149	0	1.3858900054540806	0	0	0	0	0	0	0	0	0	0
1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0850897610099004	1.602019803667008	0.9012903318061932	0	0	0	0.7840383750277207	2.023491693849799	2.7626713278428703	0	0	0	0	0	0	0	0	0	0
1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33877452714804684	0	0	0	0	0	0	0	0	0	0	0	0
10270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5017092610994791	0	0	0	0	0	0	0	0	0	0	0
10273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9511149421315026	0	0	0	0	0	0	0	0	0	0
10276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5042598136125176	1.541733781955973	0	0	0	1.0270133300269375	0	0	0	0	0	0
10285	0	1.291342365547978	1.2246085056619125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2630508176077799	0.21698208704795363	0	0	0	0	0	1.3283511050723755	0	0	0	0	0.6922380141171748	0	0	0	0	0.29093819802598325	0.29093819802598325
1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7558580319506082	0	0	0	0	0.5620802229628382	2.5574900144726818	0	0	0	0	0	0	0	0	0	0	0
10298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.570013332332643	0	0.28184723214560664	0.4190536384385724	0	0	0	0	0	0.810840809273467	1.1932887020486571	0	0	0	0	0	0	0	0	0	0
10318	0	2.400507089734492	1.7108362291268884	1.021383595149447	1.021383595149447	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5835943129999426	2.1404715500775366	2.3982534293945945	1.1738771916237216	0.8856294954687353	0	0	0	1.040271364875602	1.715397582974412	2.5703800476207745	0	2.3508761183471494	0	1.0481253431435356	0	1.15476567581052	0	0	1.9830708668571368	1.9830708668571368
10320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6254860950582979	0	0	0.1922652836350908	0	0	0	0	0	1.998370815027373	1.5123777691922755	0	0	0	0	0	0	0	0	0	0
10329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6880591632576072	0	0	0.2912822513309322	0	0	0	0.7537491869805851	0	1.5243936056977518	0	0	0	0	0	0	0	0	0	0
10398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9386715515849384	0	0	0	0	0	2.221747489647095	0	0	0	0	0	0	0	0	0	0
10434	0	2.0939631261955447	2.36475607935882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2864927104702379	0	0	0	0	0	0	0	0	0	0	0	0
10451	0	1.924841011584316	2.075709614281485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29345217747050445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10493	0	0	1.2161862966250525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5395947235176641	0	0	0	0	0	0	0	0	0	0	0	0
10494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8013483999050284	0	0	0	0	0	0	0	0	0	0
1050	0	1.8999181914087333	1.997082785590995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10513	0	0.9322767695784736	0.9678519514317766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3517861035371709	0	0	0	0	0	0	0	0	0	0	0	0
1052	0	2.5181462536649013	2.694271739441436	1.1718494517823816	1.1718494517823816	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6325309020765513	0	0	0	0.942795503575468	0	0	0	0	0	0	1.2357108884392003	0	0	0	0	0	0	0	0	0
10523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20057690491565	0.20057690491565
