names	GSE100897_MTB_control_24h_THP-1_up.tsv	GSE100897_MTB_control_6h_THP-1_up.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE112482_MTB_control_lung_ILC1_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE112482_MTB_control_lung_ILC3neg_up.tsv	GSE112482_MTB_control_lung_ILC3pos_up.tsv	GSE112482_MTB_control_lung_NK_up.tsv	GSE112482_MTB_control_lung_susp_up.tsv	GSE112483_MTB_control_lung_AM_up.tsv	GSE112483_MTB_control_lung_endo_up.tsv	GSE112483_MTB_control_lung_epi_up.tsv	GSE112483_MTB_control_lung_gd_up.tsv	GSE112483_MTB_control_lung_mait_up.tsv	GSE112483_MTB_control_lung_NK_up.tsv	GSE112483_MTB_control_lung_NKT_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE223863_MTB_control_24h_BALF_alveolar_macrophage_up.tsv	GSE223863_MTB_control_2h_BALF_alveolar_macrophage_up.tsv	GSE223863_MTB_control_72h_BALF_alveolar_macrophage_up.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv	GSE256184_MTB_control_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE84076_MTB_control_blood_up.tsv
GSE112483_MTB_control_lung_endo_up.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_epi_up.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_gd_up.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_mait_up.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_NK_up.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE112483_MTB_control_lung_NKT_up.tsv	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE132283_MTB_control_blood_macrophage_up.tsv	0.2616822429906542	0.2616822429906542	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.18324607329842932	0.31155778894472363	0.012121212121212121	0.2057877813504823	0.43023255813953487	0.13023255813953488	0.07471264367816093	0.20123839009287925	0.13333333333333333	0.16766467065868262	0.19197707736389685	0.16444444444444445	0.16444444444444445	0	0	0	0.26570048309178745	0.26570048309178745	0.19263456090651557	0.3220858895705521	0.29721362229102166	0.0111731843575419
GSE141656_MTB_control_blood_blood_up.tsv	0.17482517482517482	0.17482517482517482	0.11864406779661017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18324607329842932	1	0.19548872180451127	0.015625	0.07058823529411765	0.21363636363636362	0.19491525423728814	0.0759493670886076	0.12598425196850394	0.08974358974358974	0.04727272727272727	0.06440677966101695	0.059602649006622516	0.059602649006622516	0	0	0	0.2698412698412698	0.2698412698412698	0.08873720136518772	0.14634146341463414	0.13214285714285715	0
GSE143627_MTB_control_PBMC_macrophage_up.tsv	0.3443708609271523	0.3443708609271523	0.23703703703703705	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31155778894472363	0.19548872180451127	1	0.02040816326530612	0.14925373134328357	0.3422222222222222	0.13548387096774195	0.1320754716981132	0.1423487544483986	0.2	0.16606498194945848	0.13680781758957655	0.23417721518987342	0.23417721518987342	0	0	0	0.25	0.25	0.16065573770491803	0.23389830508474577	0.19727891156462585	0.02702702702702703
GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.018691588785046728	0.018691588785046728	0.013888888888888888	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012121212121212121	0.015625	0.02040816326530612	1	0	0.009708737864077669	0.025	0.04	0.008888888888888889	0.08333333333333333	0.0043859649122807015	0	0.01	0.01	0	0	0	0.01	0.01	0.007751937984496124	0.007462686567164179	0.0038910505836575876	0
