organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TIME_POINT	SAMPLE_CONDITION	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	library_source	library_strategy	cell.type.ch1	tissue.ch1	time.ch1	CONTRAST	SIGNATURE_NAME	TB	EXPRMAT_PATH
Homo sapiens	GSE112482	GSM3070974	disease without treatment	Sample_857_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 857	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070975	healthy control without treatment	Sample_857_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 857	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070976	disease without treatment	Sample_860_ILC1_Mtb	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 860	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070977	healthy control without treatment	Sample_860_ILC1_uninf	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 860	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070978	disease without treatment	Sample_860_ILC2_Mtb	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 860	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070979	healthy control without treatment	Sample_860_ILC2_uninf	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 860	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070980	disease without treatment	Sample_860_ILC3neg_Mtb	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 860	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070981	healthy control without treatment	Sample_860_ILC3neg_uninf	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 860	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070982	disease without treatment	Sample_860_ILC3pos_Mtb	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 860	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070983	healthy control without treatment	Sample_860_ILC3pos_uninf	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 860	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070984	disease without treatment	Sample_860_NK_Mtb	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 860	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070985	healthy control without treatment	Sample_860_NK_uninf	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 860	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070986	disease without treatment	Sample_860_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 860	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070987	healthy control without treatment	Sample_860_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 860	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070988	disease without treatment	Sample_869_ILC1_Mtb	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 869	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070989	healthy control without treatment	Sample_869_ILC1_uninf	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 869	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070990	disease without treatment	Sample_869_ILC2_Mtb	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 869	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070991	healthy control without treatment	Sample_869_ILC2_uninf	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 869	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070992	disease without treatment	Sample_869_ILC3neg_Mtb	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 869	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070993	healthy control without treatment	Sample_869_ILC3neg_uninf	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 869	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070994	disease without treatment	Sample_869_ILC3pos_Mtb	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 869	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070995	healthy control without treatment	Sample_869_ILC3pos_uninf	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 869	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070996	disease without treatment	Sample_869_NK_Mtb	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 869	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070997	healthy control without treatment	Sample_869_NK_uninf	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 869	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070998	disease without treatment	Sample_869_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 869	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3070999	healthy control without treatment	Sample_869_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 869	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071000	disease without treatment	Sample_875_ILC1_Mtb	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 875	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071001	healthy control without treatment	Sample_875_ILC1_uninf	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 875	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071002	disease without treatment	Sample_875_ILC2_Mtb	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 875	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071003	healthy control without treatment	Sample_875_ILC2_uninf	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 875	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071004	disease without treatment	Sample_875_ILC3neg_Mtb	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 875	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071005	healthy control without treatment	Sample_875_ILC3neg_uninf	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 875	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071006	healthy control without treatment	Sample_875_ILC3pos_Mtb	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 875	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071007	healthy control without treatment	Sample_875_ILC3pos_uninf	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 875	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071008	disease without treatment	Sample_875_NK_Mtb	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 875	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071009	healthy control without treatment	Sample_875_NK_uninf	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 875	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071010	disease without treatment	Sample_875_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 875	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071011	healthy control without treatment	Sample_875_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 875	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071012	disease without treatment	Sample_903_ILC1_Mtb	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 903	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
