organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TIME_POINT	SAMPLE_CONDITION	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	library_source	library_strategy	cell.type.ch1	tissue.ch1	time.ch1	CONTRAST	SIGNATURE_NAME	TB	EXPRMAT_PATH
Homo sapiens	GSE112482	GSM3071031	healthy control without treatment	Sample_905_ILC3pos_uninf	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 905	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071032	disease without treatment	Sample_905_NK_Mtb	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 905	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071033	healthy control without treatment	Sample_905_NK_uninf	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 905	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071034	disease without treatment	Sample_905_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 905	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071035	healthy control without treatment	Sample_905_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 905	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071036	disease without treatment	Sample_923_ILC1_Mtb	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 923	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071037	healthy control without treatment	Sample_923_ILC1_uninf	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 923	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071038	disease without treatment	Sample_923_ILC2_Mtb	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 923	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071039	healthy control without treatment	Sample_923_ILC2_uninf	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 923	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071040	disease without treatment	Sample_923_ILC3neg_Mtb	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 923	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071041	healthy control without treatment	Sample_923_ILC3neg_uninf	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 923	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071042	disease without treatment	Sample_923_ILC3pos_Mtb	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 923	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071043	healthy control without treatment	Sample_923_ILC3pos_uninf	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 923	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071044	disease without treatment	Sample_923_NK_Mtb	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 923	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071045	healthy control without treatment	Sample_923_NK_uninf	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 923	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071046	disease without treatment	Sample_923_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 923	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071047	healthy control without treatment	Sample_923_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 923	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071048	disease without treatment	Sample_944_ILC1_Mtb	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 944	cell type: ILC1	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071049	healthy control without treatment	Sample_944_ILC1_uninf	primary_sample	ILC1	lung		GSE112482_MTB_lung_ILC1	lung	donor_id: 944	cell type: ILC1	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC1			MTB_control	GSE112482_MTB_control_lung_ILC1	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071050	disease without treatment	Sample_944_ILC2_Mtb	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 944	cell type: ILC2	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071051	healthy control without treatment	Sample_944_ILC2_uninf	primary_sample	ILC2	lung		GSE112482_MTB_lung_ILC2	lung	donor_id: 944	cell type: ILC2	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC2			MTB_control	GSE112482_MTB_control_lung_ILC2	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071052	disease without treatment	Sample_944_ILC3neg_Mtb	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 944	cell type: ILC3neg	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071053	healthy control without treatment	Sample_944_ILC3neg_uninf	primary_sample	ILC3neg	lung		GSE112482_MTB_lung_ILC3neg	lung	donor_id: 944	cell type: ILC3neg	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3neg			MTB_control	GSE112482_MTB_control_lung_ILC3neg	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071054	disease without treatment	Sample_944_ILC3pos_Mtb	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 944	cell type: ILC3pos	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071055	healthy control without treatment	Sample_944_ILC3pos_uninf	primary_sample	ILC3pos	lung		GSE112482_MTB_lung_ILC3pos	lung	donor_id: 944	cell type: ILC3pos	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	ILC3pos			MTB_control	GSE112482_MTB_control_lung_ILC3pos	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071056	disease without treatment	Sample_944_NK_Mtb	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 944	cell type: NK	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071057	healthy control without treatment	Sample_944_NK_uninf	primary_sample	NK	lung		GSE112482_MTB_lung_NK	lung	donor_id: 944	cell type: NK	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	NK			MTB_control	GSE112482_MTB_control_lung_NK	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071058	disease without treatment	Sample_944_susp_Mtb	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 944	cell type: susp	infection: Mtb	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
Homo sapiens	GSE112482	GSM3071059	healthy control without treatment	Sample_944_susp_uninf	primary_sample	susp	lung		GSE112482_MTB_lung_susp	lung	donor_id: 944	cell type: susp	infection: uninf	total RNA	GPL18460	transcriptomic	RNA-Seq	susp			MTB_control	GSE112482_MTB_control_lung_susp	MTB	data/v2/RNAseq_data_forDE/expression_matrices/GSE112482.tsv
