GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_up.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_up.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_up.tsv	GSE83456_GPL10558_EPTB_control_blood_up.tsv	GSE83456_GPL10558_PTB_control_blood_up.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv
1	0	0.01167485665307793	0.00808741116222008	0	0	0.0988518643116679
10	0	0.001671340948456	0.11603666257111056	0	0	0.22478594242152505
100	2.081924979186473	0.02974317106376273	0	2.933368387391969	2.933368387391969	0.01351737016069909
1000	0	0.6344741338380455	0	1.3986912394687292	1.3986912394687292	0.03290821992378523
10000	0	10.772741373626197	0	0.5262156224914258	0.5262156224914258	0.827505451911116
10001	0.11732639574579994	0	0	1.8570945084793085	1.8570945084793085	1.4245247275632815
10002	0	0	0.07670557579008691	0	0	1.3008713056626946
10003	0	0.00481769792110065	0.02294832891574946	0.27962353701876463	0.27962353701876463	0
100033420	0	0	0	0	0	0
100033427	0	0	0	0	0	0
100033433	0	0	0	0	0	0
100037417	0	0	0	0	0	0
10004	0.1019046287964112	3.710818367607671e-4	0.07670557579008691	0.08750678492263197	0.08750678492263197	0.08439560415461292
100048912	0	0	0	0	0	0
100049587	0	0	0	0	0	0
10005	0	0.00481769792110065	0.12170239677524589	0	0	0
10006	0.02628861614458477	0.08885415782132755	0.18551238881269416	0.7897987644380902	0.7897987644380902	0
10007	0.3230320465754939	0	0	0	0	0.27295519195055995
10008	0	0	0	0	0	0.24240951471317285
10009	0	0	0	0.1672983073163783	0.1672983073163783	0.13788016951546966
1001	2.816511644058231	0.7504143711871114	0	0.06859216079890573	0.06859216079890573	0
10010	0	0.07839798841602752	0	0	0	0
100101267	0	0	0	0	0	0
100101467	0	0	0	0	0	0
10011	0	0.06662984029201668	0.2071031362369906	0.00463771600180584	0.00463771600180584	0
100113382	0	0	0	0	0	0
100113393	0	0	0	0	0	0
100113407	0	0	0	0	0	0
100124534	0	0	0	0	0	0
100124536	0	0	0	0	0	0
100124539	0	0	0	0	0	0
100125288	0	0	0	0	0	0
100126270	0	0	0	0	0	0
100127206	0	0	0	0	0	0
100127983	0	0	0	0	0	0
100128327	0	0	0	0	0	0
100128569	0	0	0	0	0	0
100128731	0	0	0	0	0	0
100128908	0	0	0	0	0	0
100128927	0	0	0	0	0	0
100129128	0	0	0	0	0	0
100129250	0	0	0	0	0	0
100129543	0	0	0	0	0	0
100129583	0	0	0	0	0	0
100129654	0	0	0	0	0	0
100129792	0	0	0	0	0	0
100129842	0	0	0	0	0	0
100129924	0	0	0	0	0	0
100129969	0	0	0	0	0	0
10013	0	0	0.0181368413598007	1.4303331209850327	1.4303331209850327	0.16548144186175007
100130086	0	0	0	0	0	0
100130302	0	0	0	0	0	0
100130348	0	0	0	0	0	0
100130519	0	0	0	0	0	0
100130520	0	0	0	0	0	0
100130613	0	0	0	0	0	0
100130733	0	0	0	0	0	0
100130742	0	0	0	0	0	0
100130771	0	0	0	0	0	0
