aggregated_GeneScores	GeneID
-0.322996782238243	10007
-0.9368689532386052	1001
-0.04611862512985137	10013
-0.6584002972495122	10038
-0.4601938657621938	10046
-0.3522662559000257	10049
-0.04192318549421687	10051
-0.018173252749935594	10057
-0.14740346902967943	10058
-0.011594376051983005	10059
-0.04836083914182844	10099
-8.323614559777031e-4	10112
-1.122177563267315	10123
-0.05330191274463758	10131
-2.787234948888287	10146
-0.4535507012617845	10150
-0.37090640957980203	10153
-0.07782261037522493	10165
-0.31548334331932215	1017
-0.05018116076046698	10174
-0.24572976697332383	10180
-0.4214628065070485	1019
-0.07980024536400585	10190
-1.4242260797579702	102
-0.013009177679572988	10206
-0.11749987047787766	1021
-0.20453434094628598	1022
-0.10955254024609015	10221
-0.029357548492305454	10227
-0.01889716685042473	10237
-0.02519530788080564	10245
-0.42627111986157296	1026
-0.15431157199621162	1027
-0.5213468067692016	10270
-0.11647041073363328	10273
-0.11525247974526866	10276
-0.06946707553822987	10285
-0.20664484196598057	1029
-0.07360675524512134	10298
-0.4489535330423691	10320
-0.33837063394543654	10362
-1.4622261860288264	10398
-0.08720506716713163	10434
-0.016049062054340715	10450
-0.00520220314371196	10451
-0.08789929054161214	10489
-0.1102694864247181	10491
-0.10069707914182431	10493
-0.01322038751028092	10494
-0.458378377854675	1050
-0.02084838053801253	10513
-0.2689375790977388	1052
-0.16071982588226727	10523
-0.39404819020079784	10525
-0.03512362024562483	10557
-0.25891947096437323	10559
-0.14524572739049008	10589
-0.24238695129177942	10610
-2.643008675141339	10617
-0.372008086645378	1062
-0.00411926494282206	10641
-0.033753692082606875	10644
-0.10591049760064432	10652
-0.43768467280379214	10670
-0.6877321249515619	10681
-0.3233262804625863	10682
-0.36036495627404996	10695
-0.04182008776822891	1070
-0.003383288120662471	10730
-0.1917959944051342	10732
-0.00784935653613614	10765
-0.1499248234817951	10775
-0.6291974190291532	10776
-0.3474355820963169	10782
-2.2802478467607605e-4	10810
-0.04825874220520336	10813
-0.2190438499167425	10818
-0.44611307696948355	10845
-0.0543616885329021	10857
-0.18394099036791303	10892
-0.5520090180070428	10898
-0.015809904453297025	10904
-0.1479082211890557	10915
-0.14887687434184363	10921
-0.46073751008556596	10953
-0.015476101891623668	10954
-0.021917719368344565	10962
-1.41305930560662	10969
-0.2645237932822791	10972
-0.014445445477597633	10973
-0.04841794245897595	11000
-0.5143372278245901	11004
-0.18071959710773902	11011
-0.6434747889050393	11014
-1.386987462713632	11031
-0.007101852306453833	11041
-0.03290125855842584	11044
-0.3089037219844987	11065
-0.7838111917050402	11072
-0.04324116550623328	11073
-0.6096756080918172	11098
-0.4576768140621039	1111
-0.08015934750258767	11137
-0.2201968217895463	11151
-0.03498520808939067	11157
-0.01729718062587084	11168
-0.06019726204833701	11182
-0.38321043096006785	11188
-0.03875298299254233	11200
-0.06698027399742845	1123
-0.09678688715072438	11230
-0.3121781136914617	11232
-0.1690618350209562	11261
