drug_name	combined_z_score
nilotinib	2.5243985181303334
mycophenolic-acid	2.495033257484769
resveratrol	1.9760935020565316
cilastatin	1.7211145054088757
menadione	1.6977975627611814
rosuvastatin	1.627595207292709
fludroxycortide	1.6041484452860777
lapatinib	1.5903468108890266
fostamatinib	1.573204699337034
fenbendazole	1.5037002084326203
minoxidil	1.4976543268697402
verapamil	1.4869917603282172
simvastatin	1.4047401962476185
sirolimus	1.3983257380426697
terguride	1.3608810344738147
topotecan	1.3184774661455505
dopamine	1.2985943395163808
chloroquine	1.2256184460285635
loperamide	1.221109195002522
paclitaxel	1.2207346469749796
